Order 0	number of articles 7
0	Aisle 8	Location 37
1	Aisle 0	Location 30
2	Aisle 2	Location 13
3	Aisle 16	Location 5
4	Aisle 13	Location 33
5	Aisle 1	Location 26
6	Aisle 19	Location 19
Order 1	number of articles 6
0	Aisle 17	Location 10
1	Aisle 6	Location 32
2	Aisle 8	Location 10
3	Aisle 14	Location 24
4	Aisle 17	Location 0
5	Aisle 2	Location 43
Order 2	number of articles 17
0	Aisle 12	Location 27
1	Aisle 1	Location 25
2	Aisle 5	Location 7
3	Aisle 18	Location 12
4	Aisle 3	Location 31
5	Aisle 0	Location 7
6	Aisle 3	Location 34
7	Aisle 15	Location 2
8	Aisle 16	Location 18
9	Aisle 17	Location 5
10	Aisle 8	Location 40
11	Aisle 7	Location 21
12	Aisle 13	Location 7
13	Aisle 16	Location 4
14	Aisle 5	Location 20
15	Aisle 10	Location 26
16	Aisle 16	Location 40
Order 3	number of articles 13
0	Aisle 11	Location 21
1	Aisle 17	Location 27
2	Aisle 2	Location 33
3	Aisle 5	Location 12
4	Aisle 14	Location 4
5	Aisle 1	Location 39
6	Aisle 1	Location 40
7	Aisle 19	Location 32
8	Aisle 1	Location 43
9	Aisle 15	Location 7
10	Aisle 0	Location 30
11	Aisle 0	Location 25
12	Aisle 13	Location 43
Order 4	number of articles 23
0	Aisle 7	Location 41
1	Aisle 4	Location 22
2	Aisle 14	Location 24
3	Aisle 11	Location 42
4	Aisle 7	Location 19
5	Aisle 18	Location 11
6	Aisle 14	Location 18
7	Aisle 11	Location 29
8	Aisle 15	Location 14
9	Aisle 17	Location 5
10	Aisle 11	Location 20
11	Aisle 10	Location 37
12	Aisle 3	Location 43
13	Aisle 13	Location 8
14	Aisle 5	Location 7
15	Aisle 4	Location 41
16	Aisle 16	Location 31
17	Aisle 15	Location 23
18	Aisle 13	Location 10
19	Aisle 3	Location 39
20	Aisle 16	Location 13
21	Aisle 6	Location 41
22	Aisle 0	Location 22
Order 5	number of articles 22
0	Aisle 3	Location 36
1	Aisle 18	Location 39
2	Aisle 15	Location 19
3	Aisle 2	Location 9
4	Aisle 12	Location 0
5	Aisle 1	Location 15
6	Aisle 9	Location 13
7	Aisle 9	Location 30
8	Aisle 14	Location 1
9	Aisle 0	Location 28
10	Aisle 4	Location 10
11	Aisle 13	Location 7
12	Aisle 3	Location 33
13	Aisle 1	Location 7
14	Aisle 0	Location 20
15	Aisle 14	Location 5
16	Aisle 3	Location 21
17	Aisle 2	Location 43
18	Aisle 8	Location 1
19	Aisle 18	Location 7
20	Aisle 10	Location 23
21	Aisle 14	Location 8
Order 6	number of articles 7
0	Aisle 18	Location 15
1	Aisle 4	Location 27
2	Aisle 7	Location 39
3	Aisle 16	Location 44
4	Aisle 9	Location 14
5	Aisle 18	Location 29
6	Aisle 5	Location 35
Order 7	number of articles 21
0	Aisle 0	Location 24
1	Aisle 2	Location 42
