Order 0	number of articles 11
0	Aisle 17	Location 10
1	Aisle 3	Location 40
2	Aisle 1	Location 20
3	Aisle 12	Location 40
4	Aisle 1	Location 4
5	Aisle 1	Location 31
6	Aisle 5	Location 38
7	Aisle 0	Location 34
8	Aisle 1	Location 3
9	Aisle 2	Location 35
10	Aisle 4	Location 44
Order 1	number of articles 11
0	Aisle 1	Location 10
1	Aisle 15	Location 5
2	Aisle 4	Location 41
3	Aisle 18	Location 4
4	Aisle 11	Location 5
5	Aisle 18	Location 19
6	Aisle 0	Location 39
7	Aisle 15	Location 13
8	Aisle 4	Location 43
9	Aisle 12	Location 17
10	Aisle 3	Location 39
Order 2	number of articles 6
0	Aisle 16	Location 2
1	Aisle 9	Location 23
2	Aisle 1	Location 41
3	Aisle 13	Location 22
4	Aisle 17	Location 7
5	Aisle 10	Location 29
Order 3	number of articles 24
0	Aisle 1	Location 5
1	Aisle 4	Location 24
2	Aisle 10	Location 27
3	Aisle 14	Location 16
4	Aisle 11	Location 43
5	Aisle 18	Location 38
6	Aisle 15	Location 28
7	Aisle 8	Location 33
8	Aisle 14	Location 28
9	Aisle 4	Location 41
10	Aisle 1	Location 44
11	Aisle 6	Location 13
12	Aisle 15	Location 36
13	Aisle 13	Location 26
14	Aisle 14	Location 36
15	Aisle 7	Location 42
16	Aisle 7	Location 13
17	Aisle 4	Location 25
18	Aisle 9	Location 24
19	Aisle 0	Location 9
20	Aisle 2	Location 33
21	Aisle 12	Location 41
22	Aisle 14	Location 3
23	Aisle 11	Location 32
Order 4	number of articles 9
0	Aisle 14	Location 2
1	Aisle 16	Location 10
2	Aisle 0	Location 18
3	Aisle 3	Location 38
4	Aisle 2	Location 25
5	Aisle 8	Location 37
6	Aisle 6	Location 42
7	Aisle 14	Location 40
8	Aisle 7	Location 37
Order 5	number of articles 7
0	Aisle 18	Location 8
1	Aisle 19	Location 14
2	Aisle 5	Location 8
3	Aisle 18	Location 44
4	Aisle 5	Location 41
5	Aisle 7	Location 37
6	Aisle 9	Location 10
Order 6	number of articles 11
0	Aisle 9	Location 31
1	Aisle 7	Location 22
2	Aisle 0	Location 9
3	Aisle 11	Location 15
4	Aisle 8	Location 14
5	Aisle 2	Location 14
6	Aisle 12	Location 28
7	Aisle 17	Location 3
8	Aisle 7	Location 27
9	Aisle 16	Location 24
10	Aisle 12	Location 7
