Order 0	number of articles 20
0	Aisle 19	Location 38
1	Aisle 1	Location 9
2	Aisle 18	Location 18
3	Aisle 3	Location 28
4	Aisle 8	Location 5
5	Aisle 6	Location 3
6	Aisle 14	Location 35
7	Aisle 12	Location 21
8	Aisle 7	Location 10
9	Aisle 4	Location 0
10	Aisle 1	Location 24
11	Aisle 6	Location 42
12	Aisle 2	Location 40
13	Aisle 9	Location 35
14	Aisle 4	Location 1
15	Aisle 1	Location 8
16	Aisle 8	Location 36
17	Aisle 14	Location 39
18	Aisle 16	Location 30
19	Aisle 16	Location 20
Order 1	number of articles 16
0	Aisle 11	Location 19
1	Aisle 8	Location 26
2	Aisle 4	Location 2
3	Aisle 0	Location 7
4	Aisle 1	Location 22
5	Aisle 5	Location 0
6	Aisle 9	Location 20
7	Aisle 8	Location 6
8	Aisle 14	Location 23
9	Aisle 4	Location 35
10	Aisle 7	Location 18
11	Aisle 3	Location 30
12	Aisle 1	Location 18
13	Aisle 1	Location 42
14	Aisle 5	Location 38
15	Aisle 14	Location 10
Order 2	number of articles 11
0	Aisle 14	Location 28
1	Aisle 14	Location 38
2	Aisle 19	Location 1
3	Aisle 3	Location 27
4	Aisle 18	Location 32
5	Aisle 7	Location 23
6	Aisle 0	Location 31
7	Aisle 18	Location 13
8	Aisle 1	Location 15
9	Aisle 7	Location 44
10	Aisle 19	Location 36
Order 3	number of articles 9
0	Aisle 6	Location 41
1	Aisle 15	Location 6
2	Aisle 19	Location 1
3	Aisle 0	Location 9
4	Aisle 2	Location 8
5	Aisle 15	Location 35
6	Aisle 8	Location 29
7	Aisle 16	Location 38
8	Aisle 10	Location 42
Order 4	number of articles 23
0	Aisle 15	Location 20
1	Aisle 2	Location 18
2	Aisle 9	Location 1
3	Aisle 13	Location 29
4	Aisle 2	Location 12
5	Aisle 14	Location 2
6	Aisle 16	Location 44
7	Aisle 14	Location 11
8	Aisle 18	Location 43
9	Aisle 12	Location 21
10	Aisle 11	Location 11
11	Aisle 10	Location 2
12	Aisle 9	Location 16
13	Aisle 13	Location 32
14	Aisle 10	Location 36
15	Aisle 5	Location 17
16	Aisle 1	Location 28
17	Aisle 7	Location 28
18	Aisle 6	Location 19
19	Aisle 14	Location 34
20	Aisle 13	Location 2
21	Aisle 15	Location 7
22	Aisle 17	Location 20
Order 5	number of articles 6
0	Aisle 16	Location 42
1	Aisle 6	Location 25
2	Aisle 7	Location 31
3	Aisle 11	Location 44
4	Aisle 5	Location 17
5	Aisle 12	Location 26
Order 6	number of articles 14
0	Aisle 14	Location 9
1	Aisle 19	Location 28
2	Aisle 18	Location 19
3	Aisle 19	Location 41
4	Aisle 10	Location 25
