Order 0	number of articles 22
0	Aisle 10	Location 38
1	Aisle 11	Location 1
2	Aisle 3	Location 5
3	Aisle 13	Location 22
4	Aisle 8	Location 41
5	Aisle 16	Location 28
6	Aisle 5	Location 3
7	Aisle 1	Location 26
8	Aisle 2	Location 12
9	Aisle 15	Location 40
10	Aisle 19	Location 20
11	Aisle 3	Location 19
12	Aisle 0	Location 1
13	Aisle 6	Location 21
14	Aisle 6	Location 29
15	Aisle 9	Location 5
16	Aisle 13	Location 38
17	Aisle 19	Location 38
18	Aisle 15	Location 10
19	Aisle 18	Location 44
20	Aisle 17	Location 20
21	Aisle 5	Location 41
Order 1	number of articles 7
0	Aisle 9	Location 2
1	Aisle 6	Location 17
2	Aisle 2	Location 33
3	Aisle 0	Location 15
4	Aisle 3	Location 28
5	Aisle 9	Location 4
6	Aisle 18	Location 20
Order 2	number of articles 19
0	Aisle 0	Location 20
1	Aisle 14	Location 30
2	Aisle 15	Location 39
3	Aisle 6	Location 31
4	Aisle 12	Location 22
5	Aisle 15	Location 23
6	Aisle 17	Location 7
7	Aisle 3	Location 44
8	Aisle 4	Location 22
9	Aisle 10	Location 20
10	Aisle 3	Location 13
11	Aisle 0	Location 17
12	Aisle 15	Location 41
13	Aisle 1	Location 12
14	Aisle 19	Location 34
15	Aisle 13	Location 25
16	Aisle 17	Location 19
17	Aisle 4	Location 33
18	Aisle 8	Location 14
Order 3	number of articles 7
0	Aisle 9	Location 13
1	Aisle 10	Location 24
2	Aisle 12	Location 20
3	Aisle 3	Location 43
4	Aisle 19	Location 7
5	Aisle 19	Location 22
6	Aisle 3	Location 17
Order 4	number of articles 11
0	Aisle 12	Location 35
1	Aisle 4	Location 30
2	Aisle 17	Location 12
3	Aisle 13	Location 26
4	Aisle 19	Location 28
5	Aisle 0	Location 35
6	Aisle 16	Location 30
7	Aisle 6	Location 31
8	Aisle 0	Location 11
9	Aisle 18	Location 11
10	Aisle 17	Location 8
Order 5	number of articles 5
0	Aisle 14	Location 42
1	Aisle 10	Location 13
2	Aisle 15	Location 4
3	Aisle 14	Location 35
4	Aisle 7	Location 39
Order 6	number of articles 20
0	Aisle 1	Location 11
1	Aisle 15	Location 15
2	Aisle 3	Location 27
3	Aisle 2	Location 44
4	Aisle 5	Location 5
5	Aisle 12	Location 39
6	Aisle 12	Location 25
7	Aisle 0	Location 30
8	Aisle 5	Location 13
9	Aisle 7	Location 43
10	Aisle 7	Location 11
11	Aisle 7	Location 3
12	Aisle 0	Location 3
13	Aisle 16	Location 31
14	Aisle 15	Location 16
15	Aisle 15	Location 5
16	Aisle 18	Location 30
17	Aisle 14	Location 18
18	Aisle 2	Location 38
19	Aisle 1	Location 1
Order 7	number of articles 20
0	Aisle 12	Location 23
1	Aisle 2	Location 34
2	Aisle 18	Location 43
3	Aisle 12	Location 41
4	Aisle 5	Location 40
5	Aisle 2	Location 5
6	Aisle 18	Location 18
7	Aisle 19	Location 12
8	Aisle 5	Location 9
9	Aisle 2	Location 15
10	Aisle 1	Location 40
11	Aisle 3	Location 18
12	Aisle 2	Location 19
13	Aisle 4	Location 29
14	Aisle 3	Location 29
15	Aisle 2	Location 30
16	Aisle 6	Location 3
17	Aisle 3	Location 21
18	Aisle 16	Location 41
19	Aisle 18	Location 31
Order 8	number of articles 6
0	Aisle 10	Location 11
1	Aisle 18	Location 26
2	Aisle 1	Location 25
3	Aisle 17	Location 20
4	Aisle 16	Location 9
5	Aisle 17	Location 2
Order 9	number of articles 23
0	Aisle 3	Location 11
1	Aisle 4	Location 35
2	Aisle 12	Location 44
3	Aisle 5	Location 16
4	Aisle 2	Location 42
5	Aisle 1	Location 17
6	Aisle 8	Location 17
7	Aisle 15	Location 6
8	Aisle 17	Location 28
9	Aisle 6	Location 1
10	Aisle 7	Location 37
11	Aisle 8	Location 1
12	Aisle 9	Location 26
13	Aisle 18	Location 32
14	Aisle 14	Location 42
15	Aisle 8	Location 2
16	Aisle 6	Location 16
17	Aisle 18	Location 11
18	Aisle 0	Location 28
19	Aisle 11	Location 10
20	Aisle 4	Location 13
21	Aisle 4	Location 3
22	Aisle 3	Location 25
Order 10	number of articles 15
0	Aisle 14	Location 29
1	Aisle 14	Location 31
2	Aisle 10	Location 41
3	Aisle 11	Location 4
4	Aisle 17	Location 39
5	Aisle 19	Location 37
6	Aisle 4	Location 37
7	Aisle 15	Location 10
8	Aisle 7	Location 11
9	Aisle 18	Location 3
10	Aisle 14	Location 24
11	Aisle 3	Location 23
12	Aisle 11	Location 32
13	Aisle 3	Location 38
14	Aisle 10	Location 44
Order 11	number of articles 16
0	Aisle 4	Location 9
1	Aisle 7	Location 38
2	Aisle 18	Location 18
3	Aisle 11	Location 9
4	Aisle 7	Location 33
5	Aisle 18	Location 39
6	Aisle 4	Location 12
7	Aisle 12	Location 44
8	Aisle 9	Location 15
9	Aisle 15	Location 7
10	Aisle 18	Location 3
11	Aisle 3	Location 5
12	Aisle 19	Location 0
13	Aisle 6	Location 32
14	Aisle 2	Location 16
15	Aisle 10	Location 12
Order 12	number of articles 5
0	Aisle 15	Location 37
1	Aisle 8	Location 31
2	Aisle 11	Location 17
3	Aisle 14	Location 2
4	Aisle 5	Location 21
Order 13	number of articles 24
0	Aisle 16	Location 24
1	Aisle 9	Location 37
2	Aisle 3	Location 37
3	Aisle 3	Location 11
4	Aisle 15	Location 25
5	Aisle 3	Location 34
6	Aisle 18	Location 18
7	Aisle 13	Location 3
8	Aisle 5	Location 10
9	Aisle 5	Location 1
10	Aisle 16	Location 33
11	Aisle 18	Location 35
12	Aisle 16	Location 21
13	Aisle 8	Location 41
14	Aisle 8	Location 29
15	Aisle 3	Location 19
16	Aisle 9	Location 28
17	Aisle 7	Location 8
18	Aisle 15	Location 24
19	Aisle 3	Location 7
20	Aisle 0	Location 31
21	Aisle 7	Location 6
22	Aisle 19	Location 23
23	Aisle 9	Location 29
Order 14	number of articles 16
0	Aisle 9	Location 37
1	Aisle 18	Location 27
2	Aisle 0	Location 1
3	Aisle 12	Location 8
4	Aisle 1	Location 31
5	Aisle 4	Location 19
6	Aisle 7	Location 15
7	Aisle 2	Location 30
8	Aisle 4	Location 44
9	Aisle 10	Location 4
10	Aisle 19	Location 36
11	Aisle 12	Location 4
12	Aisle 12	Location 17
13	Aisle 15	Location 41
14	Aisle 10	Location 27
15	Aisle 14	Location 31
Order 15	number of articles 6
0	Aisle 2	Location 0
1	Aisle 7	Location 25
2	Aisle 19	Location 23
3	Aisle 14	Location 34
4	Aisle 12	Location 42
5	Aisle 2	Location 2
Order 16	number of articles 12
0	Aisle 13	Location 26
1	Aisle 8	Location 21
2	Aisle 11	Location 14
3	Aisle 6	Location 37
4	Aisle 15	Location 29
5	Aisle 1	Location 13
6	Aisle 2	Location 29
7	Aisle 12	Location 20
8	Aisle 16	Location 3
9	Aisle 17	Location 6
10	Aisle 16	Location 42
11	Aisle 11	Location 12
Order 17	number of articles 17
0	Aisle 3	Location 12
1	Aisle 1	Location 39
2	Aisle 9	Location 9
3	Aisle 10	Location 2
4	Aisle 15	Location 5
5	Aisle 15	Location 29
6	Aisle 15	Location 27
7	Aisle 17	Location 43
8	Aisle 14	Location 41
9	Aisle 4	Location 8
10	Aisle 3	Location 22
11	Aisle 10	Location 8
12	Aisle 12	Location 9
13	Aisle 1	Location 10
14	Aisle 2	Location 20
15	Aisle 17	Location 44
16	Aisle 17	Location 41
Order 18	number of articles 16
0	Aisle 6	Location 31
1	Aisle 18	Location 6
2	Aisle 5	Location 6
3	Aisle 4	Location 15
4	Aisle 10	Location 35
5	Aisle 18	Location 21
6	Aisle 19	Location 27
7	Aisle 5	Location 9
8	Aisle 14	Location 33
9	Aisle 17	Location 15
10	Aisle 13	Location 5
11	Aisle 18	Location 38
12	Aisle 8	Location 9
13	Aisle 3	Location 2
14	Aisle 2	Location 23
15	Aisle 18	Location 43
Order 19	number of articles 12
0	Aisle 10	Location 12
1	Aisle 7	Location 40
2	Aisle 1	Location 1
3	Aisle 19	Location 35
4	Aisle 13	Location 30
