Order 0	number of articles 7
0	Aisle 11	Location 15
1	Aisle 4	Location 28
2	Aisle 17	Location 27
3	Aisle 17	Location 7
4	Aisle 5	Location 41
5	Aisle 17	Location 41
6	Aisle 2	Location 40
Order 1	number of articles 9
0	Aisle 2	Location 35
1	Aisle 17	Location 26
2	Aisle 6	Location 0
3	Aisle 6	Location 23
4	Aisle 2	Location 11
5	Aisle 15	Location 0
6	Aisle 4	Location 31
7	Aisle 2	Location 5
8	Aisle 7	Location 13
Order 2	number of articles 17
0	Aisle 17	Location 40
1	Aisle 18	Location 5
2	Aisle 9	Location 4
3	Aisle 7	Location 21
4	Aisle 7	Location 36
5	Aisle 15	Location 8
6	Aisle 16	Location 2
7	Aisle 13	Location 1
8	Aisle 9	Location 42
9	Aisle 15	Location 19
10	Aisle 16	Location 23
11	Aisle 8	Location 25
12	Aisle 7	Location 9
13	Aisle 2	Location 37
14	Aisle 6	Location 21
15	Aisle 15	Location 30
16	Aisle 6	Location 38
Order 3	number of articles 22
0	Aisle 14	Location 14
1	Aisle 2	Location 23
2	Aisle 15	Location 3
3	Aisle 3	Location 26
4	Aisle 9	Location 35
5	Aisle 14	Location 29
6	Aisle 11	Location 34
7	Aisle 3	Location 11
8	Aisle 3	Location 30
9	Aisle 2	Location 6
10	Aisle 2	Location 32
11	Aisle 16	Location 35
12	Aisle 14	Location 11
13	Aisle 18	Location 1
14	Aisle 13	Location 3
15	Aisle 11	Location 26
16	Aisle 12	Location 26
17	Aisle 17	Location 22
18	Aisle 3	Location 28
19	Aisle 12	Location 35
20	Aisle 6	Location 12
21	Aisle 18	Location 15
Order 4	number of articles 12
0	Aisle 5	Location 34
1	Aisle 15	Location 12
2	Aisle 3	Location 25
3	Aisle 1	Location 43
4	Aisle 8	Location 8
5	Aisle 0	Location 4
6	Aisle 13	Location 42
7	Aisle 19	Location 10
8	Aisle 0	Location 3
9	Aisle 11	Location 40
10	Aisle 14	Location 44
11	Aisle 11	Location 11
Order 5	number of articles 14
0	Aisle 16	Location 26
1	Aisle 11	Location 19
2	Aisle 6	Location 16
3	Aisle 12	Location 12
4	Aisle 11	Location 30
5	Aisle 1	Location 39
6	Aisle 11	Location 36
7	Aisle 10	Location 32
8	Aisle 13	Location 34
9	Aisle 1	Location 35
10	Aisle 17	Location 40
11	Aisle 10	Location 29
12	Aisle 6	Location 3
13	Aisle 1	Location 44
Order 6	number of articles 20
0	Aisle 7	Location 41
1	Aisle 6	Location 40
2	Aisle 2	Location 35
3	Aisle 5	Location 27
4	Aisle 9	Location 31
5	Aisle 19	Location 7
6	Aisle 0	Location 0
