Order 0	number of articles 17
0	Aisle 5	Location 23
1	Aisle 14	Location 3
2	Aisle 15	Location 13
3	Aisle 1	Location 35
4	Aisle 14	Location 23
5	Aisle 11	Location 20
6	Aisle 0	Location 21
7	Aisle 2	Location 26
8	Aisle 3	Location 18
9	Aisle 10	Location 0
10	Aisle 4	Location 3
11	Aisle 0	Location 27
12	Aisle 12	Location 35
13	Aisle 19	Location 11
14	Aisle 18	Location 19
15	Aisle 14	Location 2
16	Aisle 16	Location 4
Order 1	number of articles 15
0	Aisle 9	Location 11
1	Aisle 14	Location 32
2	Aisle 5	Location 40
3	Aisle 17	Location 26
4	Aisle 15	Location 39
5	Aisle 11	Location 34
6	Aisle 5	Location 19
7	Aisle 12	Location 1
8	Aisle 8	Location 26
9	Aisle 14	Location 29
10	Aisle 14	Location 2
11	Aisle 0	Location 16
12	Aisle 19	Location 26
13	Aisle 15	Location 6
14	Aisle 18	Location 8
Order 2	number of articles 14
0	Aisle 18	Location 34
1	Aisle 15	Location 18
2	Aisle 7	Location 44
3	Aisle 6	Location 25
4	Aisle 18	Location 17
5	Aisle 13	Location 34
6	Aisle 4	Location 18
7	Aisle 17	Location 33
8	Aisle 14	Location 22
9	Aisle 13	Location 23
10	Aisle 6	Location 6
11	Aisle 17	Location 17
12	Aisle 11	Location 26
13	Aisle 1	Location 29
Order 3	number of articles 6
0	Aisle 6	Location 25
1	Aisle 5	Location 14
2	Aisle 6	Location 8
3	Aisle 16	Location 38
4	Aisle 3	Location 36
5	Aisle 13	Location 43
Order 4	number of articles 15
0	Aisle 0	Location 37
1	Aisle 7	Location 14
2	Aisle 7	Location 10
3	Aisle 4	Location 41
4	Aisle 3	Location 23
5	Aisle 15	Location 39
6	Aisle 11	Location 43
7	Aisle 14	Location 8
8	Aisle 4	Location 6
9	Aisle 3	Location 27
10	Aisle 3	Location 33
11	Aisle 1	Location 2
12	Aisle 17	Location 36
13	Aisle 19	Location 29
14	Aisle 0	Location 5
Order 5	number of articles 6
0	Aisle 8	Location 17
1	Aisle 5	Location 2
2	Aisle 2	Location 43
3	Aisle 2	Location 23
4	Aisle 1	Location 11
5	Aisle 19	Location 34
Order 6	number of articles 15
0	Aisle 14	Location 8
1	Aisle 1	Location 38
2	Aisle 10	Location 41
3	Aisle 6	Location 19
4	Aisle 19	Location 18
5	Aisle 3	Location 0
6	Aisle 10	Location 20
7	Aisle 12	Location 34
8	Aisle 11	Location 7
9	Aisle 3	Location 17
10	Aisle 4	Location 8
11	Aisle 13	Location 4
12	Aisle 15	Location 27
13	Aisle 16	Location 20
14	Aisle 5	Location 8
Order 7	number of articles 17
0	Aisle 15	Location 30
1	Aisle 10	Location 41
2	Aisle 10	Location 25
3	Aisle 0	Location 33
4	Aisle 17	Location 33
5	Aisle 12	Location 25
6	Aisle 1	Location 15
7	Aisle 13	Location 26
8	Aisle 4	Location 22
9	Aisle 8	Location 27
10	Aisle 9	Location 12
11	Aisle 13	Location 27
12	Aisle 3	Location 4
13	Aisle 14	Location 29
14	Aisle 17	Location 22
15	Aisle 10	Location 20
16	Aisle 18	Location 40
Order 8	number of articles 17
0	Aisle 1	Location 15
1	Aisle 15	Location 42
2	Aisle 8	Location 31
3	Aisle 4	Location 10
4	Aisle 5	Location 23
5	Aisle 14	Location 36
6	Aisle 14	Location 27
7	Aisle 12	Location 31
8	Aisle 4	Location 21
9	Aisle 18	Location 33
10	Aisle 7	Location 34
11	Aisle 3	Location 43
12	Aisle 0	Location 42
13	Aisle 11	Location 24
14	Aisle 13	Location 7
15	Aisle 18	Location 26
16	Aisle 13	Location 28
Order 9	number of articles 16
0	Aisle 14	Location 30
1	Aisle 3	Location 16
2	Aisle 4	Location 25
