Order 0	number of articles 13
0	Aisle 9	Location 17
1	Aisle 14	Location 15
2	Aisle 1	Location 18
3	Aisle 6	Location 44
4	Aisle 6	Location 11
5	Aisle 17	Location 13
6	Aisle 15	Location 39
7	Aisle 15	Location 41
8	Aisle 8	Location 5
9	Aisle 15	Location 17
10	Aisle 8	Location 13
11	Aisle 10	Location 25
12	Aisle 0	Location 40
Order 1	number of articles 8
0	Aisle 4	Location 25
1	Aisle 13	Location 43
2	Aisle 18	Location 36
3	Aisle 0	Location 41
4	Aisle 9	Location 40
5	Aisle 0	Location 38
6	Aisle 6	Location 23
7	Aisle 7	Location 33
Order 2	number of articles 16
0	Aisle 16	Location 7
1	Aisle 14	Location 12
2	Aisle 10	Location 26
3	Aisle 16	Location 36
4	Aisle 6	Location 32
5	Aisle 6	Location 19
6	Aisle 9	Location 35
7	Aisle 15	Location 15
8	Aisle 2	Location 13
9	Aisle 15	Location 33
10	Aisle 4	Location 43
11	Aisle 1	Location 33
12	Aisle 3	Location 39
13	Aisle 8	Location 19
14	Aisle 0	Location 35
15	Aisle 13	Location 29
Order 3	number of articles 16
0	Aisle 13	Location 23
1	Aisle 12	Location 19
2	Aisle 1	Location 20
3	Aisle 14	Location 39
4	Aisle 11	Location 8
5	Aisle 17	Location 32
6	Aisle 15	Location 7
7	Aisle 12	Location 2
8	Aisle 0	Location 40
9	Aisle 0	Location 35
10	Aisle 3	Location 16
11	Aisle 11	Location 10
12	Aisle 0	Location 6
13	Aisle 10	Location 41
14	Aisle 8	Location 14
15	Aisle 14	Location 34
Order 4	number of articles 18
0	Aisle 19	Location 41
1	Aisle 12	Location 21
2	Aisle 3	Location 37
3	Aisle 4	Location 2
4	Aisle 4	Location 39
5	Aisle 16	Location 39
6	Aisle 0	Location 39
7	Aisle 15	Location 0
8	Aisle 13	Location 39
9	Aisle 11	Location 6
10	Aisle 15	Location 32
11	Aisle 17	Location 41
12	Aisle 19	Location 12
13	Aisle 9	Location 8
14	Aisle 11	Location 26
15	Aisle 6	Location 39
16	Aisle 1	Location 5
17	Aisle 14	Location 36
Order 5	number of articles 6
0	Aisle 12	Location 18
1	Aisle 13	Location 43
2	Aisle 4	Location 30
3	Aisle 7	Location 30
4	Aisle 6	Location 36
5	Aisle 7	Location 41
Order 6	number of articles 7
0	Aisle 8	Location 33
1	Aisle 2	Location 8
2	Aisle 10	Location 23
3	Aisle 13	Location 12
4	Aisle 19	Location 24
5	Aisle 3	Location 35
6	Aisle 3	Location 2
Order 7	number of articles 5
0	Aisle 18	Location 3
1	Aisle 18	Location 22
2	Aisle 17	Location 14
3	Aisle 18	Location 24
4	Aisle 13	Location 33
Order 8	number of articles 19
0	Aisle 13	Location 38
1	Aisle 16	Location 13
2	Aisle 15	Location 3
3	Aisle 6	Location 19
4	Aisle 15	Location 16
5	Aisle 4	Location 31
6	Aisle 19	Location 12
7	Aisle 10	Location 12
8	Aisle 8	Location 11
9	Aisle 12	Location 42
10	Aisle 14	Location 1
11	Aisle 8	Location 22
12	Aisle 2	Location 25
13	Aisle 1	Location 43
14	Aisle 15	Location 30
15	Aisle 6	Location 23
16	Aisle 4	Location 42
17	Aisle 15	Location 44
18	Aisle 12	Location 4
Order 9	number of articles 19
0	Aisle 12	Location 42
1	Aisle 0	Location 16
2	Aisle 0	Location 12
3	Aisle 5	Location 18
4	Aisle 9	Location 28
5	Aisle 1	Location 32
6	Aisle 9	Location 4
7	Aisle 10	Location 28
8	Aisle 16	Location 42
9	Aisle 10	Location 24
10	Aisle 4	Location 25
11	Aisle 7	Location 18
12	Aisle 0	Location 19
13	Aisle 10	Location 21
14	Aisle 14	Location 41
15	Aisle 5	Location 16
16	Aisle 14	Location 18
17	Aisle 16	Location 11
18	Aisle 10	Location 7
Order 10	number of articles 10
0	Aisle 12	Location 20
1	Aisle 1	Location 34
2	Aisle 10	Location 33
3	Aisle 19	Location 0
4	Aisle 7	Location 36
5	Aisle 13	Location 36
6	Aisle 5	Location 20
7	Aisle 1	Location 14
8	Aisle 2	Location 40
9	Aisle 5	Location 44
Order 11	number of articles 15
0	Aisle 13	Location 28
1	Aisle 9	Location 34
2	Aisle 11	Location 15
3	Aisle 14	Location 39
4	Aisle 4	Location 28
5	Aisle 5	Location 11
6	Aisle 11	Location 1
7	Aisle 11	Location 3
8	Aisle 6	Location 3
9	Aisle 3	Location 4
10	Aisle 11	Location 10
11	Aisle 4	Location 23
12	Aisle 7	Location 28
13	Aisle 2	Location 20
14	Aisle 3	Location 5
Order 12	number of articles 10
0	Aisle 2	Location 33
1	Aisle 18	Location 31
2	Aisle 7	Location 27
3	Aisle 19	Location 24
4	Aisle 16	Location 21
5	Aisle 17	Location 4
6	Aisle 16	Location 38
7	Aisle 6	Location 10
8	Aisle 1	Location 40
9	Aisle 11	Location 39
Order 13	number of articles 21
0	Aisle 17	Location 33
1	Aisle 11	Location 31
2	Aisle 10	Location 4
3	Aisle 10	Location 25
4	Aisle 17	Location 19
5	Aisle 15	Location 31
6	Aisle 11	Location 10
7	Aisle 11	Location 11
8	Aisle 6	Location 22
9	Aisle 19	Location 10
10	Aisle 16	Location 21
11	Aisle 15	Location 42
12	Aisle 7	Location 15
13	Aisle 19	Location 20
14	Aisle 2	Location 13
15	Aisle 7	Location 32
16	Aisle 10	Location 11
17	Aisle 7	Location 38
18	Aisle 6	Location 18
19	Aisle 1	Location 0
20	Aisle 7	Location 18
Order 14	number of articles 5
0	Aisle 17	Location 32
1	Aisle 14	Location 24
2	Aisle 15	Location 9
3	Aisle 14	Location 17
4	Aisle 14	Location 2
Order 15	number of articles 13
0	Aisle 3	Location 24
1	Aisle 18	Location 33
2	Aisle 12	Location 23
3	Aisle 11	Location 2
4	Aisle 10	Location 37
5	Aisle 1	Location 13
6	Aisle 4	Location 14
7	Aisle 4	Location 25
8	Aisle 12	Location 35
9	Aisle 19	Location 34
10	Aisle 6	Location 17
11	Aisle 5	Location 36
12	Aisle 13	Location 40
Order 16	number of articles 13
0	Aisle 19	Location 1
1	Aisle 10	Location 38
2	Aisle 16	Location 38
3	Aisle 14	Location 44
4	Aisle 14	Location 3
5	Aisle 3	Location 40
6	Aisle 5	Location 24
7	Aisle 12	Location 43
8	Aisle 9	Location 32
9	Aisle 7	Location 24
10	Aisle 19	Location 18
11	Aisle 11	Location 35
12	Aisle 19	Location 20
Order 17	number of articles 17
0	Aisle 15	Location 0
1	Aisle 11	Location 12
2	Aisle 10	Location 21
3	Aisle 15	Location 12
4	Aisle 9	Location 13
5	Aisle 3	Location 14
6	Aisle 13	Location 3
7	Aisle 3	Location 31
8	Aisle 7	Location 30
9	Aisle 1	Location 37
10	Aisle 3	Location 20
11	Aisle 0	Location 22
12	Aisle 9	Location 43
13	Aisle 1	Location 31
14	Aisle 3	Location 34
15	Aisle 18	Location 22
16	Aisle 0	Location 8
Order 18	number of articles 15
0	Aisle 14	Location 28
1	Aisle 17	Location 12
2	Aisle 8	Location 26
3	Aisle 7	Location 5
4	Aisle 9	Location 43
5	Aisle 18	Location 25
6	Aisle 4	Location 20
7	Aisle 14	Location 44
8	Aisle 3	Location 3
9	Aisle 13	Location 15
10	Aisle 18	Location 35
11	Aisle 3	Location 18
12	Aisle 5	Location 25
13	Aisle 4	Location 16
14	Aisle 6	Location 8
Order 19	number of articles 20
0	Aisle 19	Location 29
1	Aisle 6	Location 8
2	Aisle 10	Location 12
3	Aisle 8	Location 0
4	Aisle 5	Location 30
5	Aisle 0	Location 13
6	Aisle 10	Location 11
7	Aisle 18	Location 4
8	Aisle 9	Location 16
9	Aisle 15	Location 34
10	Aisle 14	Location 29
11	Aisle 13	Location 2
12	Aisle 7	Location 0
13	Aisle 1	Location 17
14	Aisle 5	Location 43
15	Aisle 12	Location 23
16	Aisle 12	Location 15
17	Aisle 0	Location 28
18	Aisle 13	Location 12
19	Aisle 10	Location 33
Order 20	number of articles 24
0	Aisle 17	Location 37
1	Aisle 4	Location 28
2	Aisle 17	Location 31
3	Aisle 15	Location 30
4	Aisle 11	Location 19
5	Aisle 1	Location 18
6	Aisle 13	Location 33
7	Aisle 13	Location 8
8	Aisle 1	Location 6
9	Aisle 8	Location 25
10	Aisle 17	Location 25
11	Aisle 15	Location 27
12	Aisle 1	Location 34
13	Aisle 7	Location 15
14	Aisle 18	Location 12
15	Aisle 11	Location 3
16	Aisle 12	Location 31
17	Aisle 9	Location 11
18	Aisle 2	Location 19
19	Aisle 4	Location 8
20	Aisle 5	Location 13
21	Aisle 3	Location 5
22	Aisle 10	Location 1
23	Aisle 19	Location 35
Order 21	number of articles 5
0	Aisle 12	Location 36
1	Aisle 18	Location 35
2	Aisle 5	Location 21
3	Aisle 13	Location 1
4	Aisle 19	Location 4
Order 22	number of articles 13
0	Aisle 5	Location 41
1	Aisle 8	Location 43
2	Aisle 15	Location 33
3	Aisle 13	Location 0
4	Aisle 7	Location 14
5	Aisle 16	Location 12
6	Aisle 6	Location 39
7	Aisle 12	Location 2
8	Aisle 17	Location 1
9	Aisle 13	Location 8
10	Aisle 16	Location 27
11	Aisle 4	Location 36
12	Aisle 0	Location 39
Order 23	number of articles 10
0	Aisle 12	Location 35
1	Aisle 13	Location 32
2	Aisle 14	Location 31
3	Aisle 16	Location 41
4	Aisle 12	Location 39
5	Aisle 3	Location 21
6	Aisle 8	Location 25
7	Aisle 2	Location 38
8	Aisle 15	Location 21
9	Aisle 8	Location 33
Order 24	number of articles 21
0	Aisle 15	Location 13
1	Aisle 16	Location 37
2	Aisle 7	Location 6
3	Aisle 9	Location 2
4	Aisle 8	Location 17
5	Aisle 11	Location 33
6	Aisle 15	Location 0
7	Aisle 0	Location 34
8	Aisle 7	Location 27
9	Aisle 3	Location 40
10	Aisle 12	Location 38
11	Aisle 3	Location 15
12	Aisle 10	Location 36
13	Aisle 5	Location 36
14	Aisle 11	Location 32
15	Aisle 15	Location 16
16	Aisle 18	Location 23
17	Aisle 9	Location 4
18	Aisle 18	Location 38
19	Aisle 17	Location 41
20	Aisle 12	Location 22
Order 25	number of articles 9
0	Aisle 6	Location 20
1	Aisle 13	Location 10
2	Aisle 6	Location 36
3	Aisle 15	Location 21
4	Aisle 2	Location 23
5	Aisle 5	Location 15
6	Aisle 2	Location 18
7	Aisle 4	Location 9
8	Aisle 0	Location 0
Order 26	number of articles 24
0	Aisle 6	Location 29
1	Aisle 14	Location 44
2	Aisle 16	Location 42
3	Aisle 10	Location 2
4	Aisle 8	Location 26
5	Aisle 5	Location 26
6	Aisle 18	Location 30
7	Aisle 10	Location 14
8	Aisle 8	Location 11
9	Aisle 16	Location 29
10	Aisle 2	Location 6
