Order 0	number of articles 12
0	Aisle 4	Location 15
1	Aisle 6	Location 43
2	Aisle 12	Location 38
3	Aisle 4	Location 10
4	Aisle 8	Location 22
5	Aisle 18	Location 38
6	Aisle 0	Location 17
7	Aisle 7	Location 8
8	Aisle 11	Location 5
9	Aisle 6	Location 6
10	Aisle 3	Location 19
11	Aisle 18	Location 14
Order 1	number of articles 5
0	Aisle 16	Location 42
1	Aisle 7	Location 36
2	Aisle 1	Location 4
3	Aisle 8	Location 4
4	Aisle 19	Location 28
Order 2	number of articles 21
0	Aisle 2	Location 14
1	Aisle 11	Location 37
2	Aisle 6	Location 16
3	Aisle 8	Location 10
4	Aisle 6	Location 38
5	Aisle 14	Location 39
6	Aisle 8	Location 21
7	Aisle 9	Location 6
8	Aisle 11	Location 6
9	Aisle 18	Location 38
10	Aisle 2	Location 13
11	Aisle 3	Location 35
12	Aisle 14	Location 3
13	Aisle 19	Location 43
14	Aisle 11	Location 9
15	Aisle 6	Location 13
16	Aisle 18	Location 33
17	Aisle 17	Location 14
18	Aisle 2	Location 24
19	Aisle 11	Location 43
20	Aisle 9	Location 38
Order 3	number of articles 20
0	Aisle 9	Location 5
1	Aisle 13	Location 12
2	Aisle 7	Location 29
3	Aisle 16	Location 11
4	Aisle 8	Location 34
5	Aisle 16	Location 33
6	Aisle 15	Location 42
7	Aisle 9	Location 9
8	Aisle 0	Location 13
9	Aisle 9	Location 18
10	Aisle 16	Location 35
11	Aisle 7	Location 35
12	Aisle 11	Location 26
13	Aisle 8	Location 21
14	Aisle 13	Location 15
15	Aisle 18	Location 11
16	Aisle 16	Location 43
17	Aisle 5	Location 14
18	Aisle 15	Location 44
19	Aisle 15	Location 34
Order 4	number of articles 10
0	Aisle 14	Location 42
1	Aisle 17	Location 21
2	Aisle 7	Location 22
3	Aisle 19	Location 24
4	Aisle 14	Location 1
5	Aisle 18	Location 11
6	Aisle 16	Location 37
7	Aisle 10	Location 1
8	Aisle 11	Location 39
9	Aisle 8	Location 23
Order 5	number of articles 23
0	Aisle 15	Location 44
1	Aisle 7	Location 4
2	Aisle 8	Location 38
3	Aisle 14	Location 2
4	Aisle 0	Location 4
5	Aisle 3	Location 17
6	Aisle 17	Location 34
7	Aisle 10	Location 14
8	Aisle 18	Location 10
9	Aisle 15	Location 9
10	Aisle 7	Location 28
11	Aisle 10	Location 32
12	Aisle 18	Location 20
13	Aisle 12	Location 10
14	Aisle 0	Location 16
15	Aisle 7	Location 10
16	Aisle 16	Location 0
17	Aisle 3	Location 41
18	Aisle 16	Location 31
19	Aisle 9	Location 34
20	Aisle 14	Location 3
21	Aisle 14	Location 43
22	Aisle 5	Location 14
Order 6	number of articles 9
0	Aisle 17	Location 14
1	Aisle 18	Location 32
2	Aisle 8	Location 41
3	Aisle 3	Location 14
4	Aisle 16	Location 7
5	Aisle 5	Location 37
6	Aisle 2	Location 27
7	Aisle 0	Location 0
8	Aisle 3	Location 18
Order 7	number of articles 19
0	Aisle 13	Location 11
1	Aisle 5	Location 6
2	Aisle 6	Location 8
3	Aisle 0	Location 5
4	Aisle 8	Location 32
5	Aisle 10	Location 16
6	Aisle 10	Location 32
7	Aisle 11	Location 27
8	Aisle 7	Location 0
9	Aisle 5	Location 7
10	Aisle 2	Location 8
11	Aisle 15	Location 12
12	Aisle 8	Location 30
13	Aisle 12	Location 38
14	Aisle 4	Location 40
15	Aisle 17	Location 22
16	Aisle 4	Location 27
17	Aisle 9	Location 17
18	Aisle 19	Location 18
Order 8	number of articles 7
0	Aisle 19	Location 17
1	Aisle 3	Location 2
2	Aisle 1	Location 39
3	Aisle 4	Location 34
4	Aisle 18	Location 16
5	Aisle 9	Location 32
6	Aisle 0	Location 41
Order 9	number of articles 19
0	Aisle 12	Location 44
1	Aisle 2	Location 30
2	Aisle 7	Location 18
3	Aisle 15	Location 24
4	Aisle 9	Location 18
5	Aisle 18	Location 20
6	Aisle 19	Location 40
7	Aisle 12	Location 37
8	Aisle 1	Location 7
9	Aisle 9	Location 26
10	Aisle 18	Location 0
11	Aisle 17	Location 29
12	Aisle 5	Location 3
13	Aisle 13	Location 7
14	Aisle 4	Location 33
15	Aisle 10	Location 7
16	Aisle 2	Location 35
17	Aisle 17	Location 15
18	Aisle 12	Location 15
Order 10	number of articles 24
0	Aisle 16	Location 24
1	Aisle 0	Location 36
2	Aisle 2	Location 42
3	Aisle 5	Location 41
4	Aisle 18	Location 37
5	Aisle 11	Location 4
6	Aisle 14	Location 29
7	Aisle 5	Location 3
8	Aisle 8	Location 36
9	Aisle 15	Location 19
10	Aisle 6	Location 39
11	Aisle 0	Location 11
12	Aisle 5	Location 15
13	Aisle 4	Location 22
14	Aisle 3	Location 27
15	Aisle 5	Location 33
16	Aisle 2	Location 27
17	Aisle 10	Location 13
18	Aisle 3	Location 11
19	Aisle 16	Location 28
20	Aisle 14	Location 20
21	Aisle 17	Location 8
22	Aisle 17	Location 12
23	Aisle 8	Location 37
Order 11	number of articles 19
0	Aisle 0	Location 41
1	Aisle 7	Location 27
2	Aisle 16	Location 7
3	Aisle 4	Location 24
4	Aisle 3	Location 36
5	Aisle 19	Location 41
6	Aisle 2	Location 26
7	Aisle 19	Location 8
8	Aisle 12	Location 29
9	Aisle 3	Location 40
10	Aisle 19	Location 37
11	Aisle 16	Location 1
12	Aisle 8	Location 35
13	Aisle 10	Location 40
14	Aisle 0	Location 43
15	Aisle 10	Location 0
16	Aisle 11	Location 27
17	Aisle 6	Location 30
18	Aisle 5	Location 36
Order 12	number of articles 19
0	Aisle 3	Location 19
1	Aisle 13	Location 8
2	Aisle 3	Location 12
3	Aisle 19	Location 18
4	Aisle 11	Location 6
5	Aisle 0	Location 39
6	Aisle 2	Location 29
7	Aisle 3	Location 36
8	Aisle 11	Location 23
9	Aisle 4	Location 8
10	Aisle 2	Location 34
11	Aisle 9	Location 5
12	Aisle 16	Location 39
13	Aisle 18	Location 43
14	Aisle 5	Location 7
15	Aisle 8	Location 43
16	Aisle 2	Location 2
17	Aisle 12	Location 35
18	Aisle 0	Location 4
Order 13	number of articles 22
0	Aisle 18	Location 7
1	Aisle 13	Location 18
2	Aisle 5	Location 44
3	Aisle 0	Location 23
4	Aisle 7	Location 25
5	Aisle 18	Location 35
6	Aisle 2	Location 40
7	Aisle 10	Location 27
8	Aisle 7	Location 21
9	Aisle 8	Location 25
10	Aisle 10	Location 26
11	Aisle 9	Location 41
12	Aisle 5	Location 17
13	Aisle 11	Location 13
14	Aisle 9	Location 1
15	Aisle 12	Location 0
16	Aisle 17	Location 33
17	Aisle 13	Location 12
18	Aisle 17	Location 34
19	Aisle 2	Location 28
20	Aisle 16	Location 33
21	Aisle 8	Location 37
Order 14	number of articles 11
0	Aisle 7	Location 23
1	Aisle 8	Location 28
2	Aisle 19	Location 33
3	Aisle 2	Location 22
4	Aisle 6	Location 42
5	Aisle 5	Location 4
6	Aisle 15	Location 11
7	Aisle 6	Location 10
8	Aisle 4	Location 9
9	Aisle 16	Location 12
10	Aisle 15	Location 33
Order 15	number of articles 12
0	Aisle 11	Location 17
1	Aisle 13	Location 21
2	Aisle 13	Location 19
3	Aisle 9	Location 10
4	Aisle 3	Location 35
5	Aisle 6	Location 30
6	Aisle 18	Location 28
7	Aisle 15	Location 37
8	Aisle 13	Location 6
9	Aisle 15	Location 28
10	Aisle 5	Location 2
11	Aisle 19	Location 13
Order 16	number of articles 6
0	Aisle 4	Location 39
1	Aisle 3	Location 26
2	Aisle 16	Location 35
3	Aisle 5	Location 39
4	Aisle 8	Location 33
5	Aisle 0	Location 27
Order 17	number of articles 21
0	Aisle 9	Location 1
1	Aisle 15	Location 3
2	Aisle 17	Location 10
3	Aisle 3	Location 17
4	Aisle 18	Location 39
5	Aisle 9	Location 26
6	Aisle 14	Location 12
7	Aisle 0	Location 6
8	Aisle 12	Location 30
9	Aisle 7	Location 28
10	Aisle 8	Location 15
11	Aisle 15	Location 14
12	Aisle 0	Location 1
13	Aisle 14	Location 28
14	Aisle 14	Location 33
15	Aisle 10	Location 6
16	Aisle 14	Location 0
17	Aisle 13	Location 34
18	Aisle 19	Location 37
19	Aisle 2	Location 23
20	Aisle 12	Location 44
Order 18	number of articles 10
0	Aisle 1	Location 11
1	Aisle 14	Location 27
2	Aisle 10	Location 11
3	Aisle 3	Location 6
4	Aisle 8	Location 0
5	Aisle 6	Location 31
6	Aisle 15	Location 24
7	Aisle 16	Location 27
8	Aisle 11	Location 20
9	Aisle 6	Location 13
Order 19	number of articles 23
0	Aisle 9	Location 40
1	Aisle 9	Location 33
2	Aisle 6	Location 41
3	Aisle 18	Location 31
4	Aisle 0	Location 24
5	Aisle 13	Location 4
6	Aisle 7	Location 42
7	Aisle 19	Location 4
8	Aisle 9	Location 24
9	Aisle 16	Location 40
10	Aisle 0	Location 25
11	Aisle 0	Location 2
12	Aisle 12	Location 10
13	Aisle 4	Location 13
14	Aisle 2	Location 12
15	Aisle 3	Location 23
16	Aisle 14	Location 24
17	Aisle 4	Location 44
18	Aisle 5	Location 8
19	Aisle 8	Location 6
20	Aisle 15	Location 27
