Order 0	number of articles 18
0	Aisle 2	Location 10
1	Aisle 6	Location 28
2	Aisle 5	Location 26
3	Aisle 18	Location 36
4	Aisle 8	Location 9
5	Aisle 18	Location 16
6	Aisle 14	Location 24
7	Aisle 10	Location 11
8	Aisle 8	Location 8
9	Aisle 12	Location 31
10	Aisle 1	Location 37
11	Aisle 9	Location 38
12	Aisle 19	Location 13
13	Aisle 1	Location 1
14	Aisle 10	Location 35
15	Aisle 19	Location 39
16	Aisle 0	Location 25
17	Aisle 19	Location 43
Order 1	number of articles 6
0	Aisle 6	Location 37
1	Aisle 9	Location 13
2	Aisle 7	Location 0
3	Aisle 15	Location 25
4	Aisle 15	Location 14
5	Aisle 15	Location 37
Order 2	number of articles 23
0	Aisle 11	Location 7
1	Aisle 1	Location 30
2	Aisle 1	Location 1
3	Aisle 3	Location 42
4	Aisle 18	Location 42
5	Aisle 14	Location 13
6	Aisle 1	Location 3
7	Aisle 10	Location 3
8	Aisle 16	Location 15
9	Aisle 8	Location 24
10	Aisle 18	Location 24
11	Aisle 5	Location 14
12	Aisle 0	Location 24
13	Aisle 5	Location 20
14	Aisle 16	Location 41
15	Aisle 8	Location 18
16	Aisle 18	Location 10
17	Aisle 12	Location 32
18	Aisle 14	Location 42
19	Aisle 0	Location 28
20	Aisle 19	Location 43
21	Aisle 15	Location 16
22	Aisle 8	Location 20
Order 3	number of articles 10
0	Aisle 3	Location 21
1	Aisle 14	Location 37
2	Aisle 1	Location 15
3	Aisle 11	Location 39
4	Aisle 18	Location 12
5	Aisle 0	Location 23
6	Aisle 15	Location 8
7	Aisle 8	Location 27
8	Aisle 13	Location 24
9	Aisle 18	Location 36
Order 4	number of articles 21
0	Aisle 9	Location 39
1	Aisle 10	Location 17
2	Aisle 5	Location 25
3	Aisle 11	Location 4
4	Aisle 0	Location 12
5	Aisle 12	Location 27
6	Aisle 3	Location 39
7	Aisle 0	Location 38
8	Aisle 2	Location 2
9	Aisle 7	Location 1
10	Aisle 8	Location 13
11	Aisle 9	Location 18
12	Aisle 0	Location 36
13	Aisle 4	Location 14
14	Aisle 2	Location 38
15	Aisle 9	Location 35
16	Aisle 10	Location 26
17	Aisle 11	Location 43
18	Aisle 5	Location 26
19	Aisle 17	Location 6
20	Aisle 3	Location 37
Order 5	number of articles 22
0	Aisle 19	Location 0
1	Aisle 9	Location 27
2	Aisle 10	Location 3
3	Aisle 11	Location 18
4	Aisle 5	Location 9
5	Aisle 11	Location 43
6	Aisle 3	Location 34
7	Aisle 10	Location 11
8	Aisle 14	Location 30
9	Aisle 5	Location 40
10	Aisle 9	Location 40
11	Aisle 4	Location 2
12	Aisle 3	Location 8
13	Aisle 6	Location 24
14	Aisle 15	Location 2
15	Aisle 7	Location 24
16	Aisle 9	Location 13
17	Aisle 15	Location 0
18	Aisle 15	Location 11
19	Aisle 13	Location 12
20	Aisle 5	Location 11
21	Aisle 10	Location 28
Order 6	number of articles 21
0	Aisle 9	Location 25
1	Aisle 0	Location 44
2	Aisle 17	Location 1
3	Aisle 16	Location 1
4	Aisle 9	Location 40
5	Aisle 1	Location 26
6	Aisle 4	Location 35
7	Aisle 9	Location 19
8	Aisle 3	Location 6
9	Aisle 0	Location 24
10	Aisle 5	Location 35
11	Aisle 12	Location 27
12	Aisle 15	Location 4
13	Aisle 14	Location 25
14	Aisle 8	Location 11
15	Aisle 1	Location 10
16	Aisle 5	Location 34
17	Aisle 18	Location 32
18	Aisle 18	Location 44
19	Aisle 16	Location 33
20	Aisle 14	Location 9
Order 7	number of articles 22
0	Aisle 17	Location 27
1	Aisle 4	Location 23
2	Aisle 8	Location 20
3	Aisle 15	Location 10
4	Aisle 18	Location 26
5	Aisle 10	Location 26
6	Aisle 9	Location 3
7	Aisle 5	Location 7
8	Aisle 19	Location 14
9	Aisle 9	Location 17
10	Aisle 10	Location 7
11	Aisle 2	Location 11
12	Aisle 6	Location 10
13	Aisle 8	Location 32
14	Aisle 12	Location 21
15	Aisle 14	Location 0
16	Aisle 7	Location 21
17	Aisle 17	Location 22
18	Aisle 15	Location 40
19	Aisle 8	Location 37
20	Aisle 15	Location 31
21	Aisle 14	Location 30
