Order 0	number of articles 19
0	Aisle 11	Location 30
1	Aisle 18	Location 13
2	Aisle 14	Location 16
3	Aisle 4	Location 36
4	Aisle 16	Location 16
5	Aisle 19	Location 5
6	Aisle 14	Location 5
7	Aisle 2	Location 5
8	Aisle 18	Location 17
9	Aisle 18	Location 35
10	Aisle 4	Location 2
11	Aisle 18	Location 34
12	Aisle 16	Location 17
13	Aisle 12	Location 24
14	Aisle 14	Location 43
15	Aisle 17	Location 15
16	Aisle 10	Location 16
17	Aisle 18	Location 26
18	Aisle 0	Location 16
Order 1	number of articles 18
0	Aisle 17	Location 15
1	Aisle 17	Location 22
2	Aisle 10	Location 36
3	Aisle 18	Location 43
4	Aisle 3	Location 37
5	Aisle 9	Location 41
6	Aisle 12	Location 17
7	Aisle 19	Location 3
8	Aisle 18	Location 3
9	Aisle 4	Location 0
10	Aisle 5	Location 25
11	Aisle 4	Location 43
12	Aisle 5	Location 23
13	Aisle 19	Location 4
14	Aisle 11	Location 2
15	Aisle 17	Location 7
16	Aisle 4	Location 11
17	Aisle 13	Location 13
Order 2	number of articles 9
0	Aisle 9	Location 9
1	Aisle 15	Location 36
2	Aisle 4	Location 5
3	Aisle 14	Location 16
4	Aisle 14	Location 4
5	Aisle 10	Location 42
6	Aisle 16	Location 44
7	Aisle 19	Location 38
8	Aisle 3	Location 36
Order 3	number of articles 7
0	Aisle 11	Location 21
1	Aisle 2	Location 3
2	Aisle 6	Location 30
3	Aisle 2	Location 39
4	Aisle 10	Location 35
5	Aisle 10	Location 29
6	Aisle 11	Location 4
Order 4	number of articles 22
0	Aisle 10	Location 44
1	Aisle 14	Location 29
2	Aisle 18	Location 6
3	Aisle 7	Location 42
4	Aisle 8	Location 35
5	Aisle 11	Location 8
6	Aisle 3	Location 19
7	Aisle 12	Location 37
8	Aisle 5	Location 6
9	Aisle 11	Location 3
10	Aisle 16	Location 40
11	Aisle 0	Location 39
12	Aisle 2	Location 43
13	Aisle 5	Location 24
14	Aisle 8	Location 14
15	Aisle 10	Location 28
16	Aisle 19	Location 30
17	Aisle 17	Location 33
18	Aisle 1	Location 44
19	Aisle 9	Location 27
20	Aisle 4	Location 42
21	Aisle 10	Location 34
Order 5	number of articles 19
0	Aisle 14	Location 30
1	Aisle 7	Location 12
2	Aisle 18	Location 26
3	Aisle 14	Location 17
4	Aisle 4	Location 34
5	Aisle 0	Location 23
6	Aisle 4	Location 33
7	Aisle 19	Location 31
8	Aisle 0	Location 26
9	Aisle 6	Location 24
10	Aisle 12	Location 38
11	Aisle 2	Location 44
12	Aisle 16	Location 26
13	Aisle 1	Location 38
14	Aisle 11	Location 10
15	Aisle 9	Location 1
16	Aisle 8	Location 4
17	Aisle 12	Location 11
18	Aisle 15	Location 18
Order 6	number of articles 9
0	Aisle 19	Location 34
1	Aisle 19	Location 3
2	Aisle 7	Location 43
3	Aisle 17	Location 19
4	Aisle 6	Location 40
5	Aisle 17	Location 16
6	Aisle 6	Location 14
7	Aisle 2	Location 4
8	Aisle 18	Location 33
Order 7	number of articles 17
0	Aisle 16	Location 38
1	Aisle 0	Location 8
2	Aisle 14	Location 39
3	Aisle 19	Location 28
4	Aisle 15	Location 19
5	Aisle 9	Location 0
6	Aisle 13	Location 11
