Order 0	number of articles 17
0	Aisle 18	Location 24
1	Aisle 15	Location 28
2	Aisle 7	Location 19
3	Aisle 7	Location 41
4	Aisle 9	Location 41
5	Aisle 17	Location 25
6	Aisle 0	Location 28
7	Aisle 11	Location 4
8	Aisle 5	Location 23
9	Aisle 17	Location 28
10	Aisle 10	Location 15
11	Aisle 19	Location 23
12	Aisle 4	Location 24
13	Aisle 0	Location 27
14	Aisle 15	Location 15
15	Aisle 12	Location 37
16	Aisle 2	Location 28
Order 1	number of articles 20
0	Aisle 11	Location 35
1	Aisle 11	Location 26
2	Aisle 1	Location 22
3	Aisle 13	Location 6
4	Aisle 4	Location 38
5	Aisle 3	Location 0
6	Aisle 13	Location 39
7	Aisle 13	Location 25
8	Aisle 16	Location 18
9	Aisle 16	Location 6
10	Aisle 5	Location 41
11	Aisle 1	Location 21
12	Aisle 9	Location 32
13	Aisle 14	Location 18
14	Aisle 5	Location 24
15	Aisle 6	Location 30
16	Aisle 15	Location 29
17	Aisle 0	Location 13
18	Aisle 19	Location 29
19	Aisle 5	Location 2
Order 2	number of articles 18
0	Aisle 13	Location 3
1	Aisle 10	Location 10
2	Aisle 14	Location 4
3	Aisle 4	Location 29
4	Aisle 1	Location 31
5	Aisle 8	Location 36
6	Aisle 12	Location 39
7	Aisle 12	Location 16
8	Aisle 18	Location 29
9	Aisle 1	Location 42
10	Aisle 10	Location 13
11	Aisle 8	Location 11
12	Aisle 12	Location 25
13	Aisle 16	Location 37
14	Aisle 14	Location 8
15	Aisle 7	Location 44
16	Aisle 18	Location 42
17	Aisle 19	Location 38
Order 3	number of articles 21
0	Aisle 8	Location 42
1	Aisle 7	Location 40
2	Aisle 9	Location 37
3	Aisle 4	Location 39
4	Aisle 8	Location 38
5	Aisle 16	Location 40
6	Aisle 8	Location 41
7	Aisle 16	Location 31
8	Aisle 6	Location 12
9	Aisle 3	Location 36
10	Aisle 1	Location 35
11	Aisle 16	Location 26
12	Aisle 11	Location 44
13	Aisle 9	Location 4
14	Aisle 11	Location 1
15	Aisle 14	Location 12
16	Aisle 2	Location 18
17	Aisle 4	Location 9
18	Aisle 4	Location 40
19	Aisle 8	Location 27
20	Aisle 13	Location 43
Order 4	number of articles 9
0	Aisle 5	Location 18
1	Aisle 16	Location 31
2	Aisle 4	Location 7
3	Aisle 17	Location 7
4	Aisle 4	Location 2
5	Aisle 17	Location 38
6	Aisle 2	Location 34
7	Aisle 7	Location 14
8	Aisle 11	Location 17
Order 5	number of articles 14
0	Aisle 18	Location 42
1	Aisle 7	Location 17
2	Aisle 1	Location 41
3	Aisle 2	Location 19
4	Aisle 8	Location 28
5	Aisle 19	Location 38
6	Aisle 2	Location 26
7	Aisle 5	Location 35
8	Aisle 9	Location 43
9	Aisle 18	Location 8
10	Aisle 12	Location 38
11	Aisle 6	Location 13
12	Aisle 15	Location 0
13	Aisle 19	Location 20
Order 6	number of articles 14
0	Aisle 9	Location 25
1	Aisle 0	Location 37
2	Aisle 10	Location 0
3	Aisle 10	Location 21
4	Aisle 0	Location 31
5	Aisle 8	Location 35
6	Aisle 15	Location 31
7	Aisle 0	Location 6
8	Aisle 17	Location 35
9	Aisle 13	Location 27
10	Aisle 18	Location 9
11	Aisle 6	Location 22
12	Aisle 1	Location 31
13	Aisle 16	Location 2
Order 7	number of articles 23
0	Aisle 12	Location 40
1	Aisle 0	Location 41
2	Aisle 1	Location 17
3	Aisle 3	Location 7
4	Aisle 11	Location 19
5	Aisle 16	Location 44
6	Aisle 1	Location 4
7	Aisle 17	Location 22
8	Aisle 5	Location 22
9	Aisle 7	Location 32
10	Aisle 19	Location 36
11	Aisle 17	Location 43
12	Aisle 6	Location 31
13	Aisle 17	Location 0
14	Aisle 3	Location 16
15	Aisle 0	Location 33
16	Aisle 0	Location 32
17	Aisle 17	Location 41
18	Aisle 12	Location 26
19	Aisle 1	Location 2
20	Aisle 14	Location 21
21	Aisle 7	Location 26
22	Aisle 8	Location 28
Order 8	number of articles 13
0	Aisle 11	Location 24
1	Aisle 12	Location 6
2	Aisle 14	Location 23
3	Aisle 12	Location 35
4	Aisle 12	Location 29
5	Aisle 10	Location 2
