Order 0	number of articles 5
0	Aisle 16	Location 26
1	Aisle 8	Location 3
2	Aisle 8	Location 21
3	Aisle 14	Location 28
4	Aisle 2	Location 34
Order 1	number of articles 12
0	Aisle 11	Location 44
1	Aisle 16	Location 22
2	Aisle 1	Location 0
3	Aisle 10	Location 15
4	Aisle 11	Location 15
5	Aisle 10	Location 43
6	Aisle 7	Location 15
7	Aisle 5	Location 25
8	Aisle 15	Location 44
9	Aisle 9	Location 6
10	Aisle 12	Location 14
11	Aisle 17	Location 21
Order 2	number of articles 10
0	Aisle 6	Location 28
1	Aisle 15	Location 40
2	Aisle 1	Location 35
3	Aisle 14	Location 43
4	Aisle 8	Location 38
5	Aisle 8	Location 15
6	Aisle 3	Location 40
7	Aisle 18	Location 25
8	Aisle 13	Location 5
9	Aisle 7	Location 34
Order 3	number of articles 20
0	Aisle 14	Location 25
1	Aisle 17	Location 29
2	Aisle 15	Location 34
3	Aisle 6	Location 15
4	Aisle 4	Location 35
5	Aisle 0	Location 16
6	Aisle 7	Location 15
7	Aisle 10	Location 24
8	Aisle 13	Location 4
9	Aisle 11	Location 41
10	Aisle 17	Location 20
11	Aisle 12	Location 13
12	Aisle 16	Location 25
13	Aisle 13	Location 13
14	Aisle 13	Location 21
15	Aisle 9	Location 0
16	Aisle 16	Location 43
17	Aisle 3	Location 17
18	Aisle 17	Location 16
19	Aisle 11	Location 24
Order 4	number of articles 11
0	Aisle 16	Location 36
1	Aisle 11	Location 17
2	Aisle 7	Location 27
3	Aisle 7	Location 7
4	Aisle 6	Location 13
5	Aisle 17	Location 36
6	Aisle 8	Location 5
7	Aisle 9	Location 33
8	Aisle 0	Location 8
9	Aisle 2	Location 28
10	Aisle 5	Location 37
Order 5	number of articles 5
0	Aisle 17	Location 14
1	Aisle 10	Location 3
2	Aisle 4	Location 8
3	Aisle 7	Location 7
4	Aisle 11	Location 41
Order 6	number of articles 19
0	Aisle 5	Location 41
1	Aisle 18	Location 10
2	Aisle 0	Location 42
3	Aisle 19	Location 35
4	Aisle 4	Location 8
5	Aisle 10	Location 26
6	Aisle 8	Location 35
7	Aisle 4	Location 5
8	Aisle 7	Location 15
9	Aisle 12	Location 22
