Order 0	number of articles 18
0	Aisle 7	Location 1
1	Aisle 2	Location 39
2	Aisle 9	Location 19
3	Aisle 0	Location 8
4	Aisle 2	Location 40
5	Aisle 18	Location 5
6	Aisle 5	Location 24
7	Aisle 3	Location 25
8	Aisle 1	Location 34
9	Aisle 4	Location 14
10	Aisle 15	Location 37
11	Aisle 19	Location 34
12	Aisle 6	Location 31
13	Aisle 8	Location 25
14	Aisle 11	Location 35
15	Aisle 0	Location 25
16	Aisle 3	Location 38
17	Aisle 9	Location 17
Order 1	number of articles 8
0	Aisle 13	Location 34
1	Aisle 5	Location 8
2	Aisle 9	Location 32
3	Aisle 6	Location 21
4	Aisle 11	Location 5
5	Aisle 6	Location 8
6	Aisle 18	Location 11
7	Aisle 6	Location 2
Order 2	number of articles 6
0	Aisle 16	Location 7
1	Aisle 16	Location 11
2	Aisle 13	Location 15
3	Aisle 0	Location 19
4	Aisle 17	Location 6
5	Aisle 17	Location 29
Order 3	number of articles 14
0	Aisle 1	Location 14
1	Aisle 8	Location 6
2	Aisle 6	Location 31
3	Aisle 14	Location 13
4	Aisle 4	Location 36
5	Aisle 13	Location 39
6	Aisle 10	Location 19
7	Aisle 13	Location 26
8	Aisle 1	Location 13
9	Aisle 6	Location 8
10	Aisle 3	Location 18
11	Aisle 8	Location 30
12	Aisle 2	Location 42
13	Aisle 18	Location 34
Order 4	number of articles 22
0	Aisle 17	Location 29
1	Aisle 17	Location 7
2	Aisle 19	Location 19
3	Aisle 10	Location 31
4	Aisle 6	Location 12
5	Aisle 5	Location 29
6	Aisle 13	Location 25
7	Aisle 10	Location 15
8	Aisle 6	Location 3
9	Aisle 0	Location 20
10	Aisle 13	Location 4
11	Aisle 4	Location 37
12	Aisle 11	Location 1
13	Aisle 0	Location 15
14	Aisle 12	Location 30
15	Aisle 8	Location 38
16	Aisle 1	Location 11
17	Aisle 8	Location 4
18	Aisle 5	Location 33
19	Aisle 12	Location 38
20	Aisle 2	Location 11
21	Aisle 18	Location 8
Order 5	number of articles 12
0	Aisle 6	Location 41
1	Aisle 3	Location 28
2	Aisle 10	Location 13
3	Aisle 6	Location 7
4	Aisle 7	Location 27
5	Aisle 10	Location 44
6	Aisle 6	Location 38
7	Aisle 13	Location 30
8	Aisle 4	Location 13
9	Aisle 3	Location 19
10	Aisle 11	Location 2
11	Aisle 10	Location 34
Order 6	number of articles 23
0	Aisle 13	Location 10
1	Aisle 1	Location 20
2	Aisle 5	Location 11
3	Aisle 12	Location 26
4	Aisle 4	Location 10
5	Aisle 16	Location 31
6	Aisle 0	Location 1
7	Aisle 13	Location 27
8	Aisle 18	Location 36
9	Aisle 1	Location 28
10	Aisle 10	Location 14
11	Aisle 15	Location 6
12	Aisle 7	Location 27
13	Aisle 9	Location 10
14	Aisle 3	Location 38
15	Aisle 16	Location 33
16	Aisle 2	Location 33
17	Aisle 19	Location 43
18	Aisle 7	Location 32
19	Aisle 14	Location 1
20	Aisle 15	Location 15
21	Aisle 15	Location 31
22	Aisle 18	Location 35
Order 7	number of articles 20
0	Aisle 18	Location 17
1	Aisle 19	Location 12
2	Aisle 1	Location 4
3	Aisle 10	Location 14
4	Aisle 8	Location 2
5	Aisle 3	Location 24
6	Aisle 17	Location 37
7	Aisle 11	Location 25
8	Aisle 4	Location 7
9	Aisle 8	Location 22
10	Aisle 1	Location 35
11	Aisle 0	Location 33
12	Aisle 16	Location 20
13	Aisle 2	Location 24
14	Aisle 13	Location 40
15	Aisle 5	Location 36
16	Aisle 5	Location 12
17	Aisle 6	Location 27
18	Aisle 8	Location 5
19	Aisle 7	Location 18
Order 8	number of articles 22
0	Aisle 1	Location 20
1	Aisle 6	Location 15
2	Aisle 0	Location 35
3	Aisle 17	Location 36
4	Aisle 13	Location 1
5	Aisle 17	Location 21
6	Aisle 7	Location 27
7	Aisle 5	Location 8
8	Aisle 0	Location 20
9	Aisle 0	Location 28
10	Aisle 14	Location 23
11	Aisle 17	Location 41
12	Aisle 1	Location 9
13	Aisle 14	Location 2
14	Aisle 2	Location 0
15	Aisle 9	Location 23
16	Aisle 11	Location 32
17	Aisle 14	Location 20
18	Aisle 18	Location 15
19	Aisle 3	Location 15
20	Aisle 7	Location 5
21	Aisle 17	Location 0
Order 9	number of articles 13
0	Aisle 17	Location 22
1	Aisle 7	Location 37
2	Aisle 18	Location 18
3	Aisle 6	Location 38
4	Aisle 18	Location 10
5	Aisle 8	Location 32
6	Aisle 19	Location 2
7	Aisle 11	Location 44
8	Aisle 1	Location 28
9	Aisle 16	Location 11
10	Aisle 17	Location 31
11	Aisle 15	Location 19
12	Aisle 8	Location 35
Order 10	number of articles 24
0	Aisle 7	Location 21
1	Aisle 5	Location 8
2	Aisle 3	Location 11
3	Aisle 6	Location 26
4	Aisle 4	Location 7
5	Aisle 13	Location 9
6	Aisle 12	Location 36
7	Aisle 10	Location 13
8	Aisle 3	Location 4
9	Aisle 10	Location 32
10	Aisle 16	Location 11
11	Aisle 4	Location 3
12	Aisle 13	Location 20
13	Aisle 11	Location 24
14	Aisle 15	Location 12
15	Aisle 5	Location 4
16	Aisle 15	Location 34
17	Aisle 11	Location 15
18	Aisle 2	Location 36
19	Aisle 15	Location 18
20	Aisle 7	Location 16
21	Aisle 6	Location 29
22	Aisle 14	Location 30
23	Aisle 12	Location 30
Order 11	number of articles 12
0	Aisle 11	Location 2
1	Aisle 15	Location 11
2	Aisle 16	Location 39
3	Aisle 14	Location 14
4	Aisle 0	Location 39
5	Aisle 3	Location 4
6	Aisle 4	Location 44
7	Aisle 16	Location 15
8	Aisle 4	Location 20
9	Aisle 5	Location 6
10	Aisle 19	Location 41
11	Aisle 14	Location 29
Order 12	number of articles 8
0	Aisle 3	Location 14
1	Aisle 11	Location 41
2	Aisle 5	Location 3
3	Aisle 2	Location 6
4	Aisle 5	Location 43
5	Aisle 9	Location 28
6	Aisle 10	Location 16
7	Aisle 0	Location 22
Order 13	number of articles 11
0	Aisle 1	Location 24
1	Aisle 8	Location 20
2	Aisle 7	Location 35
3	Aisle 13	Location 10
4	Aisle 1	Location 35
5	Aisle 17	Location 15
6	Aisle 16	Location 14
7	Aisle 10	Location 8
8	Aisle 11	Location 6
9	Aisle 0	Location 8
10	Aisle 12	Location 43
Order 14	number of articles 6
0	Aisle 5	Location 21
1	Aisle 2	Location 42
2	Aisle 16	Location 7
3	Aisle 7	Location 21
4	Aisle 2	Location 20
5	Aisle 19	Location 2
Order 15	number of articles 16
0	Aisle 17	Location 1
1	Aisle 12	Location 6
2	Aisle 15	Location 25
3	Aisle 16	Location 34
4	Aisle 19	Location 44
5	Aisle 10	Location 23
6	Aisle 6	Location 14
7	Aisle 8	Location 3
8	Aisle 2	Location 42
9	Aisle 17	Location 6
10	Aisle 13	Location 40
11	Aisle 7	Location 26
12	Aisle 13	Location 31
13	Aisle 5	Location 21
14	Aisle 2	Location 17
15	Aisle 13	Location 24
Order 16	number of articles 24
0	Aisle 11	Location 41
1	Aisle 17	Location 38
2	Aisle 5	Location 28
3	Aisle 12	Location 23
4	Aisle 16	Location 23
5	Aisle 11	Location 13
