Order 0	number of articles 13
0	Aisle 12	Location 1
1	Aisle 12	Location 35
2	Aisle 14	Location 40
3	Aisle 7	Location 8
4	Aisle 6	Location 35
5	Aisle 9	Location 1
6	Aisle 16	Location 18
7	Aisle 15	Location 7
8	Aisle 4	Location 24
9	Aisle 16	Location 25
10	Aisle 7	Location 13
11	Aisle 8	Location 7
12	Aisle 19	Location 26
Order 1	number of articles 15
0	Aisle 9	Location 3
1	Aisle 6	Location 29
2	Aisle 18	Location 43
3	Aisle 4	Location 6
4	Aisle 19	Location 41
5	Aisle 14	Location 15
6	Aisle 7	Location 19
7	Aisle 6	Location 30
8	Aisle 19	Location 14
9	Aisle 4	Location 10
10	Aisle 16	Location 13
11	Aisle 1	Location 29
12	Aisle 3	Location 44
13	Aisle 10	Location 16
14	Aisle 9	Location 1
Order 2	number of articles 20
0	Aisle 17	Location 34
1	Aisle 15	Location 24
2	Aisle 7	Location 25
3	Aisle 4	Location 40
4	Aisle 4	Location 24
5	Aisle 12	Location 14
6	Aisle 9	Location 23
7	Aisle 6	Location 20
8	Aisle 12	Location 22
9	Aisle 7	Location 0
10	Aisle 18	Location 22
11	Aisle 1	Location 12
12	Aisle 12	Location 26
13	Aisle 19	Location 31
14	Aisle 3	Location 13
15	Aisle 8	Location 28
16	Aisle 8	Location 18
17	Aisle 10	Location 26
18	Aisle 14	Location 38
19	Aisle 14	Location 21
Order 3	number of articles 5
0	Aisle 7	Location 44
1	Aisle 19	Location 1
2	Aisle 5	Location 3
3	Aisle 12	Location 5
4	Aisle 0	Location 10
Order 4	number of articles 18
0	Aisle 13	Location 29
1	Aisle 13	Location 36
2	Aisle 2	Location 25
3	Aisle 1	Location 26
4	Aisle 0	Location 29
5	Aisle 19	Location 41
6	Aisle 6	Location 43
7	Aisle 10	Location 21
8	Aisle 0	Location 34
9	Aisle 10	Location 2
10	Aisle 11	Location 19
11	Aisle 13	Location 14
12	Aisle 4	Location 2
13	Aisle 17	Location 18
14	Aisle 4	Location 21
15	Aisle 3	Location 5
16	Aisle 0	Location 25
17	Aisle 6	Location 15
Order 5	number of articles 10
0	Aisle 16	Location 43
1	Aisle 16	Location 25
2	Aisle 17	Location 14
3	Aisle 0	Location 38
4	Aisle 15	Location 28
5	Aisle 9	Location 3
6	Aisle 10	Location 40
7	Aisle 0	Location 14
8	Aisle 1	Location 44
9	Aisle 5	Location 2
Order 6	number of articles 10
0	Aisle 7	Location 2
1	Aisle 19	Location 26
2	Aisle 12	Location 24
3	Aisle 11	Location 29
4	Aisle 1	Location 10
5	Aisle 3	Location 31
6	Aisle 6	Location 37
7	Aisle 6	Location 39
8	Aisle 19	Location 44
9	Aisle 8	Location 7
Order 7	number of articles 5
0	Aisle 7	Location 9
1	Aisle 3	Location 25
2	Aisle 3	Location 38
3	Aisle 13	Location 2
4	Aisle 2	Location 38
Order 8	number of articles 15
0	Aisle 10	Location 34
1	Aisle 8	Location 37
2	Aisle 15	Location 17
3	Aisle 6	Location 32
4	Aisle 10	Location 41
5	Aisle 2	Location 37
6	Aisle 13	Location 28
7	Aisle 17	Location 28
8	Aisle 5	Location 8
9	Aisle 11	Location 4
10	Aisle 4	Location 41
11	Aisle 8	Location 4
12	Aisle 11	Location 24
13	Aisle 10	Location 43
14	Aisle 4	Location 16
Order 9	number of articles 8
0	Aisle 6	Location 32
1	Aisle 9	Location 43
2	Aisle 10	Location 28
3	Aisle 0	Location 17
4	Aisle 19	Location 44
5	Aisle 10	Location 40
6	Aisle 6	Location 29
7	Aisle 9	Location 0
Order 10	number of articles 5
0	Aisle 19	Location 27
1	Aisle 13	Location 35
2	Aisle 7	Location 3
3	Aisle 6	Location 5
4	Aisle 6	Location 21
Order 11	number of articles 11
0	Aisle 12	Location 28
1	Aisle 12	Location 25
2	Aisle 5	Location 10
3	Aisle 14	Location 6
4	Aisle 14	Location 44
5	Aisle 18	Location 43
6	Aisle 1	Location 25
7	Aisle 11	Location 42
8	Aisle 5	Location 14
9	Aisle 15	Location 28
10	Aisle 1	Location 20
Order 12	number of articles 11
0	Aisle 11	Location 5
1	Aisle 7	Location 33
2	Aisle 2	Location 38
3	Aisle 2	Location 36
4	Aisle 11	Location 24
5	Aisle 15	Location 31
6	Aisle 12	Location 34
7	Aisle 17	Location 38
8	Aisle 9	Location 1
9	Aisle 8	Location 11
10	Aisle 12	Location 39
Order 13	number of articles 10
0	Aisle 4	Location 27
1	Aisle 4	Location 43
2	Aisle 9	Location 31
3	Aisle 19	Location 17
4	Aisle 13	Location 44
5	Aisle 17	Location 43
6	Aisle 12	Location 41
7	Aisle 19	Location 22
8	Aisle 5	Location 33
9	Aisle 6	Location 16
Order 14	number of articles 16
0	Aisle 14	Location 19
1	Aisle 5	Location 18
2	Aisle 12	Location 44
3	Aisle 12	Location 25
4	Aisle 14	Location 5
5	Aisle 4	Location 38
6	Aisle 14	Location 35
7	Aisle 6	Location 35
8	Aisle 19	Location 33
9	Aisle 9	Location 8
10	Aisle 16	Location 20
11	Aisle 9	Location 1
12	Aisle 19	Location 29
13	Aisle 17	Location 0
14	Aisle 12	Location 35
15	Aisle 7	Location 37
Order 15	number of articles 15
0	Aisle 14	Location 31
1	Aisle 10	Location 21
2	Aisle 19	Location 6
3	Aisle 13	Location 9
4	Aisle 12	Location 37
5	Aisle 4	Location 38
6	Aisle 19	Location 35
7	Aisle 4	Location 8
8	Aisle 6	Location 23
9	Aisle 8	Location 11
10	Aisle 5	Location 34
11	Aisle 10	Location 6
12	Aisle 17	Location 10
13	Aisle 1	Location 24
14	Aisle 17	Location 17
Order 16	number of articles 7
0	Aisle 12	Location 3
1	Aisle 2	Location 13
2	Aisle 3	Location 29
3	Aisle 8	Location 28
4	Aisle 19	Location 39
5	Aisle 0	Location 14
6	Aisle 2	Location 30
Order 17	number of articles 5
0	Aisle 8	Location 5
1	Aisle 0	Location 29
2	Aisle 1	Location 14
3	Aisle 13	Location 4
4	Aisle 0	Location 21
Order 18	number of articles 9
0	Aisle 11	Location 17
1	Aisle 15	Location 7
2	Aisle 11	Location 6
3	Aisle 3	Location 42
4	Aisle 9	Location 2
5	Aisle 3	Location 9
6	Aisle 14	Location 40
7	Aisle 7	Location 12
8	Aisle 15	Location 2
Order 19	number of articles 16
0	Aisle 8	Location 32
1	Aisle 10	Location 39
2	Aisle 18	Location 30
3	Aisle 15	Location 14
4	Aisle 12	Location 30
5	Aisle 1	Location 10
6	Aisle 5	Location 26
7	Aisle 8	Location 43
8	Aisle 16	Location 44
9	Aisle 0	Location 13
10	Aisle 9	Location 31
11	Aisle 16	Location 28
12	Aisle 4	Location 13
13	Aisle 18	Location 24
14	Aisle 13	Location 36
15	Aisle 7	Location 8
Order 20	number of articles 10
0	Aisle 8	Location 39
1	Aisle 2	Location 2
2	Aisle 16	Location 6
3	Aisle 0	Location 6
4	Aisle 1	Location 27
5	Aisle 1	Location 26
6	Aisle 19	Location 27
7	Aisle 12	Location 43
8	Aisle 19	Location 25
9	Aisle 6	Location 44
Order 21	number of articles 6
0	Aisle 12	Location 28
1	Aisle 13	Location 43
2	Aisle 12	Location 25
3	Aisle 4	Location 16
4	Aisle 16	Location 26
5	Aisle 15	Location 17
Order 22	number of articles 7
0	Aisle 16	Location 30
1	Aisle 19	Location 9
2	Aisle 14	Location 22
3	Aisle 14	Location 34
4	Aisle 15	Location 2
5	Aisle 12	Location 3
6	Aisle 15	Location 10
Order 23	number of articles 6
0	Aisle 14	Location 3
1	Aisle 7	Location 38
2	Aisle 11	Location 28
3	Aisle 11	Location 30
4	Aisle 3	Location 39
5	Aisle 17	Location 40
Order 24	number of articles 7
0	Aisle 18	Location 35
1	Aisle 0	Location 30
2	Aisle 16	Location 0
3	Aisle 17	Location 29
4	Aisle 1	Location 29
5	Aisle 6	Location 27
6	Aisle 2	Location 22
Order 25	number of articles 13
0	Aisle 6	Location 21
1	Aisle 3	Location 42
2	Aisle 4	Location 5
3	Aisle 9	Location 25
4	Aisle 17	Location 40
5	Aisle 10	Location 33
6	Aisle 18	Location 22
7	Aisle 6	Location 23
8	Aisle 8	Location 10
9	Aisle 8	Location 16
10	Aisle 15	Location 38
11	Aisle 7	Location 42
12	Aisle 11	Location 22
Order 26	number of articles 23
0	Aisle 7	Location 3
1	Aisle 14	Location 37
2	Aisle 12	Location 31
3	Aisle 3	Location 25
4	Aisle 19	Location 18
5	Aisle 16	Location 41
6	Aisle 5	Location 13
7	Aisle 10	Location 40
8	Aisle 4	Location 28
9	Aisle 9	Location 30
10	Aisle 17	Location 29
11	Aisle 7	Location 27
12	Aisle 3	Location 18
13	Aisle 5	Location 6
14	Aisle 19	Location 29
15	Aisle 10	Location 12
16	Aisle 19	Location 44
17	Aisle 1	Location 2
18	Aisle 9	Location 16
19	Aisle 14	Location 3
20	Aisle 3	Location 44
21	Aisle 2	Location 36
22	Aisle 15	Location 15
Order 27	number of articles 11
0	Aisle 0	Location 37
1	Aisle 4	Location 28
2	Aisle 17	Location 19
3	Aisle 18	Location 7
4	Aisle 16	Location 12
5	Aisle 11	Location 12
