Order 0	number of articles 17
0	Aisle 5	Location 27
1	Aisle 13	Location 29
2	Aisle 13	Location 34
3	Aisle 9	Location 38
4	Aisle 2	Location 28
5	Aisle 9	Location 27
6	Aisle 19	Location 27
7	Aisle 4	Location 2
8	Aisle 19	Location 43
9	Aisle 7	Location 27
10	Aisle 15	Location 44
11	Aisle 2	Location 5
12	Aisle 1	Location 26
13	Aisle 6	Location 18
14	Aisle 4	Location 28
15	Aisle 3	Location 6
16	Aisle 11	Location 34
Order 1	number of articles 14
0	Aisle 8	Location 10
1	Aisle 10	Location 6
2	Aisle 1	Location 0
3	Aisle 10	Location 19
4	Aisle 2	Location 27
5	Aisle 15	Location 20
6	Aisle 10	Location 18
7	Aisle 18	Location 15
8	Aisle 18	Location 5
9	Aisle 14	Location 42
10	Aisle 8	Location 28
11	Aisle 6	Location 39
12	Aisle 11	Location 34
13	Aisle 11	Location 17
Order 2	number of articles 24
0	Aisle 13	Location 30
1	Aisle 1	Location 10
2	Aisle 8	Location 14
3	Aisle 9	Location 5
4	Aisle 9	Location 0
5	Aisle 14	Location 28
6	Aisle 5	Location 1
7	Aisle 12	Location 26
8	Aisle 3	Location 26
9	Aisle 15	Location 12
10	Aisle 6	Location 16
11	Aisle 4	Location 1
12	Aisle 18	Location 31
13	Aisle 4	Location 38
14	Aisle 16	Location 32
15	Aisle 11	Location 18
16	Aisle 7	Location 31
17	Aisle 12	Location 1
18	Aisle 18	Location 5
19	Aisle 1	Location 0
20	Aisle 7	Location 24
21	Aisle 18	Location 35
22	Aisle 15	Location 14
23	Aisle 7	Location 7
Order 3	number of articles 9
0	Aisle 14	Location 15
1	Aisle 18	Location 5
2	Aisle 9	Location 22
3	Aisle 13	Location 19
4	Aisle 7	Location 18
5	Aisle 17	Location 15
6	Aisle 11	Location 39
7	Aisle 12	Location 8
8	Aisle 16	Location 41
Order 4	number of articles 20
0	Aisle 8	Location 21
1	Aisle 0	Location 0
2	Aisle 5	Location 18
3	Aisle 4	Location 5
4	Aisle 9	Location 33
5	Aisle 4	Location 32
6	Aisle 3	Location 36
7	Aisle 19	Location 27
8	Aisle 3	Location 6
9	Aisle 9	Location 40
10	Aisle 1	Location 23
11	Aisle 16	Location 6
12	Aisle 5	Location 6
13	Aisle 19	Location 16
14	Aisle 10	Location 17
15	Aisle 10	Location 39
16	Aisle 5	Location 7
17	Aisle 14	Location 28
18	Aisle 1	Location 19
19	Aisle 2	Location 24
Order 5	number of articles 19
0	Aisle 16	Location 14
1	Aisle 5	Location 37
2	Aisle 3	Location 10
3	Aisle 15	Location 4
4	Aisle 12	Location 41
5	Aisle 9	Location 17
6	Aisle 5	Location 30
7	Aisle 3	Location 25
8	Aisle 12	Location 38
9	Aisle 14	Location 23
10	Aisle 13	Location 26
11	Aisle 13	Location 39
12	Aisle 6	Location 44
13	Aisle 8	Location 29
14	Aisle 2	Location 30
15	Aisle 19	Location 27
16	Aisle 16	Location 26
17	Aisle 8	Location 42
18	Aisle 14	Location 34
Order 6	number of articles 5
0	Aisle 18	Location 35
1	Aisle 2	Location 43
2	Aisle 12	Location 10
3	Aisle 2	Location 40
4	Aisle 3	Location 36
Order 7	number of articles 10
0	Aisle 10	Location 9
1	Aisle 5	Location 8
2	Aisle 12	Location 36
3	Aisle 10	Location 38
4	Aisle 2	Location 1
5	Aisle 8	Location 1
6	Aisle 9	Location 8
7	Aisle 10	Location 14
8	Aisle 3	Location 30
9	Aisle 0	Location 35
Order 8	number of articles 6
0	Aisle 16	Location 35
1	Aisle 13	Location 10
2	Aisle 2	Location 21
3	Aisle 0	Location 15
4	Aisle 16	Location 43
5	Aisle 15	Location 18
Order 9	number of articles 23
