Order 0	number of articles 17
0	Aisle 5	Location 10
1	Aisle 13	Location 34
2	Aisle 9	Location 10
3	Aisle 5	Location 28
4	Aisle 14	Location 17
5	Aisle 14	Location 20
6	Aisle 18	Location 30
7	Aisle 17	Location 0
8	Aisle 0	Location 24
9	Aisle 19	Location 15
10	Aisle 17	Location 14
11	Aisle 1	Location 36
12	Aisle 7	Location 8
13	Aisle 7	Location 31
14	Aisle 3	Location 5
15	Aisle 12	Location 13
16	Aisle 0	Location 14
Order 1	number of articles 9
0	Aisle 17	Location 0
1	Aisle 15	Location 16
2	Aisle 18	Location 1
3	Aisle 0	Location 42
4	Aisle 2	Location 37
5	Aisle 6	Location 31
6	Aisle 18	Location 9
7	Aisle 16	Location 2
8	Aisle 5	Location 12
Order 2	number of articles 5
0	Aisle 5	Location 19
1	Aisle 10	Location 17
2	Aisle 8	Location 22
3	Aisle 4	Location 31
4	Aisle 13	Location 40
Order 3	number of articles 14
0	Aisle 13	Location 40
1	Aisle 1	Location 29
2	Aisle 3	Location 42
3	Aisle 6	Location 32
4	Aisle 12	Location 19
5	Aisle 13	Location 30
6	Aisle 6	Location 36
7	Aisle 4	Location 7
8	Aisle 19	Location 30
9	Aisle 9	Location 12
10	Aisle 19	Location 43
11	Aisle 1	Location 27
12	Aisle 14	Location 27
13	Aisle 17	Location 5
Order 4	number of articles 12
0	Aisle 6	Location 6
1	Aisle 12	Location 38
2	Aisle 14	Location 16
3	Aisle 1	Location 44
4	Aisle 6	Location 24
5	Aisle 18	Location 42
6	Aisle 0	Location 31
7	Aisle 2	Location 1
8	Aisle 16	Location 37
9	Aisle 3	Location 24
10	Aisle 14	Location 20
11	Aisle 5	Location 30
Order 5	number of articles 12
0	Aisle 4	Location 1
1	Aisle 9	Location 34
2	Aisle 17	Location 44
3	Aisle 2	Location 13
4	Aisle 18	Location 40
5	Aisle 15	Location 16
6	Aisle 15	Location 14
7	Aisle 13	Location 6
8	Aisle 19	Location 1
9	Aisle 14	Location 30
10	Aisle 15	Location 42
11	Aisle 6	Location 16
Order 6	number of articles 9
0	Aisle 17	Location 37
1	Aisle 9	Location 30
