Order 0	number of articles 17
0	Aisle 8	Location 16
1	Aisle 5	Location 30
2	Aisle 15	Location 21
3	Aisle 12	Location 10
4	Aisle 17	Location 1
5	Aisle 19	Location 21
6	Aisle 15	Location 31
7	Aisle 13	Location 41
8	Aisle 11	Location 17
9	Aisle 8	Location 34
10	Aisle 8	Location 22
11	Aisle 13	Location 2
12	Aisle 11	Location 2
13	Aisle 6	Location 7
14	Aisle 1	Location 32
15	Aisle 13	Location 7
16	Aisle 14	Location 4
Order 1	number of articles 23
0	Aisle 4	Location 7
1	Aisle 10	Location 17
2	Aisle 14	Location 31
3	Aisle 3	Location 42
4	Aisle 7	Location 26
5	Aisle 18	Location 21
6	Aisle 16	Location 33
7	Aisle 16	Location 16
8	Aisle 11	Location 4
9	Aisle 11	Location 2
10	Aisle 4	Location 13
11	Aisle 17	Location 35
12	Aisle 9	Location 25
13	Aisle 4	Location 22
14	Aisle 5	Location 31
15	Aisle 0	Location 43
16	Aisle 13	Location 28
17	Aisle 18	Location 18
18	Aisle 18	Location 40
19	Aisle 15	Location 2
20	Aisle 1	Location 23
21	Aisle 17	Location 29
22	Aisle 0	Location 12
Order 2	number of articles 17
0	Aisle 7	Location 25
1	Aisle 8	Location 27
2	Aisle 13	Location 33
3	Aisle 19	Location 19
4	Aisle 0	Location 20
5	Aisle 12	Location 19
6	Aisle 8	Location 40
7	Aisle 4	Location 8
8	Aisle 5	Location 25
9	Aisle 7	Location 35
10	Aisle 2	Location 28
11	Aisle 7	Location 28
12	Aisle 11	Location 31
13	Aisle 4	Location 41
14	Aisle 12	Location 38
15	Aisle 11	Location 16
16	Aisle 18	Location 3
Order 3	number of articles 11
0	Aisle 4	Location 1
1	Aisle 7	Location 34
2	Aisle 8	Location 39
3	Aisle 0	Location 6
4	Aisle 2	Location 29
5	Aisle 12	Location 38
6	Aisle 8	Location 35
7	Aisle 13	Location 4
8	Aisle 14	Location 20
9	Aisle 13	Location 39
10	Aisle 15	Location 39
Order 4	number of articles 5
0	Aisle 7	Location 44
1	Aisle 0	Location 5
2	Aisle 13	Location 0
3	Aisle 13	Location 2
4	Aisle 5	Location 38
Order 5	number of articles 6
0	Aisle 9	Location 6
1	Aisle 11	Location 44
2	Aisle 18	Location 34
3	Aisle 6	Location 13
4	Aisle 11	Location 13
5	Aisle 2	Location 31
Order 6	number of articles 12
0	Aisle 3	Location 21
1	Aisle 14	Location 14
2	Aisle 19	Location 10
3	Aisle 11	Location 17
4	Aisle 8	Location 4
5	Aisle 4	Location 35
6	Aisle 3	Location 17
7	Aisle 2	Location 2
8	Aisle 3	Location 38
9	Aisle 5	Location 36
10	Aisle 0	Location 34
11	Aisle 3	Location 23
Order 7	number of articles 14
0	Aisle 11	Location 27
1	Aisle 17	Location 16
2	Aisle 2	Location 7
3	Aisle 2	Location 16
4	Aisle 12	Location 30
5	Aisle 1	Location 18
6	Aisle 6	Location 44
7	Aisle 13	Location 44
8	Aisle 7	Location 25
9	Aisle 4	Location 25
10	Aisle 8	Location 15
11	Aisle 9	Location 25
12	Aisle 3	Location 22
13	Aisle 3	Location 41
Order 8	number of articles 14
0	Aisle 1	Location 17
1	Aisle 1	Location 36
2	Aisle 19	Location 27
3	Aisle 5	Location 16
4	Aisle 14	Location 35
5	Aisle 12	Location 17
6	Aisle 10	Location 8
7	Aisle 11	Location 21
8	Aisle 0	Location 38
9	Aisle 6	Location 41
10	Aisle 11	Location 19
11	Aisle 3	Location 11
12	Aisle 14	Location 1
13	Aisle 16	Location 11
Order 9	number of articles 24
0	Aisle 9	Location 4
1	Aisle 19	Location 31
2	Aisle 19	Location 32
3	Aisle 10	Location 37
4	Aisle 9	Location 17
5	Aisle 5	Location 9
6	Aisle 3	Location 28
7	Aisle 19	Location 8
8	Aisle 5	Location 8
9	Aisle 15	Location 44
