Order 0	number of articles 14
0	Aisle 10	Location 2
1	Aisle 15	Location 11
2	Aisle 14	Location 41
3	Aisle 19	Location 0
4	Aisle 2	Location 1
5	Aisle 1	Location 12
6	Aisle 12	Location 27
7	Aisle 15	Location 5
8	Aisle 9	Location 16
9	Aisle 6	Location 8
10	Aisle 6	Location 12
11	Aisle 10	Location 16
12	Aisle 10	Location 30
13	Aisle 10	Location 17
Order 1	number of articles 13
0	Aisle 4	Location 26
1	Aisle 11	Location 24
2	Aisle 14	Location 15
3	Aisle 3	Location 1
4	Aisle 14	Location 35
5	Aisle 12	Location 34
6	Aisle 6	Location 12
7	Aisle 9	Location 44
8	Aisle 4	Location 21
9	Aisle 19	Location 6
10	Aisle 8	Location 18
11	Aisle 5	Location 11
12	Aisle 9	Location 22
Order 2	number of articles 6
0	Aisle 13	Location 20
1	Aisle 14	Location 17
2	Aisle 7	Location 10
3	Aisle 18	Location 41
4	Aisle 10	Location 28
5	Aisle 1	Location 44
Order 3	number of articles 9
0	Aisle 19	Location 9
1	Aisle 17	Location 34
2	Aisle 6	Location 40
3	Aisle 19	Location 35
4	Aisle 4	Location 27
5	Aisle 18	Location 1
6	Aisle 7	Location 41
7	Aisle 11	Location 8
8	Aisle 14	Location 16
Order 4	number of articles 9
0	Aisle 0	Location 37
1	Aisle 10	Location 36
2	Aisle 4	Location 32
3	Aisle 1	Location 18
4	Aisle 13	Location 31
5	Aisle 17	Location 1
6	Aisle 15	Location 31
7	Aisle 8	Location 9
8	Aisle 10	Location 29
Order 5	number of articles 18
0	Aisle 8	Location 8
1	Aisle 14	Location 32
2	Aisle 9	Location 42
3	Aisle 5	Location 24
4	Aisle 16	Location 9
5	Aisle 12	Location 23
6	Aisle 4	Location 24
7	Aisle 0	Location 11
8	Aisle 12	Location 3
9	Aisle 1	Location 33
10	Aisle 10	Location 7
11	Aisle 7	Location 29
12	Aisle 7	Location 0
13	Aisle 7	Location 30
14	Aisle 8	Location 22
15	Aisle 1	Location 37
16	Aisle 17	Location 41
17	Aisle 18	Location 30
Order 6	number of articles 21
0	Aisle 18	Location 26
1	Aisle 15	Location 21
2	Aisle 14	Location 20
3	Aisle 3	Location 31
4	Aisle 14	Location 4
5	Aisle 3	Location 0
6	Aisle 19	Location 7
7	Aisle 2	Location 29
8	Aisle 16	Location 7
9	Aisle 13	Location 30
10	Aisle 2	Location 20
11	Aisle 5	Location 10
12	Aisle 18	Location 40
13	Aisle 8	Location 3
14	Aisle 17	Location 5
15	Aisle 5	Location 15
16	Aisle 7	Location 36
17	Aisle 5	Location 26
18	Aisle 0	Location 2
19	Aisle 16	Location 2
20	Aisle 3	Location 6
Order 7	number of articles 15
0	Aisle 8	Location 36
1	Aisle 4	Location 4
2	Aisle 10	Location 14
3	Aisle 7	Location 39
4	Aisle 8	Location 26
5	Aisle 0	Location 40
6	Aisle 1	Location 34
7	Aisle 13	Location 27
8	Aisle 4	Location 10
9	Aisle 12	Location 40
10	Aisle 6	Location 6
11	Aisle 4	Location 3
12	Aisle 18	Location 27
13	Aisle 0	Location 35
14	Aisle 7	Location 35
Order 8	number of articles 15
0	Aisle 10	Location 40
1	Aisle 12	Location 0
2	Aisle 10	Location 3
3	Aisle 1	Location 17
4	Aisle 7	Location 44
5	Aisle 3	Location 19
6	Aisle 6	Location 16
7	Aisle 18	Location 42
8	Aisle 6	Location 2
9	Aisle 18	Location 18
10	Aisle 17	Location 37
11	Aisle 11	Location 7
12	Aisle 6	Location 19
13	Aisle 19	Location 26
14	Aisle 2	Location 41
Order 9	number of articles 22
0	Aisle 19	Location 27
1	Aisle 18	Location 21
2	Aisle 12	Location 19
3	Aisle 11	Location 8
4	Aisle 18	Location 13
5	Aisle 7	Location 0
6	Aisle 8	Location 8
7	Aisle 0	Location 16
8	Aisle 2	Location 35
9	Aisle 11	Location 1
10	Aisle 19	Location 16
11	Aisle 16	Location 1
12	Aisle 14	Location 11
13	Aisle 3	Location 3
14	Aisle 7	Location 22
15	Aisle 4	Location 44
16	Aisle 11	Location 37
17	Aisle 8	Location 13
18	Aisle 19	Location 9
19	Aisle 13	Location 4
20	Aisle 5	Location 19
21	Aisle 2	Location 43
Order 10	number of articles 21
0	Aisle 2	Location 36
1	Aisle 1	Location 0
2	Aisle 5	Location 10
3	Aisle 8	Location 44
4	Aisle 9	Location 14
5	Aisle 5	Location 6
6	Aisle 10	Location 36
7	Aisle 14	Location 21
8	Aisle 1	Location 6
9	Aisle 4	Location 27
10	Aisle 1	Location 18
11	Aisle 12	Location 28
12	Aisle 19	Location 43
13	Aisle 2	Location 33
14	Aisle 6	Location 3
15	Aisle 16	Location 13
16	Aisle 17	Location 36
17	Aisle 2	Location 27
18	Aisle 9	Location 4
19	Aisle 1	Location 4
20	Aisle 10	Location 13
Order 11	number of articles 5
0	Aisle 2	Location 31
1	Aisle 1	Location 12
2	Aisle 1	Location 5
3	Aisle 2	Location 22
4	Aisle 7	Location 26
Order 12	number of articles 8
0	Aisle 12	Location 4
1	Aisle 7	Location 43
2	Aisle 16	Location 20
3	Aisle 11	Location 39
4	Aisle 11	Location 33
5	Aisle 16	Location 35
