Order 0	number of articles 16
0	Aisle 7	Location 34
1	Aisle 0	Location 19
2	Aisle 1	Location 8
3	Aisle 5	Location 14
4	Aisle 10	Location 23
5	Aisle 1	Location 0
6	Aisle 0	Location 43
7	Aisle 5	Location 7
8	Aisle 14	Location 32
9	Aisle 1	Location 39
10	Aisle 6	Location 20
11	Aisle 6	Location 36
12	Aisle 4	Location 13
13	Aisle 6	Location 35
14	Aisle 0	Location 28
15	Aisle 8	Location 15
Order 1	number of articles 23
0	Aisle 8	Location 10
1	Aisle 7	Location 9
2	Aisle 11	Location 14
3	Aisle 16	Location 29
4	Aisle 0	Location 11
5	Aisle 9	Location 30
6	Aisle 5	Location 22
7	Aisle 13	Location 17
8	Aisle 15	Location 30
9	Aisle 0	Location 17
10	Aisle 18	Location 29
11	Aisle 6	Location 42
12	Aisle 9	Location 14
13	Aisle 11	Location 3
14	Aisle 6	Location 7
15	Aisle 16	Location 1
16	Aisle 4	Location 31
17	Aisle 19	Location 18
18	Aisle 0	Location 19
19	Aisle 12	Location 21
20	Aisle 11	Location 10
21	Aisle 5	Location 18
22	Aisle 14	Location 29
Order 2	number of articles 22
0	Aisle 9	Location 8
1	Aisle 7	Location 23
2	Aisle 13	Location 17
3	Aisle 4	Location 33
4	Aisle 12	Location 23
5	Aisle 19	Location 14
6	Aisle 15	Location 9
7	Aisle 9	Location 28
8	Aisle 13	Location 27
9	Aisle 14	Location 39
10	Aisle 8	Location 11
11	Aisle 7	Location 40
12	Aisle 16	Location 18
13	Aisle 19	Location 20
14	Aisle 14	Location 19
15	Aisle 18	Location 2
16	Aisle 17	Location 0
17	Aisle 8	Location 44
18	Aisle 17	Location 35
19	Aisle 17	Location 43
20	Aisle 14	Location 23
21	Aisle 19	Location 41
Order 3	number of articles 6
0	Aisle 19	Location 15
1	Aisle 11	Location 21
2	Aisle 10	Location 5
3	Aisle 1	Location 40
4	Aisle 2	Location 8
5	Aisle 8	Location 37
Order 4	number of articles 22
0	Aisle 7	Location 32
1	Aisle 7	Location 38
2	Aisle 0	Location 33
3	Aisle 0	Location 5
4	Aisle 18	Location 33
5	Aisle 14	Location 8
6	Aisle 15	Location 30
7	Aisle 7	Location 20
8	Aisle 6	Location 23
9	Aisle 10	Location 23
10	Aisle 1	Location 37
11	Aisle 10	Location 25
12	Aisle 8	Location 11
13	Aisle 14	Location 7
14	Aisle 8	Location 3
15	Aisle 13	Location 8
16	Aisle 16	Location 5
17	Aisle 9	Location 26
18	Aisle 5	Location 35
19	Aisle 4	Location 39
20	Aisle 12	Location 18
21	Aisle 6	Location 39
Order 5	number of articles 10
0	Aisle 11	Location 1
1	Aisle 8	Location 16
2	Aisle 14	Location 1
3	Aisle 18	Location 25
4	Aisle 0	Location 26
5	Aisle 14	Location 41
6	Aisle 19	Location 16
7	Aisle 14	Location 13
8	Aisle 3	Location 41
9	Aisle 1	Location 18
Order 6	number of articles 18
0	Aisle 13	Location 33
1	Aisle 8	Location 38
2	Aisle 14	Location 38
3	Aisle 0	Location 32
4	Aisle 18	Location 25
5	Aisle 10	Location 8
6	Aisle 5	Location 10
7	Aisle 11	Location 27
8	Aisle 10	Location 37
9	Aisle 10	Location 7
10	Aisle 16	Location 30
11	Aisle 13	Location 2
12	Aisle 4	Location 4
13	Aisle 7	Location 5
14	Aisle 13	Location 44
15	Aisle 12	Location 29
16	Aisle 9	Location 3
17	Aisle 10	Location 41
Order 7	number of articles 14
0	Aisle 13	Location 41
1	Aisle 5	Location 23
2	Aisle 2	Location 2
3	Aisle 5	Location 32
4	Aisle 14	Location 9
5	Aisle 11	Location 11
6	Aisle 13	Location 40
7	Aisle 1	Location 21
8	Aisle 18	Location 39
9	Aisle 15	Location 31
10	Aisle 12	Location 1
11	Aisle 4	Location 34
12	Aisle 19	Location 44
13	Aisle 4	Location 31
Order 8	number of articles 12
0	Aisle 3	Location 18
1	Aisle 11	Location 12
2	Aisle 14	Location 10
3	Aisle 1	Location 2
4	Aisle 12	Location 0
5	Aisle 6	Location 33
6	Aisle 0	Location 6
7	Aisle 5	Location 9
8	Aisle 7	Location 25
9	Aisle 17	Location 19
10	Aisle 2	Location 8
11	Aisle 6	Location 39
Order 9	number of articles 22
0	Aisle 13	Location 6
1	Aisle 4	Location 19
2	Aisle 7	Location 26
3	Aisle 16	Location 9
4	Aisle 18	Location 41
5	Aisle 6	Location 29
6	Aisle 8	Location 11
7	Aisle 7	Location 18
8	Aisle 0	Location 37
9	Aisle 6	Location 36
10	Aisle 6	Location 13
11	Aisle 1	Location 3
12	Aisle 2	Location 7
13	Aisle 19	Location 39
14	Aisle 7	Location 0
15	Aisle 9	Location 39
16	Aisle 0	Location 1
17	Aisle 14	Location 41
18	Aisle 9	Location 3
19	Aisle 0	Location 9
20	Aisle 8	Location 43
21	Aisle 9	Location 19
Order 10	number of articles 9
0	Aisle 1	Location 29
1	Aisle 0	Location 9
2	Aisle 5	Location 26
