Order 0	number of articles 19
0	Aisle 1	Location 39
1	Aisle 4	Location 43
2	Aisle 0	Location 18
3	Aisle 1	Location 25
4	Aisle 19	Location 19
5	Aisle 13	Location 10
6	Aisle 14	Location 15
7	Aisle 16	Location 7
8	Aisle 2	Location 20
9	Aisle 17	Location 17
10	Aisle 7	Location 42
11	Aisle 18	Location 31
12	Aisle 6	Location 34
13	Aisle 13	Location 37
14	Aisle 15	Location 6
15	Aisle 9	Location 4
16	Aisle 12	Location 25
17	Aisle 13	Location 6
18	Aisle 1	Location 10
Order 1	number of articles 15
0	Aisle 6	Location 9
1	Aisle 12	Location 39
2	Aisle 6	Location 5
3	Aisle 12	Location 6
4	Aisle 17	Location 17
5	Aisle 3	Location 39
6	Aisle 8	Location 43
7	Aisle 14	Location 32
8	Aisle 4	Location 30
9	Aisle 5	Location 25
10	Aisle 9	Location 4
11	Aisle 11	Location 43
12	Aisle 16	Location 9
13	Aisle 4	Location 16
14	Aisle 14	Location 23
Order 2	number of articles 18
0	Aisle 15	Location 16
1	Aisle 3	Location 10
2	Aisle 6	Location 15
3	Aisle 3	Location 32
4	Aisle 15	Location 7
5	Aisle 11	Location 15
6	Aisle 16	Location 39
7	Aisle 8	Location 1
8	Aisle 16	Location 27
9	Aisle 6	Location 30
10	Aisle 9	Location 10
11	Aisle 10	Location 9
12	Aisle 10	Location 19
13	Aisle 7	Location 23
14	Aisle 0	Location 6
15	Aisle 12	Location 10
16	Aisle 9	Location 6
17	Aisle 2	Location 8
Order 3	number of articles 14
0	Aisle 6	Location 16
1	Aisle 8	Location 5
2	Aisle 12	Location 9
3	Aisle 4	Location 8
4	Aisle 13	Location 11
5	Aisle 2	Location 43
6	Aisle 0	Location 17
7	Aisle 3	Location 37
8	Aisle 3	Location 30
9	Aisle 7	Location 10
10	Aisle 4	Location 31
11	Aisle 19	Location 31
12	Aisle 9	Location 19
13	Aisle 1	Location 26
Order 4	number of articles 17
0	Aisle 8	Location 27
1	Aisle 8	Location 16
2	Aisle 0	Location 39
3	Aisle 7	Location 29
4	Aisle 16	Location 17
5	Aisle 10	Location 35
6	Aisle 12	Location 20
7	Aisle 8	Location 38
8	Aisle 8	Location 5
9	Aisle 0	Location 5
