Order 0	number of articles 6
0	Aisle 4	Location 23
1	Aisle 6	Location 43
2	Aisle 9	Location 35
3	Aisle 19	Location 7
4	Aisle 13	Location 20
5	Aisle 14	Location 6
Order 1	number of articles 5
0	Aisle 12	Location 30
1	Aisle 5	Location 38
2	Aisle 0	Location 40
3	Aisle 16	Location 42
4	Aisle 8	Location 23
Order 2	number of articles 12
0	Aisle 12	Location 9
1	Aisle 12	Location 31
2	Aisle 4	Location 2
3	Aisle 2	Location 16
4	Aisle 6	Location 5
5	Aisle 6	Location 38
6	Aisle 4	Location 33
7	Aisle 17	Location 10
8	Aisle 5	Location 31
9	Aisle 2	Location 7
10	Aisle 10	Location 10
11	Aisle 16	Location 41
Order 3	number of articles 19
0	Aisle 8	Location 21
1	Aisle 17	Location 29
2	Aisle 2	Location 21
3	Aisle 19	Location 26
4	Aisle 3	Location 14
5	Aisle 1	Location 41
6	Aisle 12	Location 40
7	Aisle 9	Location 3
8	Aisle 3	Location 39
9	Aisle 0	Location 13
10	Aisle 13	Location 30
11	Aisle 16	Location 12
12	Aisle 5	Location 31
13	Aisle 16	Location 37
14	Aisle 9	Location 38
15	Aisle 14	Location 29
16	Aisle 2	Location 44
17	Aisle 11	Location 23
18	Aisle 13	Location 23
Order 4	number of articles 16
0	Aisle 5	Location 16
1	Aisle 0	Location 36
2	Aisle 17	Location 37
3	Aisle 7	Location 16
4	Aisle 0	Location 23
5	Aisle 5	Location 9
6	Aisle 6	Location 15
7	Aisle 3	Location 25
8	Aisle 11	Location 4
9	Aisle 4	Location 11
10	Aisle 12	Location 24
11	Aisle 19	Location 1
12	Aisle 0	Location 16
13	Aisle 3	Location 37
14	Aisle 3	Location 38
15	Aisle 2	Location 4
Order 5	number of articles 10
0	Aisle 8	Location 22
1	Aisle 9	Location 37
2	Aisle 14	Location 25
3	Aisle 9	Location 14
4	Aisle 17	Location 23
5	Aisle 15	Location 44
6	Aisle 7	Location 36
7	Aisle 2	Location 31
8	Aisle 17	Location 20
9	Aisle 10	Location 33
Order 6	number of articles 11
0	Aisle 4	Location 37
1	Aisle 16	Location 27
2	Aisle 7	Location 27
3	Aisle 18	Location 44
4	Aisle 1	Location 2
5	Aisle 3	Location 40
6	Aisle 12	Location 40
7	Aisle 8	Location 15
8	Aisle 0	Location 18
9	Aisle 14	Location 28
10	Aisle 8	Location 4
Order 7	number of articles 19
0	Aisle 16	Location 32
1	Aisle 2	Location 40
2	Aisle 13	Location 36
3	Aisle 1	Location 25
4	Aisle 18	Location 6
5	Aisle 15	Location 26
6	Aisle 16	Location 9
7	Aisle 3	Location 7
8	Aisle 2	Location 22
9	Aisle 10	Location 15
10	Aisle 4	Location 12
11	Aisle 3	Location 13
12	Aisle 12	Location 7
13	Aisle 16	Location 42
14	Aisle 13	Location 14
15	Aisle 4	Location 2
16	Aisle 7	Location 22
17	Aisle 0	Location 29
18	Aisle 15	Location 16
Order 8	number of articles 12
0	Aisle 16	Location 34
1	Aisle 18	Location 17
2	Aisle 0	Location 32
3	Aisle 10	Location 1
4	Aisle 5	Location 21
5	Aisle 8	Location 29
6	Aisle 17	Location 0
7	Aisle 9	Location 23
8	Aisle 5	Location 26
9	Aisle 3	Location 7
10	Aisle 6	Location 36
11	Aisle 7	Location 43
Order 9	number of articles 5
0	Aisle 19	Location 24
1	Aisle 1	Location 38
2	Aisle 6	Location 40
3	Aisle 10	Location 11
4	Aisle 12	Location 14
Order 10	number of articles 24
0	Aisle 14	Location 14
1	Aisle 1	Location 42
2	Aisle 3	Location 44
3	Aisle 7	Location 5
4	Aisle 13	Location 6
5	Aisle 3	Location 14
6	Aisle 8	Location 19
7	Aisle 15	Location 8
8	Aisle 5	Location 16
9	Aisle 8	Location 36
10	Aisle 19	Location 40
11	Aisle 15	Location 38
12	Aisle 0	Location 32
13	Aisle 0	Location 19
14	Aisle 7	Location 3
15	Aisle 9	Location 39
16	Aisle 1	Location 8
17	Aisle 0	Location 34
18	Aisle 16	Location 8
19	Aisle 14	Location 21
20	Aisle 0	Location 17
21	Aisle 12	Location 7
22	Aisle 15	Location 33
23	Aisle 16	Location 30
Order 11	number of articles 12
0	Aisle 5	Location 28
1	Aisle 18	Location 12
2	Aisle 6	Location 3
3	Aisle 18	Location 23
4	Aisle 7	Location 21
5	Aisle 19	Location 15
6	Aisle 5	Location 19
7	Aisle 4	Location 44
8	Aisle 0	Location 9
9	Aisle 1	Location 3
10	Aisle 16	Location 40
11	Aisle 17	Location 42
Order 12	number of articles 22
0	Aisle 14	Location 9
1	Aisle 6	Location 30
2	Aisle 0	Location 17
3	Aisle 7	Location 20
4	Aisle 12	Location 30
5	Aisle 2	Location 22
6	Aisle 14	Location 23
7	Aisle 3	Location 29
8	Aisle 18	Location 29
9	Aisle 7	Location 27
10	Aisle 7	Location 18
11	Aisle 14	Location 26
12	Aisle 9	Location 2
13	Aisle 3	Location 25
14	Aisle 19	Location 15
15	Aisle 11	Location 15
16	Aisle 2	Location 8
17	Aisle 4	Location 19
18	Aisle 13	Location 44
19	Aisle 5	Location 5
20	Aisle 12	Location 19
21	Aisle 0	Location 10
Order 13	number of articles 8
0	Aisle 15	Location 41
