Order 0	number of articles 18
0	Aisle 15	Location 22
1	Aisle 0	Location 15
2	Aisle 1	Location 31
3	Aisle 12	Location 11
4	Aisle 5	Location 38
5	Aisle 13	Location 30
6	Aisle 18	Location 18
7	Aisle 18	Location 20
8	Aisle 9	Location 34
9	Aisle 3	Location 3
10	Aisle 3	Location 40
11	Aisle 0	Location 44
12	Aisle 8	Location 29
13	Aisle 7	Location 8
14	Aisle 4	Location 39
15	Aisle 3	Location 28
16	Aisle 4	Location 1
17	Aisle 4	Location 12
Order 1	number of articles 20
0	Aisle 4	Location 9
1	Aisle 15	Location 5
2	Aisle 8	Location 22
3	Aisle 19	Location 27
4	Aisle 0	Location 9
5	Aisle 7	Location 11
6	Aisle 11	Location 22
7	Aisle 3	Location 9
8	Aisle 3	Location 34
9	Aisle 16	Location 0
10	Aisle 7	Location 43
11	Aisle 17	Location 7
12	Aisle 1	Location 16
13	Aisle 17	Location 29
14	Aisle 14	Location 16
15	Aisle 19	Location 5
16	Aisle 16	Location 31
17	Aisle 2	Location 9
18	Aisle 13	Location 23
19	Aisle 6	Location 4
Order 2	number of articles 16
0	Aisle 19	Location 44
1	Aisle 16	Location 24
2	Aisle 17	Location 34
3	Aisle 12	Location 33
4	Aisle 5	Location 37
5	Aisle 9	Location 39
6	Aisle 14	Location 10
7	Aisle 11	Location 8
8	Aisle 13	Location 23
9	Aisle 10	Location 17
10	Aisle 18	Location 20
11	Aisle 17	Location 3
12	Aisle 2	Location 28
13	Aisle 10	Location 26
14	Aisle 2	Location 11
15	Aisle 1	Location 13
Order 3	number of articles 23
0	Aisle 2	Location 44
1	Aisle 11	Location 23
2	Aisle 15	Location 33
3	Aisle 6	Location 13
4	Aisle 3	Location 41
5	Aisle 19	Location 5
6	Aisle 8	Location 43
7	Aisle 0	Location 9
8	Aisle 18	Location 23
9	Aisle 19	Location 32
10	Aisle 9	Location 7
11	Aisle 11	Location 32
12	Aisle 9	Location 31
13	Aisle 4	Location 6
14	Aisle 11	Location 10
15	Aisle 19	Location 6
16	Aisle 9	Location 41
17	Aisle 18	Location 16
18	Aisle 5	Location 0
19	Aisle 19	Location 31
20	Aisle 9	Location 12
21	Aisle 9	Location 39
22	Aisle 7	Location 1
Order 4	number of articles 24
0	Aisle 3	Location 19
1	Aisle 13	Location 20
2	Aisle 2	Location 22
3	Aisle 8	Location 38
4	Aisle 16	Location 20
5	Aisle 4	Location 28
6	Aisle 19	Location 28
7	Aisle 0	Location 17
8	Aisle 13	Location 15
9	Aisle 9	Location 35
10	Aisle 11	Location 4
11	Aisle 10	Location 8
12	Aisle 5	Location 42
13	Aisle 1	Location 3
14	Aisle 0	Location 28
15	Aisle 16	Location 43
16	Aisle 14	Location 12
17	Aisle 6	Location 40
18	Aisle 2	Location 18
19	Aisle 1	Location 38
20	Aisle 12	Location 9
21	Aisle 1	Location 35
22	Aisle 19	Location 33
23	Aisle 7	Location 40
Order 5	number of articles 10
0	Aisle 17	Location 32
1	Aisle 19	Location 31
2	Aisle 16	Location 28
3	Aisle 16	Location 32
4	Aisle 14	Location 33
5	Aisle 4	Location 3
6	Aisle 1	Location 2
7	Aisle 7	Location 32
8	Aisle 17	Location 40
9	Aisle 12	Location 16
Order 6	number of articles 16
0	Aisle 6	Location 16
1	Aisle 2	Location 41
2	Aisle 6	Location 14
3	Aisle 9	Location 19
4	Aisle 4	Location 25
5	Aisle 18	Location 23
6	Aisle 8	Location 4
7	Aisle 10	Location 41
8	Aisle 2	Location 21
9	Aisle 14	Location 9
10	Aisle 3	Location 21
11	Aisle 3	Location 19
12	Aisle 18	Location 20
13	Aisle 3	Location 23
14	Aisle 10	Location 26
15	Aisle 12	Location 1
Order 7	number of articles 9
0	Aisle 9	Location 25
1	Aisle 2	Location 20
2	Aisle 0	Location 9
3	Aisle 4	Location 2
4	Aisle 2	Location 24
5	Aisle 7	Location 40
6	Aisle 2	Location 22
7	Aisle 8	Location 9
8	Aisle 14	Location 27
Order 8	number of articles 4
0	Aisle 16	Location 26
1	Aisle 11	Location 6
2	Aisle 2	Location 2
3	Aisle 9	Location 6
Order 9	number of articles 17
0	Aisle 11	Location 12
1	Aisle 6	Location 1
2	Aisle 16	Location 10
3	Aisle 13	Location 11
4	Aisle 18	Location 33
5	Aisle 7	Location 34
6	Aisle 17	Location 17
7	Aisle 9	Location 29
8	Aisle 12	Location 44
9	Aisle 17	Location 6
10	Aisle 9	Location 32
11	Aisle 7	Location 41
12	Aisle 13	Location 17
13	Aisle 4	Location 39
14	Aisle 1	Location 25
15	Aisle 10	Location 28
16	Aisle 15	Location 8
Order 10	number of articles 10
0	Aisle 18	Location 9
1	Aisle 7	Location 30
2	Aisle 1	Location 26
3	Aisle 3	Location 30
4	Aisle 7	Location 37
5	Aisle 5	Location 11
6	Aisle 14	Location 8
7	Aisle 11	Location 32
8	Aisle 4	Location 38
9	Aisle 8	Location 41
Order 11	number of articles 7
0	Aisle 17	Location 9
1	Aisle 11	Location 6
2	Aisle 19	Location 39
3	Aisle 0	Location 30
4	Aisle 18	Location 11
5	Aisle 14	Location 39
6	Aisle 14	Location 29
Order 12	number of articles 7
0	Aisle 9	Location 6
1	Aisle 9	Location 35
2	Aisle 6	Location 10
3	Aisle 17	Location 7
4	Aisle 16	Location 15
5	Aisle 17	Location 29
6	Aisle 19	Location 27
Order 13	number of articles 11
0	Aisle 10	Location 12
1	Aisle 10	Location 20
2	Aisle 1	Location 42
