Order 0	number of articles 20
0	Aisle 15	Location 34
1	Aisle 19	Location 31
2	Aisle 18	Location 17
3	Aisle 18	Location 28
4	Aisle 19	Location 29
5	Aisle 5	Location 43
6	Aisle 11	Location 16
7	Aisle 0	Location 5
8	Aisle 5	Location 42
9	Aisle 12	Location 32
10	Aisle 9	Location 41
11	Aisle 11	Location 31
12	Aisle 5	Location 7
13	Aisle 9	Location 11
14	Aisle 2	Location 25
15	Aisle 2	Location 27
16	Aisle 12	Location 8
17	Aisle 1	Location 44
18	Aisle 17	Location 39
19	Aisle 8	Location 1
Order 1	number of articles 21
0	Aisle 0	Location 27
1	Aisle 19	Location 6
2	Aisle 10	Location 24
3	Aisle 11	Location 40
4	Aisle 7	Location 11
5	Aisle 14	Location 26
6	Aisle 13	Location 13
7	Aisle 11	Location 20
8	Aisle 9	Location 31
9	Aisle 14	Location 38
10	Aisle 0	Location 34
11	Aisle 3	Location 23
12	Aisle 13	Location 38
13	Aisle 11	Location 35
14	Aisle 3	Location 30
15	Aisle 18	Location 41
16	Aisle 10	Location 42
17	Aisle 14	Location 10
18	Aisle 5	Location 33
19	Aisle 13	Location 7
20	Aisle 8	Location 24
Order 2	number of articles 12
0	Aisle 4	Location 33
1	Aisle 6	Location 26
2	Aisle 12	Location 41
3	Aisle 18	Location 3
4	Aisle 5	Location 2
5	Aisle 12	Location 14
6	Aisle 10	Location 9
7	Aisle 15	Location 22
8	Aisle 8	Location 22
9	Aisle 5	Location 26
10	Aisle 10	Location 3
11	Aisle 12	Location 43
Order 3	number of articles 7
0	Aisle 4	Location 21
1	Aisle 12	Location 21
2	Aisle 17	Location 24
3	Aisle 1	Location 2
4	Aisle 2	Location 9
5	Aisle 10	Location 6
6	Aisle 7	Location 5
Order 4	number of articles 15
0	Aisle 0	Location 38
1	Aisle 18	Location 36
2	Aisle 14	Location 2
3	Aisle 11	Location 42
4	Aisle 8	Location 41
5	Aisle 10	Location 6
6	Aisle 17	Location 16
7	Aisle 10	Location 3
8	Aisle 17	Location 41
9	Aisle 11	Location 24
10	Aisle 16	Location 5
11	Aisle 7	Location 6
12	Aisle 17	Location 3
13	Aisle 4	Location 31
14	Aisle 11	Location 2
Order 5	number of articles 21
0	Aisle 10	Location 37
1	Aisle 15	Location 8
2	Aisle 1	Location 3
3	Aisle 3	Location 24
4	Aisle 11	Location 40
5	Aisle 8	Location 38
6	Aisle 6	Location 23
7	Aisle 11	Location 13
8	Aisle 10	Location 5
9	Aisle 9	Location 42
10	Aisle 16	Location 3
11	Aisle 5	Location 7
12	Aisle 2	Location 30
13	Aisle 10	Location 30
14	Aisle 11	Location 15
15	Aisle 4	Location 25
16	Aisle 4	Location 36
17	Aisle 17	Location 43
18	Aisle 14	Location 11
19	Aisle 3	Location 28
20	Aisle 14	Location 41
Order 6	number of articles 7
0	Aisle 3	Location 15
1	Aisle 5	Location 13
2	Aisle 17	Location 25
3	Aisle 18	Location 10
4	Aisle 11	Location 18
5	Aisle 8	Location 0
6	Aisle 5	Location 18
Order 7	number of articles 7
0	Aisle 19	Location 12
1	Aisle 11	Location 38
2	Aisle 13	Location 32
3	Aisle 2	Location 35
4	Aisle 3	Location 26
5	Aisle 14	Location 37
6	Aisle 19	Location 5
Order 8	number of articles 7
0	Aisle 10	Location 19
1	Aisle 17	Location 35
2	Aisle 9	Location 15
3	Aisle 0	Location 30
4	Aisle 5	Location 0
5	Aisle 11	Location 32
6	Aisle 3	Location 17
Order 9	number of articles 9
0	Aisle 3	Location 4
1	Aisle 5	Location 31
2	Aisle 15	Location 38
3	Aisle 11	Location 8
4	Aisle 5	Location 1
5	Aisle 10	Location 12
6	Aisle 18	Location 1
7	Aisle 3	Location 42
8	Aisle 16	Location 1
Order 10	number of articles 16
0	Aisle 2	Location 28
1	Aisle 8	Location 37
2	Aisle 19	Location 0
3	Aisle 19	Location 35
4	Aisle 19	Location 20
5	Aisle 18	Location 5
6	Aisle 19	Location 42
7	Aisle 1	Location 21
8	Aisle 17	Location 44
9	Aisle 19	Location 30
10	Aisle 18	Location 21
11	Aisle 13	Location 42
12	Aisle 4	Location 41
13	Aisle 12	Location 17
14	Aisle 7	Location 27
15	Aisle 13	Location 12
Order 11	number of articles 14
0	Aisle 12	Location 11
1	Aisle 7	Location 27
2	Aisle 3	Location 21
3	Aisle 5	Location 18
4	Aisle 0	Location 14
5	Aisle 11	Location 5
6	Aisle 5	Location 7
7	Aisle 0	Location 26
8	Aisle 8	Location 34
9	Aisle 9	Location 40
10	Aisle 18	Location 19
11	Aisle 0	Location 16
12	Aisle 11	Location 11
13	Aisle 13	Location 14
Order 12	number of articles 15
0	Aisle 7	Location 44
1	Aisle 9	Location 31
2	Aisle 2	Location 0
3	Aisle 1	Location 3
4	Aisle 4	Location 3
5	Aisle 8	Location 43
6	Aisle 16	Location 24
7	Aisle 12	Location 7
8	Aisle 16	Location 32
9	Aisle 7	Location 25
10	Aisle 13	Location 15
11	Aisle 17	Location 0
12	Aisle 2	Location 7
13	Aisle 10	Location 32
14	Aisle 19	Location 2
Order 13	number of articles 9
0	Aisle 5	Location 32
1	Aisle 5	Location 12
2	Aisle 17	Location 37
3	Aisle 13	Location 44
4	Aisle 10	Location 6
5	Aisle 6	Location 4
6	Aisle 4	Location 11
7	Aisle 8	Location 25
8	Aisle 5	Location 34
Order 14	number of articles 22
0	Aisle 12	Location 13
1	Aisle 4	Location 22
2	Aisle 17	Location 32
3	Aisle 4	Location 30
4	Aisle 7	Location 4
5	Aisle 15	Location 22
6	Aisle 5	Location 3
7	Aisle 14	Location 33
8	Aisle 16	Location 36
9	Aisle 5	Location 34
10	Aisle 10	Location 17
11	Aisle 0	Location 7
12	Aisle 14	Location 21
13	Aisle 3	Location 7
14	Aisle 1	Location 11
15	Aisle 7	Location 7
16	Aisle 13	Location 20
17	Aisle 4	Location 0
