Order 0	number of articles 10
0	Aisle 6	Location 34
1	Aisle 4	Location 20
2	Aisle 12	Location 40
3	Aisle 5	Location 37
4	Aisle 18	Location 44
5	Aisle 4	Location 12
6	Aisle 0	Location 34
7	Aisle 3	Location 30
8	Aisle 10	Location 36
9	Aisle 0	Location 37
Order 1	number of articles 12
0	Aisle 15	Location 41
1	Aisle 13	Location 6
2	Aisle 5	Location 9
3	Aisle 7	Location 1
4	Aisle 15	Location 22
5	Aisle 15	Location 32
6	Aisle 11	Location 18
7	Aisle 16	Location 24
8	Aisle 17	Location 36
9	Aisle 11	Location 7
10	Aisle 0	Location 21
11	Aisle 7	Location 19
Order 2	number of articles 5
0	Aisle 17	Location 16
1	Aisle 15	Location 37
2	Aisle 18	Location 32
3	Aisle 5	Location 6
4	Aisle 1	Location 25
Order 3	number of articles 6
0	Aisle 8	Location 3
1	Aisle 9	Location 29
2	Aisle 10	Location 22
3	Aisle 16	Location 25
4	Aisle 4	Location 31
5	Aisle 14	Location 16
Order 4	number of articles 17
0	Aisle 5	Location 2
1	Aisle 2	Location 41
2	Aisle 18	Location 30
3	Aisle 19	Location 34
4	Aisle 7	Location 41
5	Aisle 17	Location 36
6	Aisle 15	Location 23
7	Aisle 18	Location 17
8	Aisle 3	Location 18
9	Aisle 11	Location 8
10	Aisle 11	Location 24
11	Aisle 5	Location 44
12	Aisle 3	Location 32
13	Aisle 9	Location 10
14	Aisle 9	Location 34
15	Aisle 1	Location 32
16	Aisle 8	Location 29
Order 5	number of articles 14
0	Aisle 18	Location 10
1	Aisle 16	Location 15
2	Aisle 10	Location 34
3	Aisle 19	Location 33
4	Aisle 8	Location 2
5	Aisle 7	Location 38
6	Aisle 0	Location 8
7	Aisle 17	Location 20
8	Aisle 3	Location 12
9	Aisle 9	Location 14
10	Aisle 18	Location 31
11	Aisle 11	Location 37
12	Aisle 13	Location 14
13	Aisle 18	Location 7
Order 6	number of articles 5
0	Aisle 6	Location 4
1	Aisle 0	Location 19
2	Aisle 19	Location 44
3	Aisle 16	Location 12
4	Aisle 1	Location 7
Order 7	number of articles 23
0	Aisle 11	Location 20
1	Aisle 8	Location 41
2	Aisle 18	Location 23
3	Aisle 10	Location 12
4	Aisle 18	Location 39
5	Aisle 10	Location 4
6	Aisle 17	Location 6
7	Aisle 12	Location 30
8	Aisle 17	Location 5
9	Aisle 5	Location 1
10	Aisle 7	Location 41
11	Aisle 10	Location 0
12	Aisle 13	Location 10
13	Aisle 19	Location 15
14	Aisle 0	Location 29
15	Aisle 11	Location 3
16	Aisle 8	Location 8
17	Aisle 7	Location 23
18	Aisle 12	Location 41
19	Aisle 8	Location 1
20	Aisle 14	Location 16
21	Aisle 2	Location 23
22	Aisle 7	Location 27
Order 8	number of articles 15
0	Aisle 0	Location 14
1	Aisle 12	Location 0
2	Aisle 19	Location 17
3	Aisle 5	Location 12
4	Aisle 12	Location 42
5	Aisle 9	Location 38
6	Aisle 6	Location 13
7	Aisle 12	Location 14
8	Aisle 18	Location 43
9	Aisle 4	Location 27
10	Aisle 5	Location 33
11	Aisle 14	Location 35
12	Aisle 12	Location 38
13	Aisle 11	Location 8
14	Aisle 10	Location 24
Order 9	number of articles 17
0	Aisle 10	Location 14
1	Aisle 1	Location 8
2	Aisle 19	Location 13
3	Aisle 8	Location 40
4	Aisle 0	Location 25
5	Aisle 15	Location 20
6	Aisle 5	Location 12
7	Aisle 16	Location 6
8	Aisle 10	Location 28
9	Aisle 18	Location 25
10	Aisle 15	Location 29
11	Aisle 2	Location 9
12	Aisle 11	Location 16
13	Aisle 18	Location 26
14	Aisle 1	Location 30
15	Aisle 11	Location 15
16	Aisle 11	Location 3
Order 10	number of articles 24
0	Aisle 15	Location 16
1	Aisle 6	Location 41
2	Aisle 18	Location 37
3	Aisle 1	Location 34
4	Aisle 19	Location 0
5	Aisle 5	Location 28
