Order 0	number of articles 8
0	Aisle 5	Location 36
1	Aisle 8	Location 28
2	Aisle 3	Location 23
3	Aisle 7	Location 42
4	Aisle 12	Location 36
5	Aisle 9	Location 44
6	Aisle 13	Location 29
7	Aisle 17	Location 8
Order 1	number of articles 6
0	Aisle 3	Location 24
1	Aisle 10	Location 37
2	Aisle 15	Location 28
3	Aisle 0	Location 6
4	Aisle 7	Location 32
5	Aisle 17	Location 15
Order 2	number of articles 19
0	Aisle 0	Location 16
1	Aisle 5	Location 40
2	Aisle 6	Location 38
3	Aisle 1	Location 33
4	Aisle 15	Location 33
5	Aisle 2	Location 19
6	Aisle 11	Location 11
7	Aisle 0	Location 26
8	Aisle 9	Location 8
9	Aisle 8	Location 10
10	Aisle 2	Location 18
11	Aisle 10	Location 15
12	Aisle 11	Location 22
13	Aisle 1	Location 26
14	Aisle 15	Location 0
15	Aisle 5	Location 27
16	Aisle 11	Location 36
17	Aisle 12	Location 35
18	Aisle 8	Location 34
Order 3	number of articles 24
0	Aisle 8	Location 33
1	Aisle 18	Location 44
2	Aisle 13	Location 20
3	Aisle 12	Location 39
4	Aisle 17	Location 37
5	Aisle 4	Location 29
6	Aisle 15	Location 20
7	Aisle 11	Location 30
8	Aisle 6	Location 32
9	Aisle 1	Location 14
10	Aisle 4	Location 6
11	Aisle 11	Location 42
12	Aisle 2	Location 30
13	Aisle 15	Location 37
14	Aisle 11	Location 29
15	Aisle 11	Location 19
16	Aisle 16	Location 5
17	Aisle 12	Location 14
18	Aisle 14	Location 7
19	Aisle 0	Location 25
20	Aisle 11	Location 31
21	Aisle 11	Location 43
22	Aisle 3	Location 40
23	Aisle 1	Location 18
Order 4	number of articles 13
0	Aisle 7	Location 23
1	Aisle 19	Location 16
2	Aisle 17	Location 18
3	Aisle 19	Location 31
4	Aisle 12	Location 32
5	Aisle 4	Location 26
6	Aisle 2	Location 12
7	Aisle 15	Location 36
8	Aisle 18	Location 43
9	Aisle 16	Location 28
10	Aisle 3	Location 1
11	Aisle 15	Location 44
12	Aisle 2	Location 13
Order 5	number of articles 21
0	Aisle 11	Location 0
1	Aisle 11	Location 8
2	Aisle 11	Location 18
3	Aisle 8	Location 35
4	Aisle 9	Location 18
5	Aisle 13	Location 12
6	Aisle 9	Location 8
7	Aisle 6	Location 11
8	Aisle 16	Location 18
9	Aisle 12	Location 19
10	Aisle 2	Location 4
11	Aisle 18	Location 14
12	Aisle 11	Location 12
13	Aisle 10	Location 30
14	Aisle 4	Location 42
15	Aisle 6	Location 17
16	Aisle 1	Location 12
17	Aisle 18	Location 8
18	Aisle 3	Location 13
19	Aisle 17	Location 7
20	Aisle 8	Location 36
Order 6	number of articles 5
0	Aisle 11	Location 17
1	Aisle 4	Location 38
2	Aisle 19	Location 9
3	Aisle 3	Location 8
4	Aisle 15	Location 14
Order 7	number of articles 11
0	Aisle 6	Location 19
1	Aisle 17	Location 37
2	Aisle 6	Location 32
3	Aisle 12	Location 0
4	Aisle 17	Location 39
5	Aisle 13	Location 7
6	Aisle 18	Location 41
7	Aisle 19	Location 28
8	Aisle 7	Location 21
9	Aisle 5	Location 16
10	Aisle 3	Location 15
Order 8	number of articles 18
0	Aisle 3	Location 20
1	Aisle 10	Location 3
2	Aisle 3	Location 43
3	Aisle 11	Location 43
4	Aisle 5	Location 30
5	Aisle 2	Location 12
6	Aisle 9	Location 0
7	Aisle 9	Location 34
8	Aisle 7	Location 42
9	Aisle 4	Location 20
10	Aisle 13	Location 28
11	Aisle 9	Location 44
12	Aisle 19	Location 17
13	Aisle 6	Location 12
14	Aisle 4	Location 12
15	Aisle 7	Location 19
16	Aisle 18	Location 40
17	Aisle 17	Location 34
Order 9	number of articles 17
0	Aisle 8	Location 8
1	Aisle 8	Location 22
2	Aisle 2	Location 4
3	Aisle 4	Location 38
4	Aisle 0	Location 41
5	Aisle 6	Location 22
6	Aisle 19	Location 37
7	Aisle 10	Location 4
8	Aisle 3	Location 20
9	Aisle 1	Location 32
10	Aisle 8	Location 17
11	Aisle 6	Location 32
12	Aisle 18	Location 24
13	Aisle 16	Location 39
14	Aisle 15	Location 13
15	Aisle 12	Location 26
16	Aisle 9	Location 38
Order 10	number of articles 21
0	Aisle 17	Location 30
1	Aisle 16	Location 35
2	Aisle 10	Location 33
3	Aisle 3	Location 29
4	Aisle 14	Location 4
5	Aisle 15	Location 40
6	Aisle 5	Location 18
7	Aisle 4	Location 23
8	Aisle 1	Location 16
9	Aisle 9	Location 25
10	Aisle 7	Location 0
11	Aisle 9	Location 39
12	Aisle 6	Location 9
13	Aisle 12	Location 42
14	Aisle 15	Location 2
15	Aisle 6	Location 19
16	Aisle 0	Location 0
17	Aisle 10	Location 6
18	Aisle 16	Location 21
19	Aisle 3	Location 37
20	Aisle 9	Location 14
Order 11	number of articles 19
0	Aisle 2	Location 36
1	Aisle 15	Location 29
2	Aisle 4	Location 38
3	Aisle 16	Location 31
4	Aisle 9	Location 0
5	Aisle 3	Location 27
6	Aisle 19	Location 3
7	Aisle 18	Location 7
8	Aisle 17	Location 14
9	Aisle 5	Location 9
10	Aisle 1	Location 32
11	Aisle 14	Location 2
12	Aisle 0	Location 2
13	Aisle 3	Location 35
14	Aisle 3	Location 37
15	Aisle 18	Location 0
16	Aisle 8	Location 9
17	Aisle 3	Location 25
18	Aisle 3	Location 31
Order 12	number of articles 6
0	Aisle 7	Location 7
1	Aisle 14	Location 34
2	Aisle 5	Location 22
3	Aisle 17	Location 40
4	Aisle 12	Location 20
5	Aisle 9	Location 25
Order 13	number of articles 19
0	Aisle 1	Location 43
1	Aisle 4	Location 33
2	Aisle 11	Location 15
3	Aisle 19	Location 17
4	Aisle 1	Location 9
5	Aisle 16	Location 36
6	Aisle 6	Location 17
7	Aisle 1	Location 2
8	Aisle 14	Location 7
9	Aisle 8	Location 7
10	Aisle 19	Location 32
11	Aisle 11	Location 41
12	Aisle 14	Location 39
13	Aisle 7	Location 44
14	Aisle 8	Location 34
15	Aisle 15	Location 41
16	Aisle 5	Location 31
17	Aisle 0	Location 6
18	Aisle 5	Location 8
Order 14	number of articles 24
0	Aisle 9	Location 28
1	Aisle 14	Location 39
2	Aisle 10	Location 32
3	Aisle 3	Location 31
4	Aisle 4	Location 24
5	Aisle 10	Location 43
6	Aisle 9	Location 36
7	Aisle 1	Location 12
8	Aisle 16	Location 38
9	Aisle 3	Location 8
10	Aisle 11	Location 5
11	Aisle 11	Location 39
12	Aisle 15	Location 22
13	Aisle 17	Location 34
14	Aisle 18	Location 33
15	Aisle 16	Location 34
16	Aisle 9	Location 12
17	Aisle 3	Location 18
18	Aisle 10	Location 5
19	Aisle 3	Location 35
20	Aisle 11	Location 36
21	Aisle 18	Location 8
22	Aisle 2	Location 0
23	Aisle 4	Location 6
Order 15	number of articles 16
0	Aisle 4	Location 24
1	Aisle 5	Location 23
2	Aisle 5	Location 39
3	Aisle 16	Location 24
4	Aisle 16	Location 21
5	Aisle 12	Location 4
6	Aisle 2	Location 36
7	Aisle 3	Location 12
8	Aisle 7	Location 20
9	Aisle 8	Location 1
10	Aisle 13	Location 19
11	Aisle 5	Location 29
12	Aisle 6	Location 15
