Order 0	number of articles 12
0	Aisle 3	Location 44
1	Aisle 4	Location 3
2	Aisle 8	Location 44
3	Aisle 0	Location 12
4	Aisle 17	Location 5
5	Aisle 16	Location 33
6	Aisle 15	Location 18
7	Aisle 12	Location 20
8	Aisle 14	Location 8
9	Aisle 12	Location 4
10	Aisle 9	Location 2
11	Aisle 7	Location 26
Order 1	number of articles 16
0	Aisle 18	Location 36
1	Aisle 1	Location 30
2	Aisle 2	Location 19
3	Aisle 12	Location 17
4	Aisle 10	Location 39
5	Aisle 0	Location 15
6	Aisle 11	Location 16
7	Aisle 16	Location 43
8	Aisle 7	Location 11
9	Aisle 10	Location 36
10	Aisle 17	Location 9
11	Aisle 7	Location 7
12	Aisle 19	Location 42
13	Aisle 16	Location 5
14	Aisle 10	Location 12
15	Aisle 16	Location 28
Order 2	number of articles 13
0	Aisle 7	Location 4
1	Aisle 18	Location 21
2	Aisle 14	Location 7
3	Aisle 18	Location 3
4	Aisle 1	Location 16
5	Aisle 16	Location 13
6	Aisle 12	Location 35
7	Aisle 16	Location 26
8	Aisle 8	Location 5
9	Aisle 13	Location 10
10	Aisle 17	Location 22
11	Aisle 5	Location 23
12	Aisle 10	Location 36
Order 3	number of articles 23
0	Aisle 13	Location 33
1	Aisle 11	Location 20
2	Aisle 0	Location 19
3	Aisle 16	Location 21
4	Aisle 12	Location 7
5	Aisle 17	Location 24
6	Aisle 0	Location 30
7	Aisle 8	Location 0
8	Aisle 6	Location 0
9	Aisle 18	Location 17
10	Aisle 16	Location 10
11	Aisle 2	Location 35
12	Aisle 8	Location 5
13	Aisle 19	Location 18
14	Aisle 18	Location 2
15	Aisle 15	Location 17
16	Aisle 4	Location 27
17	Aisle 15	Location 39
18	Aisle 14	Location 16
19	Aisle 2	Location 17
20	Aisle 3	Location 8
21	Aisle 7	Location 24
22	Aisle 3	Location 3
Order 4	number of articles 14
0	Aisle 10	Location 23
1	Aisle 2	Location 9
2	Aisle 1	Location 12
3	Aisle 17	Location 32
4	Aisle 4	Location 0
5	Aisle 16	Location 30
6	Aisle 12	Location 33
7	Aisle 18	Location 9
8	Aisle 19	Location 15
9	Aisle 15	Location 2
10	Aisle 1	Location 8
11	Aisle 8	Location 6
12	Aisle 8	Location 7
13	Aisle 1	Location 38
Order 5	number of articles 9
0	Aisle 13	Location 34
1	Aisle 17	Location 44
2	Aisle 10	Location 7
3	Aisle 4	Location 42
4	Aisle 9	Location 35
5	Aisle 0	Location 3
6	Aisle 15	Location 11
7	Aisle 18	Location 32
8	Aisle 0	Location 13
Order 6	number of articles 12
0	Aisle 15	Location 13
1	Aisle 18	Location 22
2	Aisle 7	Location 12
3	Aisle 13	Location 3
4	Aisle 11	Location 23
5	Aisle 7	Location 3
6	Aisle 0	Location 42
7	Aisle 17	Location 15
8	Aisle 3	Location 19
