Order 0	number of articles 22
0	Aisle 1	Location 35
1	Aisle 1	Location 30
2	Aisle 4	Location 16
3	Aisle 19	Location 25
4	Aisle 16	Location 25
5	Aisle 13	Location 3
6	Aisle 19	Location 29
7	Aisle 0	Location 42
8	Aisle 13	Location 0
9	Aisle 16	Location 44
10	Aisle 15	Location 10
11	Aisle 2	Location 40
12	Aisle 0	Location 3
13	Aisle 17	Location 37
14	Aisle 19	Location 39
15	Aisle 7	Location 8
16	Aisle 10	Location 23
17	Aisle 9	Location 44
18	Aisle 17	Location 43
19	Aisle 4	Location 37
20	Aisle 4	Location 43
21	Aisle 17	Location 0
Order 1	number of articles 17
0	Aisle 2	Location 1
1	Aisle 2	Location 37
2	Aisle 2	Location 28
3	Aisle 9	Location 19
4	Aisle 0	Location 44
5	Aisle 12	Location 3
6	Aisle 10	Location 9
7	Aisle 9	Location 4
8	Aisle 5	Location 41
9	Aisle 0	Location 1
10	Aisle 9	Location 12
11	Aisle 3	Location 24
12	Aisle 12	Location 1
13	Aisle 4	Location 31
14	Aisle 7	Location 5
15	Aisle 7	Location 14
16	Aisle 17	Location 34
Order 2	number of articles 11
0	Aisle 9	Location 1
1	Aisle 4	Location 35
2	Aisle 9	Location 8
3	Aisle 12	Location 5
4	Aisle 18	Location 15
5	Aisle 5	Location 16
6	Aisle 6	Location 33
7	Aisle 9	Location 43
8	Aisle 16	Location 41
9	Aisle 19	Location 39
10	Aisle 13	Location 39
Order 3	number of articles 13
0	Aisle 4	Location 37
1	Aisle 16	Location 6
2	Aisle 19	Location 31
3	Aisle 19	Location 38
4	Aisle 18	Location 40
5	Aisle 15	Location 35
6	Aisle 7	Location 37
7	Aisle 5	Location 25
8	Aisle 3	Location 25
9	Aisle 13	Location 0
10	Aisle 7	Location 4
11	Aisle 3	Location 38
12	Aisle 5	Location 14
Order 4	number of articles 19
0	Aisle 15	Location 39
1	Aisle 3	Location 4
2	Aisle 0	Location 31
3	Aisle 5	Location 39
4	Aisle 11	Location 12
5	Aisle 6	Location 28
6	Aisle 8	Location 15
7	Aisle 14	Location 38
8	Aisle 14	Location 22
9	Aisle 19	Location 0
10	Aisle 5	Location 4
11	Aisle 19	Location 20
12	Aisle 14	Location 41
13	Aisle 16	Location 32
14	Aisle 11	Location 43
15	Aisle 9	Location 14
16	Aisle 18	Location 21
17	Aisle 10	Location 18
18	Aisle 5	Location 11
Order 5	number of articles 19
0	Aisle 8	Location 18
1	Aisle 18	Location 22
2	Aisle 13	Location 40
3	Aisle 11	Location 33
4	Aisle 10	Location 8
5	Aisle 2	Location 23
6	Aisle 19	Location 4
7	Aisle 19	Location 17
8	Aisle 3	Location 25
9	Aisle 4	Location 12
10	Aisle 13	Location 15
11	Aisle 7	Location 29
12	Aisle 9	Location 0
13	Aisle 16	Location 16
14	Aisle 10	Location 28
15	Aisle 9	Location 28
16	Aisle 17	Location 0
17	Aisle 18	Location 29
18	Aisle 13	Location 14
Order 6	number of articles 6
0	Aisle 19	Location 1
1	Aisle 0	Location 35
2	Aisle 18	Location 7
3	Aisle 16	Location 44
4	Aisle 17	Location 23
5	Aisle 6	Location 0
Order 7	number of articles 15
0	Aisle 12	Location 37
1	Aisle 7	Location 39
2	Aisle 4	Location 11
3	Aisle 5	Location 44
4	Aisle 7	Location 13
5	Aisle 17	Location 21
6	Aisle 8	Location 5
7	Aisle 8	Location 40
8	Aisle 14	Location 3
9	Aisle 0	Location 28
10	Aisle 8	Location 41
11	Aisle 15	Location 7
12	Aisle 2	Location 37
13	Aisle 4	Location 13
14	Aisle 2	Location 30
Order 8	number of articles 23
0	Aisle 9	Location 28
1	Aisle 13	Location 1
2	Aisle 8	Location 41
3	Aisle 13	Location 18
4	Aisle 18	Location 4
5	Aisle 1	Location 21
6	Aisle 12	Location 44
7	Aisle 1	Location 10
8	Aisle 12	Location 29
9	Aisle 2	Location 44
10	Aisle 19	Location 6
11	Aisle 17	Location 0
12	Aisle 6	Location 35
13	Aisle 4	Location 36
14	Aisle 14	Location 21
15	Aisle 16	Location 26
16	Aisle 11	Location 10
17	Aisle 9	Location 2
18	Aisle 19	Location 9
19	Aisle 16	Location 29
20	Aisle 0	Location 35
21	Aisle 5	Location 44
22	Aisle 0	Location 6
Order 9	number of articles 7
0	Aisle 19	Location 38
1	Aisle 12	Location 43
2	Aisle 19	Location 35
3	Aisle 13	Location 23
4	Aisle 13	Location 9
5	Aisle 9	Location 24
6	Aisle 12	Location 42
Order 10	number of articles 22
0	Aisle 9	Location 0
1	Aisle 8	Location 24
2	Aisle 11	Location 12
3	Aisle 10	Location 22
4	Aisle 1	Location 41
5	Aisle 13	Location 37
6	Aisle 9	Location 6
7	Aisle 3	Location 20
8	Aisle 14	Location 6
9	Aisle 0	Location 24
10	Aisle 13	Location 44
11	Aisle 15	Location 27
12	Aisle 19	Location 17
13	Aisle 2	Location 37
14	Aisle 11	Location 18
15	Aisle 9	Location 21
16	Aisle 9	Location 3
17	Aisle 5	Location 33
18	Aisle 19	Location 13
19	Aisle 18	Location 43
20	Aisle 1	Location 24
21	Aisle 2	Location 18
Order 11	number of articles 24
0	Aisle 6	Location 38
1	Aisle 16	Location 12
2	Aisle 15	Location 7
3	Aisle 19	Location 10
4	Aisle 17	Location 42
5	Aisle 9	Location 35
6	Aisle 2	Location 37
7	Aisle 2	Location 22
8	Aisle 15	Location 21
9	Aisle 15	Location 15
10	Aisle 10	Location 16
11	Aisle 8	Location 25
12	Aisle 13	Location 41
13	Aisle 6	Location 36
14	Aisle 6	Location 37
15	Aisle 14	Location 41
16	Aisle 16	Location 32
17	Aisle 17	Location 13
18	Aisle 19	Location 2
19	Aisle 5	Location 29
20	Aisle 19	Location 34
21	Aisle 0	Location 22
22	Aisle 16	Location 25
23	Aisle 11	Location 11
Order 12	number of articles 17
0	Aisle 2	Location 44
1	Aisle 11	Location 8
2	Aisle 5	Location 11
3	Aisle 1	Location 32
4	Aisle 18	Location 15
5	Aisle 5	Location 28
6	Aisle 6	Location 20
7	Aisle 4	Location 25
8	Aisle 15	Location 1
9	Aisle 8	Location 4
10	Aisle 15	Location 26
11	Aisle 15	Location 8
12	Aisle 7	Location 16
13	Aisle 19	Location 35
14	Aisle 19	Location 34
15	Aisle 11	Location 18
16	Aisle 0	Location 36
Order 13	number of articles 13
0	Aisle 7	Location 44
1	Aisle 2	Location 7
2	Aisle 5	Location 43
3	Aisle 2	Location 33
4	Aisle 12	Location 14
5	Aisle 4	Location 6
6	Aisle 3	Location 37
7	Aisle 8	Location 18
8	Aisle 12	Location 1
9	Aisle 19	Location 26
10	Aisle 9	Location 5
11	Aisle 5	Location 23
12	Aisle 18	Location 39
Order 14	number of articles 22
0	Aisle 4	Location 4
1	Aisle 12	Location 12
2	Aisle 14	Location 39
3	Aisle 14	Location 10
4	Aisle 6	Location 8
5	Aisle 0	Location 3
6	Aisle 4	Location 44
7	Aisle 10	Location 44
8	Aisle 19	Location 44
9	Aisle 14	Location 38
10	Aisle 19	Location 25
11	Aisle 15	Location 25
12	Aisle 16	Location 0
13	Aisle 2	Location 15
14	Aisle 9	Location 15
15	Aisle 15	Location 3
16	Aisle 4	Location 13
17	Aisle 18	Location 22
18	Aisle 16	Location 33
19	Aisle 10	Location 31
20	Aisle 1	Location 6
21	Aisle 2	Location 0
Order 15	number of articles 20
0	Aisle 13	Location 24
1	Aisle 7	Location 43
2	Aisle 19	Location 44
3	Aisle 3	Location 33
4	Aisle 14	Location 14
5	Aisle 3	Location 21
6	Aisle 17	Location 35
7	Aisle 19	Location 0
8	Aisle 19	Location 21
9	Aisle 1	Location 20
10	Aisle 0	Location 43
11	Aisle 15	Location 43
12	Aisle 17	Location 33
13	Aisle 6	Location 34
14	Aisle 4	Location 37
15	Aisle 16	Location 34
16	Aisle 14	Location 10
17	Aisle 6	Location 24
18	Aisle 15	Location 31
19	Aisle 5	Location 23
Order 16	number of articles 16
0	Aisle 1	Location 26
1	Aisle 11	Location 3
2	Aisle 13	Location 34
3	Aisle 16	Location 1
4	Aisle 14	Location 20
5	Aisle 18	Location 38
6	Aisle 16	Location 39
7	Aisle 10	Location 1
8	Aisle 15	Location 32
9	Aisle 3	Location 24
10	Aisle 11	Location 26
11	Aisle 19	Location 34
12	Aisle 1	Location 14
13	Aisle 16	Location 8
14	Aisle 19	Location 41
15	Aisle 11	Location 13
Order 17	number of articles 5
0	Aisle 17	Location 0
1	Aisle 11	Location 38
2	Aisle 3	Location 8
3	Aisle 16	Location 31
4	Aisle 6	Location 11
Order 18	number of articles 17
0	Aisle 14	Location 16
1	Aisle 11	Location 12
2	Aisle 14	Location 6
3	Aisle 7	Location 43
4	Aisle 2	Location 41
5	Aisle 16	Location 24
6	Aisle 15	Location 9
7	Aisle 19	Location 39
8	Aisle 0	Location 22
9	Aisle 1	Location 13
10	Aisle 17	Location 32
11	Aisle 6	Location 38
12	Aisle 4	Location 17
13	Aisle 11	Location 30
14	Aisle 9	Location 15
15	Aisle 12	Location 6
16	Aisle 9	Location 3
Order 19	number of articles 11
0	Aisle 2	Location 24
1	Aisle 18	Location 27
2	Aisle 7	Location 34
3	Aisle 16	Location 42
4	Aisle 2	Location 35
5	Aisle 15	Location 1
6	Aisle 13	Location 20
7	Aisle 9	Location 4
8	Aisle 13	Location 8
9	Aisle 15	Location 11
10	Aisle 5	Location 35
Order 20	number of articles 14
0	Aisle 15	Location 23
1	Aisle 7	Location 37
2	Aisle 11	Location 20
3	Aisle 16	Location 13
4	Aisle 16	Location 7
5	Aisle 1	Location 6
6	Aisle 14	Location 32
7	Aisle 0	Location 8
8	Aisle 12	Location 4
9	Aisle 4	Location 31
10	Aisle 3	Location 40
11	Aisle 5	Location 4
12	Aisle 2	Location 6
13	Aisle 13	Location 40
Order 21	number of articles 17
0	Aisle 18	Location 42
1	Aisle 1	Location 15
2	Aisle 3	Location 37
3	Aisle 2	Location 8
4	Aisle 1	Location 25
5	Aisle 15	Location 17
6	Aisle 9	Location 11
7	Aisle 10	Location 44
8	Aisle 14	Location 14
9	Aisle 19	Location 37
10	Aisle 4	Location 23
11	Aisle 10	Location 0
12	Aisle 6	Location 21
13	Aisle 15	Location 20
14	Aisle 11	Location 22
15	Aisle 14	Location 15
16	Aisle 9	Location 17
Order 22	number of articles 19
0	Aisle 8	Location 27
1	Aisle 5	Location 39
2	Aisle 4	Location 40
3	Aisle 3	Location 24
4	Aisle 13	Location 5
5	Aisle 15	Location 31
6	Aisle 15	Location 7
7	Aisle 8	Location 15
8	Aisle 7	Location 32
9	Aisle 15	Location 20
10	Aisle 3	Location 26
11	Aisle 12	Location 12
12	Aisle 17	Location 37
13	Aisle 14	Location 24
14	Aisle 9	Location 15
15	Aisle 5	Location 9
16	Aisle 4	Location 20
17	Aisle 12	Location 6
18	Aisle 1	Location 35
Order 23	number of articles 9
0	Aisle 3	Location 4
1	Aisle 10	Location 9
2	Aisle 14	Location 40
3	Aisle 11	Location 8
4	Aisle 15	Location 37
5	Aisle 10	Location 17
6	Aisle 3	Location 25
7	Aisle 17	Location 20
8	Aisle 12	Location 37
Order 24	number of articles 16
0	Aisle 4	Location 15
1	Aisle 12	Location 39
2	Aisle 0	Location 28
3	Aisle 12	Location 19
4	Aisle 5	Location 2
5	Aisle 18	Location 18
6	Aisle 15	Location 25
7	Aisle 15	Location 41
8	Aisle 10	Location 44
9	Aisle 17	Location 5
10	Aisle 14	Location 38
11	Aisle 0	Location 31
12	Aisle 7	Location 3
13	Aisle 6	Location 23
14	Aisle 2	Location 33
15	Aisle 17	Location 1
Order 25	number of articles 15
0	Aisle 3	Location 29
1	Aisle 19	Location 11
2	Aisle 8	Location 22
3	Aisle 12	Location 14
4	Aisle 10	Location 39
5	Aisle 17	Location 35
6	Aisle 8	Location 42
7	Aisle 7	Location 10
8	Aisle 2	Location 14
9	Aisle 5	Location 28
10	Aisle 10	Location 38
11	Aisle 4	Location 33
12	Aisle 2	Location 35
13	Aisle 15	Location 18
14	Aisle 1	Location 22
Order 26	number of articles 17
0	Aisle 13	Location 31
1	Aisle 16	Location 34
2	Aisle 10	Location 32
3	Aisle 10	Location 43
4	Aisle 3	Location 25
5	Aisle 11	Location 6
6	Aisle 0	Location 38
7	Aisle 0	Location 4
8	Aisle 8	Location 40
9	Aisle 18	Location 44
