Order 0	number of articles 11
0	Aisle 10	Location 17
1	Aisle 12	Location 4
2	Aisle 17	Location 38
3	Aisle 0	Location 22
4	Aisle 8	Location 8
5	Aisle 6	Location 0
6	Aisle 9	Location 39
7	Aisle 5	Location 12
8	Aisle 5	Location 43
9	Aisle 12	Location 0
10	Aisle 16	Location 28
Order 1	number of articles 16
0	Aisle 14	Location 14
1	Aisle 12	Location 43
2	Aisle 12	Location 1
3	Aisle 6	Location 36
4	Aisle 19	Location 28
5	Aisle 9	Location 18
6	Aisle 10	Location 23
7	Aisle 10	Location 34
8	Aisle 9	Location 37
9	Aisle 19	Location 33
10	Aisle 18	Location 33
11	Aisle 8	Location 22
12	Aisle 13	Location 18
13	Aisle 7	Location 44
14	Aisle 8	Location 4
15	Aisle 6	Location 1
Order 2	number of articles 20
0	Aisle 16	Location 32
1	Aisle 4	Location 16
2	Aisle 6	Location 29
3	Aisle 9	Location 36
4	Aisle 0	Location 33
5	Aisle 1	Location 32
6	Aisle 0	Location 30
7	Aisle 6	Location 19
8	Aisle 6	Location 44
9	Aisle 14	Location 3
10	Aisle 2	Location 30
11	Aisle 15	Location 19
12	Aisle 1	Location 2
13	Aisle 3	Location 42
14	Aisle 13	Location 4
15	Aisle 0	Location 32
16	Aisle 6	Location 42
17	Aisle 2	Location 16
18	Aisle 18	Location 26
19	Aisle 12	Location 23
Order 3	number of articles 18
0	Aisle 13	Location 38
1	Aisle 10	Location 25
2	Aisle 4	Location 19
3	Aisle 5	Location 12
4	Aisle 0	Location 3
5	Aisle 2	Location 40
6	Aisle 0	Location 22
7	Aisle 3	Location 35
8	Aisle 5	Location 22
9	Aisle 18	Location 44
10	Aisle 2	Location 37
11	Aisle 8	Location 16
12	Aisle 5	Location 38
13	Aisle 9	Location 30
14	Aisle 7	Location 35
15	Aisle 13	Location 12
16	Aisle 16	Location 3
17	Aisle 11	Location 30
Order 4	number of articles 21
0	Aisle 2	Location 20
1	Aisle 1	Location 2
2	Aisle 15	Location 34
3	Aisle 8	Location 8
4	Aisle 5	Location 43
5	Aisle 18	Location 4
6	Aisle 19	Location 26
7	Aisle 8	Location 16
8	Aisle 14	Location 2
9	Aisle 11	Location 22
10	Aisle 12	Location 25
11	Aisle 14	Location 28
12	Aisle 5	Location 0
13	Aisle 17	Location 11
14	Aisle 14	Location 35
15	Aisle 0	Location 42
16	Aisle 19	Location 10
17	Aisle 15	Location 5
18	Aisle 4	Location 3
19	Aisle 6	Location 38
20	Aisle 9	Location 8
Order 5	number of articles 17
0	Aisle 1	Location 42
1	Aisle 14	Location 37
2	Aisle 13	Location 6
3	Aisle 15	Location 31
4	Aisle 1	Location 10
5	Aisle 12	Location 41
6	Aisle 4	Location 29
7	Aisle 3	Location 12
8	Aisle 12	Location 37
9	Aisle 8	Location 31
