Order 0	number of articles 18
0	Aisle 12	Location 23
1	Aisle 13	Location 13
2	Aisle 12	Location 36
3	Aisle 14	Location 17
4	Aisle 11	Location 36
5	Aisle 3	Location 23
6	Aisle 14	Location 7
7	Aisle 13	Location 27
8	Aisle 11	Location 26
9	Aisle 18	Location 19
10	Aisle 18	Location 25
11	Aisle 3	Location 30
12	Aisle 8	Location 35
13	Aisle 8	Location 0
14	Aisle 0	Location 14
15	Aisle 4	Location 37
16	Aisle 12	Location 42
17	Aisle 13	Location 41
Order 1	number of articles 19
0	Aisle 13	Location 9
1	Aisle 8	Location 18
2	Aisle 2	Location 14
3	Aisle 19	Location 6
4	Aisle 8	Location 38
5	Aisle 6	Location 20
6	Aisle 1	Location 18
7	Aisle 9	Location 40
8	Aisle 7	Location 24
9	Aisle 17	Location 43
10	Aisle 10	Location 14
11	Aisle 16	Location 11
12	Aisle 11	Location 34
13	Aisle 19	Location 21
14	Aisle 7	Location 4
15	Aisle 13	Location 24
16	Aisle 0	Location 7
17	Aisle 6	Location 18
18	Aisle 1	Location 16
Order 2	number of articles 19
0	Aisle 2	Location 6
1	Aisle 18	Location 28
2	Aisle 13	Location 43
3	Aisle 16	Location 23
4	Aisle 17	Location 2
5	Aisle 2	Location 13
6	Aisle 17	Location 42
7	Aisle 9	Location 16
8	Aisle 8	Location 13
9	Aisle 10	Location 0
10	Aisle 8	Location 39
11	Aisle 5	Location 31
12	Aisle 4	Location 28
13	Aisle 15	Location 21
14	Aisle 2	Location 28
15	Aisle 14	Location 41
16	Aisle 11	Location 30
17	Aisle 13	Location 40
18	Aisle 9	Location 41
Order 3	number of articles 20
0	Aisle 9	Location 43
1	Aisle 16	Location 33
2	Aisle 14	Location 27
3	Aisle 11	Location 43
4	Aisle 6	Location 32
5	Aisle 14	Location 43
6	Aisle 1	Location 2
7	Aisle 1	Location 43
8	Aisle 16	Location 7
9	Aisle 19	Location 14
10	Aisle 3	Location 13
11	Aisle 2	Location 32
12	Aisle 17	Location 10
13	Aisle 1	Location 31
14	Aisle 13	Location 5
15	Aisle 15	Location 6
16	Aisle 7	Location 5
17	Aisle 18	Location 31
18	Aisle 13	Location 32
19	Aisle 16	Location 21
Order 4	number of articles 16
0	Aisle 4	Location 6
1	Aisle 2	Location 40
2	Aisle 17	Location 22
3	Aisle 8	Location 26
4	Aisle 18	Location 27
5	Aisle 0	Location 38
6	Aisle 0	Location 10
7	Aisle 18	Location 20
8	Aisle 5	Location 22
9	Aisle 3	Location 28
10	Aisle 8	Location 8
11	Aisle 1	Location 27
12	Aisle 18	Location 39
13	Aisle 9	Location 38
14	Aisle 12	Location 29
15	Aisle 8	Location 38
Order 5	number of articles 5
0	Aisle 5	Location 41
1	Aisle 17	Location 34
2	Aisle 2	Location 19
3	Aisle 13	Location 22
4	Aisle 0	Location 29
Order 6	number of articles 14
0	Aisle 10	Location 3
1	Aisle 17	Location 5
2	Aisle 14	Location 1
3	Aisle 4	Location 10
4	Aisle 10	Location 5
5	Aisle 7	Location 0
6	Aisle 19	Location 23
7	Aisle 19	Location 26
8	Aisle 16	Location 20
9	Aisle 19	Location 41
10	Aisle 4	Location 30
11	Aisle 10	Location 25
12	Aisle 15	Location 11
13	Aisle 9	Location 26
Order 7	number of articles 16
0	Aisle 6	Location 20
1	Aisle 8	Location 5
2	Aisle 0	Location 40
3	Aisle 14	Location 28
4	Aisle 8	Location 40
5	Aisle 8	Location 26
6	Aisle 18	Location 43
7	Aisle 15	Location 4
8	Aisle 5	Location 6
9	Aisle 7	Location 1
10	Aisle 0	Location 24
11	Aisle 7	Location 40
12	Aisle 13	Location 19
13	Aisle 10	Location 3
14	Aisle 16	Location 42
15	Aisle 3	Location 44
Order 8	number of articles 16
0	Aisle 5	Location 44
1	Aisle 12	Location 38
2	Aisle 2	Location 41
3	Aisle 14	Location 10
4	Aisle 1	Location 41
5	Aisle 12	Location 13
6	Aisle 14	Location 8
7	Aisle 4	Location 41
8	Aisle 18	Location 4
9	Aisle 6	Location 25
10	Aisle 4	Location 23
11	Aisle 3	Location 21
12	Aisle 9	Location 40
13	Aisle 18	Location 27
14	Aisle 12	Location 21
15	Aisle 2	Location 22
Order 9	number of articles 24
0	Aisle 6	Location 33
1	Aisle 8	Location 5
2	Aisle 7	Location 36
3	Aisle 7	Location 17
4	Aisle 9	Location 5
5	Aisle 8	Location 37
6	Aisle 19	Location 9
7	Aisle 13	Location 18
8	Aisle 1	Location 5
9	Aisle 14	Location 38
10	Aisle 1	Location 34
11	Aisle 7	Location 9
12	Aisle 13	Location 28
13	Aisle 18	Location 36
14	Aisle 9	Location 28
15	Aisle 0	Location 8
16	Aisle 1	Location 14
17	Aisle 8	Location 18
18	Aisle 14	Location 43
19	Aisle 10	Location 17
20	Aisle 3	Location 41
21	Aisle 10	Location 44
22	Aisle 6	Location 23
23	Aisle 8	Location 32
Order 10	number of articles 8
0	Aisle 5	Location 0
1	Aisle 4	Location 3
2	Aisle 10	Location 41
3	Aisle 0	Location 13
4	Aisle 10	Location 20
5	Aisle 17	Location 26
6	Aisle 10	Location 36
7	Aisle 15	Location 35
Order 11	number of articles 22
0	Aisle 8	Location 38
1	Aisle 3	Location 4
2	Aisle 1	Location 28
3	Aisle 11	Location 22
4	Aisle 5	Location 2
5	Aisle 15	Location 14
6	Aisle 8	Location 3
7	Aisle 15	Location 13
8	Aisle 19	Location 42
9	Aisle 8	Location 43
10	Aisle 8	Location 26
11	Aisle 4	Location 27
12	Aisle 11	Location 44
13	Aisle 0	Location 8
14	Aisle 11	Location 39
15	Aisle 0	Location 29
16	Aisle 2	Location 0
17	Aisle 17	Location 10
18	Aisle 7	Location 2
19	Aisle 10	Location 37
20	Aisle 6	Location 25
21	Aisle 17	Location 0
Order 12	number of articles 11
0	Aisle 5	Location 33
1	Aisle 11	Location 37
2	Aisle 14	Location 3
3	Aisle 7	Location 22
4	Aisle 16	Location 26
5	Aisle 2	Location 32
6	Aisle 15	Location 16
7	Aisle 5	Location 3
8	Aisle 11	Location 14
9	Aisle 12	Location 22
10	Aisle 5	Location 36
Order 13	number of articles 10
0	Aisle 10	Location 32
1	Aisle 16	Location 11
2	Aisle 17	Location 17
3	Aisle 8	Location 24
4	Aisle 6	Location 30
5	Aisle 7	Location 0
6	Aisle 19	Location 19
7	Aisle 10	Location 44
8	Aisle 5	Location 14
9	Aisle 5	Location 33
Order 14	number of articles 11
0	Aisle 12	Location 28
1	Aisle 9	Location 8
2	Aisle 13	Location 15
3	Aisle 17	Location 33
4	Aisle 13	Location 26
5	Aisle 8	Location 28
6	Aisle 12	Location 42
7	Aisle 15	Location 1
8	Aisle 0	Location 5
9	Aisle 19	Location 41
10	Aisle 12	Location 27
Order 15	number of articles 6
0	Aisle 7	Location 9
1	Aisle 16	Location 7
2	Aisle 1	Location 4
3	Aisle 19	Location 20
4	Aisle 12	Location 13
5	Aisle 3	Location 12
Order 16	number of articles 14
0	Aisle 0	Location 28
1	Aisle 15	Location 5
2	Aisle 13	Location 31
3	Aisle 12	Location 40
4	Aisle 4	Location 27
5	Aisle 9	Location 1
6	Aisle 11	Location 14
7	Aisle 9	Location 36
