Order 0	number of articles 12
0	Aisle 6	Location 42
1	Aisle 18	Location 8
2	Aisle 6	Location 39
3	Aisle 16	Location 27
4	Aisle 11	Location 31
5	Aisle 5	Location 28
6	Aisle 0	Location 43
7	Aisle 16	Location 12
8	Aisle 15	Location 43
9	Aisle 2	Location 6
10	Aisle 4	Location 10
11	Aisle 1	Location 31
Order 1	number of articles 12
0	Aisle 3	Location 40
1	Aisle 15	Location 5
2	Aisle 15	Location 31
3	Aisle 10	Location 33
4	Aisle 12	Location 30
5	Aisle 7	Location 11
6	Aisle 5	Location 37
7	Aisle 19	Location 29
8	Aisle 13	Location 25
9	Aisle 4	Location 38
10	Aisle 2	Location 7
11	Aisle 11	Location 44
Order 2	number of articles 23
0	Aisle 6	Location 43
1	Aisle 16	Location 0
2	Aisle 15	Location 29
3	Aisle 14	Location 7
4	Aisle 11	Location 40
5	Aisle 4	Location 35
6	Aisle 9	Location 17
7	Aisle 3	Location 0
8	Aisle 4	Location 10
9	Aisle 16	Location 2
10	Aisle 2	Location 25
11	Aisle 19	Location 11
12	Aisle 8	Location 41
13	Aisle 15	Location 20
14	Aisle 6	Location 19
15	Aisle 6	Location 10
16	Aisle 19	Location 19
17	Aisle 9	Location 13
18	Aisle 17	Location 24
19	Aisle 15	Location 3
20	Aisle 12	Location 8
21	Aisle 18	Location 38
22	Aisle 1	Location 43
Order 3	number of articles 22
0	Aisle 6	Location 23
1	Aisle 12	Location 19
2	Aisle 11	Location 26
3	Aisle 13	Location 4
4	Aisle 2	Location 29
5	Aisle 1	Location 36
6	Aisle 11	Location 22
7	Aisle 4	Location 30
8	Aisle 9	Location 11
9	Aisle 1	Location 22
10	Aisle 7	Location 25
11	Aisle 13	Location 24
12	Aisle 11	Location 28
13	Aisle 10	Location 42
14	Aisle 9	Location 37
15	Aisle 8	Location 2
16	Aisle 12	Location 5
17	Aisle 14	Location 37
18	Aisle 3	Location 28
19	Aisle 2	Location 0
20	Aisle 12	Location 43
21	Aisle 4	Location 25
Order 4	number of articles 12
0	Aisle 6	Location 34
1	Aisle 4	Location 18
2	Aisle 13	Location 7
3	Aisle 9	Location 18
4	Aisle 4	Location 31
5	Aisle 1	Location 40
6	Aisle 6	Location 36
7	Aisle 13	Location 37
8	Aisle 6	Location 21
9	Aisle 4	Location 1
10	Aisle 17	Location 0
11	Aisle 7	Location 8
Order 5	number of articles 11
0	Aisle 18	Location 4
1	Aisle 19	Location 14
2	Aisle 12	Location 44
3	Aisle 16	Location 1
4	Aisle 5	Location 0
5	Aisle 2	Location 8
6	Aisle 8	Location 25
7	Aisle 14	Location 36
8	Aisle 19	Location 23
9	Aisle 15	Location 28
10	Aisle 3	Location 39
Order 6	number of articles 5
0	Aisle 14	Location 8
1	Aisle 1	Location 25
2	Aisle 4	Location 21
3	Aisle 12	Location 39
4	Aisle 15	Location 4
Order 7	number of articles 18
0	Aisle 15	Location 36
1	Aisle 18	Location 27
2	Aisle 4	Location 12
3	Aisle 12	Location 5
4	Aisle 16	Location 36
5	Aisle 6	Location 4
6	Aisle 12	Location 27
7	Aisle 14	Location 30
8	Aisle 5	Location 28
9	Aisle 7	Location 8
10	Aisle 17	Location 35
11	Aisle 4	Location 43
12	Aisle 11	Location 13
13	Aisle 19	Location 39
14	Aisle 18	Location 24
15	Aisle 18	Location 14
16	Aisle 3	Location 35
17	Aisle 15	Location 26
Order 8	number of articles 11
0	Aisle 12	Location 1
1	Aisle 12	Location 15
2	Aisle 12	Location 32
3	Aisle 17	Location 12
4	Aisle 18	Location 1
5	Aisle 12	Location 38
6	Aisle 16	Location 22
7	Aisle 0	Location 0
8	Aisle 18	Location 32
9	Aisle 18	Location 29
10	Aisle 17	Location 33
Order 9	number of articles 16
0	Aisle 17	Location 41
1	Aisle 16	Location 11
2	Aisle 8	Location 14
3	Aisle 8	Location 36
4	Aisle 6	Location 32
5	Aisle 14	Location 7
6	Aisle 5	Location 24
7	Aisle 17	Location 5
8	Aisle 15	Location 25
9	Aisle 10	Location 9
10	Aisle 3	Location 38
11	Aisle 7	Location 2
12	Aisle 15	Location 37
13	Aisle 18	Location 23
14	Aisle 7	Location 28
15	Aisle 19	Location 8
Order 10	number of articles 9
0	Aisle 5	Location 11
1	Aisle 6	Location 29
2	Aisle 13	Location 39
3	Aisle 16	Location 1
4	Aisle 17	Location 23
5	Aisle 4	Location 15
6	Aisle 6	Location 38
7	Aisle 0	Location 21
8	Aisle 13	Location 25
Order 11	number of articles 11
0	Aisle 0	Location 42
1	Aisle 0	Location 7
2	Aisle 6	Location 20
3	Aisle 15	Location 24
4	Aisle 4	Location 4
5	Aisle 10	Location 24
6	Aisle 8	Location 8
7	Aisle 6	Location 31
8	Aisle 9	Location 25
9	Aisle 2	Location 29
10	Aisle 3	Location 8
Order 12	number of articles 14
0	Aisle 0	Location 21
1	Aisle 19	Location 1
2	Aisle 17	Location 35
3	Aisle 15	Location 39
4	Aisle 1	Location 33
5	Aisle 13	Location 2
6	Aisle 10	Location 33
7	Aisle 11	Location 2
8	Aisle 17	Location 18
9	Aisle 8	Location 16
10	Aisle 2	Location 44
11	Aisle 14	Location 11
12	Aisle 18	Location 14
13	Aisle 17	Location 7
Order 13	number of articles 22
0	Aisle 12	Location 24
1	Aisle 0	Location 44
2	Aisle 7	Location 4
3	Aisle 1	Location 18
4	Aisle 12	Location 23
5	Aisle 14	Location 14
6	Aisle 7	Location 16
7	Aisle 13	Location 16
8	Aisle 15	Location 32
9	Aisle 10	Location 18
10	Aisle 7	Location 13
11	Aisle 0	Location 31
12	Aisle 16	Location 6
