Order 0	number of articles 12
0	Aisle 19	Location 22
1	Aisle 1	Location 3
2	Aisle 17	Location 26
3	Aisle 16	Location 34
4	Aisle 6	Location 15
5	Aisle 4	Location 39
6	Aisle 11	Location 21
7	Aisle 0	Location 33
8	Aisle 5	Location 7
9	Aisle 17	Location 5
10	Aisle 13	Location 40
11	Aisle 19	Location 15
Order 1	number of articles 14
0	Aisle 8	Location 30
1	Aisle 7	Location 23
2	Aisle 12	Location 26
3	Aisle 17	Location 36
4	Aisle 16	Location 33
5	Aisle 12	Location 41
6	Aisle 0	Location 34
7	Aisle 16	Location 6
8	Aisle 0	Location 32
9	Aisle 7	Location 18
10	Aisle 14	Location 35
11	Aisle 7	Location 44
12	Aisle 10	Location 26
13	Aisle 1	Location 22
Order 2	number of articles 11
0	Aisle 18	Location 16
1	Aisle 2	Location 17
2	Aisle 11	Location 21
3	Aisle 12	Location 6
4	Aisle 13	Location 29
5	Aisle 7	Location 35
6	Aisle 4	Location 17
7	Aisle 18	Location 38
8	Aisle 8	Location 13
9	Aisle 2	Location 3
10	Aisle 6	Location 16
Order 3	number of articles 7
0	Aisle 15	Location 20
1	Aisle 18	Location 4
2	Aisle 0	Location 44
3	Aisle 14	Location 1
4	Aisle 18	Location 27
5	Aisle 12	Location 14
6	Aisle 10	Location 32
Order 4	number of articles 20
0	Aisle 12	Location 31
1	Aisle 15	Location 3
2	Aisle 19	Location 43
3	Aisle 17	Location 6
4	Aisle 19	Location 4
5	Aisle 14	Location 41
6	Aisle 18	Location 7
7	Aisle 5	Location 37
8	Aisle 9	Location 16
9	Aisle 1	Location 27
10	Aisle 17	Location 3
11	Aisle 19	Location 37
12	Aisle 8	Location 0
13	Aisle 4	Location 0
14	Aisle 1	Location 22
15	Aisle 1	Location 32
16	Aisle 19	Location 42
17	Aisle 1	Location 41
18	Aisle 1	Location 7
19	Aisle 8	Location 23
Order 5	number of articles 15
0	Aisle 11	Location 9
1	Aisle 6	Location 5
2	Aisle 15	Location 12
3	Aisle 1	Location 5
4	Aisle 10	Location 19
5	Aisle 9	Location 39
6	Aisle 1	Location 22
7	Aisle 6	Location 7
8	Aisle 6	Location 20
9	Aisle 18	Location 17
10	Aisle 6	Location 26
11	Aisle 3	Location 7
12	Aisle 1	Location 37
13	Aisle 18	Location 14
14	Aisle 1	Location 0
Order 6	number of articles 10
0	Aisle 16	Location 28
1	Aisle 5	Location 11
2	Aisle 19	Location 26
3	Aisle 2	Location 1
4	Aisle 7	Location 13
5	Aisle 8	Location 19
6	Aisle 18	Location 29
7	Aisle 0	Location 43
8	Aisle 6	Location 1
9	Aisle 11	Location 23
Order 7	number of articles 11
0	Aisle 9	Location 37
1	Aisle 15	Location 34
2	Aisle 11	Location 44
3	Aisle 10	Location 7
4	Aisle 8	Location 11
5	Aisle 1	Location 34
6	Aisle 9	Location 18
7	Aisle 8	Location 22
8	Aisle 18	Location 26
9	Aisle 18	Location 17
10	Aisle 6	Location 14
Order 8	number of articles 21
0	Aisle 5	Location 23
1	Aisle 10	Location 37
2	Aisle 4	Location 10
3	Aisle 16	Location 38
4	Aisle 0	Location 17
5	Aisle 17	Location 1
6	Aisle 15	Location 23
7	Aisle 11	Location 29
8	Aisle 19	Location 28
9	Aisle 6	Location 28
10	Aisle 6	Location 37
11	Aisle 10	Location 38
12	Aisle 8	Location 11
13	Aisle 17	Location 21
14	Aisle 14	Location 15
15	Aisle 19	Location 20
16	Aisle 4	Location 8
17	Aisle 18	Location 3
18	Aisle 11	Location 2
19	Aisle 12	Location 20
20	Aisle 12	Location 25
Order 9	number of articles 13
0	Aisle 0	Location 30
1	Aisle 6	Location 0
2	Aisle 3	Location 32
3	Aisle 12	Location 12
4	Aisle 14	Location 6
5	Aisle 10	Location 44
6	Aisle 5	Location 19
7	Aisle 18	Location 40
8	Aisle 0	Location 35
9	Aisle 17	Location 40
10	Aisle 9	Location 40
11	Aisle 13	Location 23
12	Aisle 14	Location 5
Order 10	number of articles 19
0	Aisle 3	Location 11
1	Aisle 17	Location 6
2	Aisle 11	Location 38
3	Aisle 1	Location 8
4	Aisle 7	Location 22
5	Aisle 17	Location 13
6	Aisle 18	Location 1
7	Aisle 7	Location 8
8	Aisle 4	Location 43
9	Aisle 4	Location 23
10	Aisle 1	Location 30
11	Aisle 18	Location 11
12	Aisle 2	Location 21
13	Aisle 9	Location 0
14	Aisle 1	Location 23
15	Aisle 2	Location 30
16	Aisle 15	Location 23
17	Aisle 6	Location 33
18	Aisle 9	Location 42
Order 11	number of articles 10
0	Aisle 5	Location 44
1	Aisle 0	Location 42
2	Aisle 6	Location 20
3	Aisle 0	Location 1
4	Aisle 0	Location 35
5	Aisle 15	Location 14
6	Aisle 16	Location 32
7	Aisle 0	Location 30
8	Aisle 13	Location 15
9	Aisle 4	Location 21
Order 12	number of articles 17
0	Aisle 0	Location 6
1	Aisle 9	Location 43
2	Aisle 19	Location 16
3	Aisle 0	Location 37
4	Aisle 5	Location 15
5	Aisle 18	Location 14
6	Aisle 5	Location 11
7	Aisle 6	Location 14
8	Aisle 13	Location 41
9	Aisle 17	Location 18
10	Aisle 8	Location 44
11	Aisle 19	Location 14
12	Aisle 18	Location 38
13	Aisle 12	Location 12
14	Aisle 1	Location 7
15	Aisle 14	Location 17
16	Aisle 1	Location 29
Order 13	number of articles 16
0	Aisle 15	Location 26
1	Aisle 3	Location 36
2	Aisle 2	Location 35
3	Aisle 2	Location 26
4	Aisle 16	Location 3
5	Aisle 2	Location 6
6	Aisle 13	Location 17
7	Aisle 7	Location 23
8	Aisle 9	Location 15
9	Aisle 0	Location 9
10	Aisle 17	Location 41
11	Aisle 10	Location 43
12	Aisle 15	Location 19
13	Aisle 11	Location 19
14	Aisle 10	Location 1
15	Aisle 5	Location 43
Order 14	number of articles 17
0	Aisle 9	Location 33
1	Aisle 17	Location 37
2	Aisle 9	Location 24
3	Aisle 19	Location 17
4	Aisle 6	Location 36
5	Aisle 0	Location 26
6	Aisle 6	Location 1
7	Aisle 9	Location 18
8	Aisle 16	Location 14
9	Aisle 7	Location 39
10	Aisle 15	Location 0
11	Aisle 12	Location 6
12	Aisle 18	Location 16
13	Aisle 7	Location 24
14	Aisle 11	Location 3
15	Aisle 14	Location 31
16	Aisle 9	Location 41
Order 15	number of articles 18
0	Aisle 9	Location 0
1	Aisle 19	Location 35
2	Aisle 6	Location 13
3	Aisle 16	Location 14
4	Aisle 17	Location 20
5	Aisle 13	Location 28
6	Aisle 19	Location 0
7	Aisle 8	Location 29
8	Aisle 1	Location 7
9	Aisle 3	Location 7
10	Aisle 18	Location 40
