Order 0	number of articles 15
0	Aisle 18	Location 40
1	Aisle 5	Location 28
2	Aisle 19	Location 5
3	Aisle 9	Location 29
4	Aisle 13	Location 4
5	Aisle 5	Location 12
6	Aisle 19	Location 14
7	Aisle 4	Location 27
8	Aisle 9	Location 44
9	Aisle 5	Location 18
10	Aisle 13	Location 42
11	Aisle 10	Location 24
12	Aisle 7	Location 37
13	Aisle 2	Location 14
14	Aisle 3	Location 41
Order 1	number of articles 20
0	Aisle 13	Location 35
1	Aisle 5	Location 11
2	Aisle 19	Location 40
3	Aisle 13	Location 20
4	Aisle 8	Location 4
5	Aisle 18	Location 6
6	Aisle 12	Location 30
7	Aisle 13	Location 29
8	Aisle 7	Location 28
9	Aisle 12	Location 8
10	Aisle 19	Location 5
11	Aisle 4	Location 19
12	Aisle 6	Location 41
13	Aisle 13	Location 37
14	Aisle 17	Location 11
15	Aisle 19	Location 35
16	Aisle 16	Location 21
17	Aisle 15	Location 24
18	Aisle 11	Location 16
19	Aisle 3	Location 34
Order 2	number of articles 12
0	Aisle 3	Location 10
1	Aisle 17	Location 43
2	Aisle 18	Location 11
3	Aisle 3	Location 31
4	Aisle 15	Location 23
5	Aisle 6	Location 31
6	Aisle 10	Location 43
7	Aisle 15	Location 41
8	Aisle 19	Location 26
9	Aisle 8	Location 34
10	Aisle 4	Location 11
11	Aisle 5	Location 35
Order 3	number of articles 19
0	Aisle 18	Location 27
1	Aisle 10	Location 41
2	Aisle 2	Location 34
3	Aisle 8	Location 3
4	Aisle 9	Location 10
5	Aisle 3	Location 15
6	Aisle 14	Location 2
7	Aisle 7	Location 41
8	Aisle 4	Location 40
9	Aisle 0	Location 6
10	Aisle 11	Location 19
11	Aisle 16	Location 35
12	Aisle 3	Location 10
13	Aisle 6	Location 18
14	Aisle 19	Location 37
15	Aisle 4	Location 33
16	Aisle 7	Location 13
17	Aisle 9	Location 12
18	Aisle 18	Location 14
Order 4	number of articles 9
0	Aisle 15	Location 37
1	Aisle 18	Location 18
2	Aisle 9	Location 4
3	Aisle 19	Location 14
4	Aisle 11	Location 8
5	Aisle 3	Location 20
6	Aisle 11	Location 9
7	Aisle 9	Location 44
8	Aisle 15	Location 2
Order 5	number of articles 19
0	Aisle 11	Location 40
1	Aisle 14	Location 28
2	Aisle 8	Location 29
3	Aisle 18	Location 15
4	Aisle 12	Location 32
5	Aisle 16	Location 34
6	Aisle 12	Location 8
7	Aisle 18	Location 26
8	Aisle 16	Location 27
9	Aisle 6	Location 16
10	Aisle 8	Location 27
11	Aisle 6	Location 12
12	Aisle 0	Location 31
13	Aisle 11	Location 35
14	Aisle 12	Location 31
15	Aisle 11	Location 24
16	Aisle 13	Location 10
17	Aisle 10	Location 17
18	Aisle 2	Location 5
Order 6	number of articles 7
0	Aisle 14	Location 28
1	Aisle 8	Location 3
2	Aisle 1	Location 1
3	Aisle 0	Location 11
4	Aisle 13	Location 38
5	Aisle 0	Location 3
6	Aisle 5	Location 5
Order 7	number of articles 9
0	Aisle 18	Location 23
1	Aisle 17	Location 34
2	Aisle 5	Location 25
3	Aisle 0	Location 10
4	Aisle 3	Location 31
5	Aisle 18	Location 10
6	Aisle 1	Location 41
7	Aisle 12	Location 23
8	Aisle 0	Location 13
Order 8	number of articles 7
0	Aisle 16	Location 3
1	Aisle 11	Location 27
