Order 0	number of articles 10
0	Aisle 9	Location 37
1	Aisle 12	Location 28
2	Aisle 18	Location 24
3	Aisle 6	Location 7
4	Aisle 13	Location 0
5	Aisle 1	Location 6
6	Aisle 2	Location 1
7	Aisle 19	Location 13
8	Aisle 5	Location 35
9	Aisle 5	Location 40
Order 1	number of articles 8
0	Aisle 0	Location 35
1	Aisle 5	Location 19
2	Aisle 6	Location 41
3	Aisle 6	Location 1
4	Aisle 0	Location 17
5	Aisle 17	Location 21
6	Aisle 14	Location 29
7	Aisle 3	Location 38
Order 2	number of articles 5
0	Aisle 16	Location 38
1	Aisle 14	Location 32
2	Aisle 7	Location 38
3	Aisle 7	Location 34
4	Aisle 16	Location 23
Order 3	number of articles 21
0	Aisle 5	Location 20
1	Aisle 12	Location 31
2	Aisle 17	Location 13
3	Aisle 12	Location 11
4	Aisle 15	Location 12
5	Aisle 7	Location 16
6	Aisle 19	Location 21
7	Aisle 15	Location 21
8	Aisle 13	Location 14
9	Aisle 6	Location 33
10	Aisle 1	Location 27
11	Aisle 16	Location 4
12	Aisle 19	Location 11
13	Aisle 16	Location 12
14	Aisle 1	Location 34
15	Aisle 5	Location 2
16	Aisle 7	Location 8
17	Aisle 1	Location 8
18	Aisle 3	Location 37
19	Aisle 10	Location 41
20	Aisle 18	Location 13
Order 4	number of articles 9
0	Aisle 5	Location 17
1	Aisle 11	Location 4
2	Aisle 5	Location 29
3	Aisle 17	Location 44
4	Aisle 4	Location 15
5	Aisle 13	Location 39
6	Aisle 18	Location 15
7	Aisle 18	Location 22
8	Aisle 17	Location 1
Order 5	number of articles 6
0	Aisle 0	Location 42
1	Aisle 11	Location 30
2	Aisle 6	Location 19
3	Aisle 1	Location 18
4	Aisle 19	Location 22
5	Aisle 8	Location 27
Order 6	number of articles 8
0	Aisle 17	Location 6
1	Aisle 1	Location 6
2	Aisle 5	Location 8
3	Aisle 4	Location 27
4	Aisle 0	Location 38
5	Aisle 16	Location 7
6	Aisle 3	Location 6
7	Aisle 9	Location 27
Order 7	number of articles 19
0	Aisle 0	Location 24
1	Aisle 15	Location 44
2	Aisle 15	Location 18
3	Aisle 8	Location 5
4	Aisle 10	Location 16
5	Aisle 5	Location 27
6	Aisle 17	Location 20
7	Aisle 9	Location 11
8	Aisle 3	Location 27
9	Aisle 9	Location 20
10	Aisle 19	Location 16
11	Aisle 17	Location 41
12	Aisle 14	Location 19
13	Aisle 14	Location 2
14	Aisle 17	Location 27
15	Aisle 13	Location 13
16	Aisle 9	Location 19
17	Aisle 8	Location 32
18	Aisle 7	Location 30
Order 8	number of articles 12
0	Aisle 6	Location 40
1	Aisle 16	Location 29
2	Aisle 7	Location 21
3	Aisle 1	Location 10
4	Aisle 9	Location 13
5	Aisle 13	Location 31
6	Aisle 5	Location 5
7	Aisle 19	Location 42
8	Aisle 3	Location 38
9	Aisle 18	Location 21
10	Aisle 17	Location 20
11	Aisle 13	Location 8
Order 9	number of articles 19
0	Aisle 14	Location 32
1	Aisle 0	Location 10
2	Aisle 13	Location 26
3	Aisle 7	Location 31
4	Aisle 19	Location 26
5	Aisle 4	Location 35
6	Aisle 9	Location 15
7	Aisle 4	Location 36
8	Aisle 7	Location 41
9	Aisle 12	Location 29
10	Aisle 1	Location 29
11	Aisle 18	Location 42
12	Aisle 12	Location 9
13	Aisle 3	Location 11
14	Aisle 16	Location 19
15	Aisle 2	Location 36
16	Aisle 3	Location 34
17	Aisle 15	Location 44
18	Aisle 17	Location 35
Order 10	number of articles 7
0	Aisle 1	Location 25
1	Aisle 12	Location 9
2	Aisle 19	Location 30
3	Aisle 5	Location 39
4	Aisle 11	Location 7
5	Aisle 10	Location 21
6	Aisle 5	Location 38
Order 11	number of articles 5
0	Aisle 7	Location 7
1	Aisle 19	Location 1
2	Aisle 17	Location 41
3	Aisle 8	Location 33
4	Aisle 8	Location 42
Order 12	number of articles 7
0	Aisle 6	Location 24
1	Aisle 9	Location 24
2	Aisle 5	Location 26
3	Aisle 11	Location 37
4	Aisle 1	Location 6
5	Aisle 7	Location 13
6	Aisle 14	Location 43
Order 13	number of articles 20
0	Aisle 5	Location 22
1	Aisle 4	Location 8
2	Aisle 5	Location 33
3	Aisle 16	Location 18
4	Aisle 9	Location 36
5	Aisle 0	Location 25
6	Aisle 14	Location 10
