Order 0	number of articles 7
0	Aisle 2	Location 15
1	Aisle 13	Location 8
2	Aisle 11	Location 6
3	Aisle 1	Location 8
4	Aisle 13	Location 44
5	Aisle 2	Location 13
6	Aisle 14	Location 4
Order 1	number of articles 14
0	Aisle 12	Location 8
1	Aisle 15	Location 37
2	Aisle 3	Location 27
3	Aisle 15	Location 33
4	Aisle 19	Location 16
5	Aisle 7	Location 3
6	Aisle 2	Location 19
7	Aisle 12	Location 0
8	Aisle 8	Location 15
9	Aisle 10	Location 7
10	Aisle 19	Location 43
11	Aisle 19	Location 33
12	Aisle 18	Location 34
13	Aisle 4	Location 38
Order 2	number of articles 12
0	Aisle 18	Location 23
1	Aisle 4	Location 28
2	Aisle 5	Location 1
3	Aisle 3	Location 5
4	Aisle 15	Location 19
5	Aisle 13	Location 1
6	Aisle 5	Location 6
7	Aisle 11	Location 12
8	Aisle 13	Location 42
9	Aisle 16	Location 40
10	Aisle 8	Location 27
11	Aisle 5	Location 9
Order 3	number of articles 14
0	Aisle 2	Location 20
1	Aisle 2	Location 8
2	Aisle 7	Location 27
3	Aisle 10	Location 1
4	Aisle 9	Location 36
5	Aisle 14	Location 6
6	Aisle 17	Location 17
7	Aisle 8	Location 43
8	Aisle 16	Location 22
9	Aisle 18	Location 36
10	Aisle 9	Location 44
11	Aisle 10	Location 39
12	Aisle 7	Location 20
13	Aisle 1	Location 30
Order 4	number of articles 14
0	Aisle 7	Location 44
1	Aisle 17	Location 18
2	Aisle 13	Location 15
3	Aisle 0	Location 20
4	Aisle 12	Location 23
5	Aisle 8	Location 6
6	Aisle 17	Location 43
7	Aisle 19	Location 34
8	Aisle 8	Location 31
9	Aisle 18	Location 41
10	Aisle 13	Location 10
11	Aisle 11	Location 9
12	Aisle 6	Location 5
13	Aisle 8	Location 33
Order 5	number of articles 9
0	Aisle 3	Location 21
1	Aisle 7	Location 37
2	Aisle 14	Location 37
3	Aisle 19	Location 17
4	Aisle 6	Location 15
5	Aisle 9	Location 10
6	Aisle 12	Location 3
7	Aisle 3	Location 35
8	Aisle 10	Location 34
Order 6	number of articles 9
0	Aisle 2	Location 15
1	Aisle 8	Location 17
2	Aisle 5	Location 22
3	Aisle 7	Location 7
4	Aisle 19	Location 18
5	Aisle 16	Location 42
6	Aisle 10	Location 32
7	Aisle 16	Location 37
8	Aisle 4	Location 11
Order 7	number of articles 8
0	Aisle 14	Location 2
1	Aisle 2	Location 18
2	Aisle 7	Location 19
3	Aisle 18	Location 35
4	Aisle 8	Location 43
5	Aisle 14	Location 36
6	Aisle 1	Location 18
7	Aisle 18	Location 30
Order 8	number of articles 21
0	Aisle 3	Location 4
1	Aisle 2	Location 15
2	Aisle 19	Location 27
3	Aisle 18	Location 35
4	Aisle 1	Location 29
5	Aisle 8	Location 30
6	Aisle 8	Location 6
7	Aisle 14	Location 5
8	Aisle 2	Location 17
9	Aisle 15	Location 5
10	Aisle 2	Location 1
11	Aisle 12	Location 36
12	Aisle 11	Location 10
13	Aisle 16	Location 1
14	Aisle 3	Location 11
15	Aisle 16	Location 13
16	Aisle 0	Location 9
17	Aisle 4	Location 7
18	Aisle 10	Location 11
19	Aisle 16	Location 9
20	Aisle 18	Location 31
Order 9	number of articles 22
0	Aisle 5	Location 22
1	Aisle 16	Location 33
2	Aisle 6	Location 22
3	Aisle 17	Location 41
4	Aisle 0	Location 18
5	Aisle 13	Location 44
6	Aisle 2	Location 33
7	Aisle 10	Location 1
8	Aisle 0	Location 1
9	Aisle 5	Location 13
10	Aisle 13	Location 16
11	Aisle 11	Location 4
12	Aisle 12	Location 20
13	Aisle 18	Location 39
14	Aisle 19	Location 41
15	Aisle 14	Location 36
16	Aisle 9	Location 26
17	Aisle 19	Location 3
18	Aisle 15	Location 12
19	Aisle 14	Location 16
20	Aisle 10	Location 36
21	Aisle 9	Location 2
Order 10	number of articles 9
0	Aisle 10	Location 6
1	Aisle 5	Location 2
2	Aisle 4	Location 11
3	Aisle 17	Location 3
