Order 0	number of articles 22
0	Aisle 1	Location 1
1	Aisle 18	Location 17
2	Aisle 17	Location 14
3	Aisle 18	Location 34
4	Aisle 4	Location 15
5	Aisle 11	Location 20
6	Aisle 1	Location 7
7	Aisle 7	Location 13
8	Aisle 17	Location 23
9	Aisle 10	Location 6
10	Aisle 4	Location 18
11	Aisle 7	Location 5
12	Aisle 6	Location 28
13	Aisle 16	Location 44
14	Aisle 4	Location 23
15	Aisle 16	Location 18
16	Aisle 12	Location 3
17	Aisle 3	Location 40
18	Aisle 18	Location 19
19	Aisle 17	Location 25
20	Aisle 18	Location 5
21	Aisle 15	Location 41
Order 1	number of articles 18
0	Aisle 19	Location 23
1	Aisle 4	Location 0
2	Aisle 2	Location 9
3	Aisle 3	Location 3
4	Aisle 11	Location 0
5	Aisle 11	Location 8
6	Aisle 8	Location 24
7	Aisle 10	Location 6
8	Aisle 7	Location 44
9	Aisle 4	Location 27
10	Aisle 11	Location 20
11	Aisle 16	Location 38
12	Aisle 6	Location 5
13	Aisle 17	Location 6
14	Aisle 17	Location 9
15	Aisle 9	Location 13
16	Aisle 3	Location 21
17	Aisle 15	Location 13
Order 2	number of articles 17
0	Aisle 18	Location 14
1	Aisle 14	Location 9
2	Aisle 5	Location 25
3	Aisle 3	Location 40
4	Aisle 9	Location 38
5	Aisle 0	Location 4
6	Aisle 15	Location 27
7	Aisle 12	Location 30
8	Aisle 5	Location 37
9	Aisle 18	Location 25
10	Aisle 0	Location 31
11	Aisle 5	Location 22
12	Aisle 6	Location 39
13	Aisle 17	Location 25
14	Aisle 16	Location 32
15	Aisle 8	Location 34
16	Aisle 5	Location 28
Order 3	number of articles 21
0	Aisle 8	Location 29
1	Aisle 8	Location 43
2	Aisle 7	Location 9
3	Aisle 7	Location 30
4	Aisle 11	Location 25
5	Aisle 15	Location 37
6	Aisle 2	Location 12
7	Aisle 2	Location 11
8	Aisle 11	Location 34
9	Aisle 13	Location 19
10	Aisle 19	Location 33
11	Aisle 5	Location 14
12	Aisle 12	Location 18
13	Aisle 15	Location 0
14	Aisle 3	Location 26
15	Aisle 19	Location 3
16	Aisle 8	Location 26
17	Aisle 13	Location 13
18	Aisle 7	Location 22
19	Aisle 15	Location 3
20	Aisle 14	Location 9
Order 4	number of articles 11
0	Aisle 19	Location 34
1	Aisle 9	Location 17
2	Aisle 16	Location 27
3	Aisle 9	Location 3
4	Aisle 2	Location 4
5	Aisle 1	Location 44
6	Aisle 14	Location 28
7	Aisle 11	Location 9
8	Aisle 7	Location 15
9	Aisle 5	Location 21
10	Aisle 4	Location 23
Order 5	number of articles 5
0	Aisle 11	Location 6
1	Aisle 2	Location 21
2	Aisle 2	Location 20
3	Aisle 11	Location 37
4	Aisle 10	Location 32
Order 6	number of articles 11
0	Aisle 5	Location 38
1	Aisle 3	Location 7
2	Aisle 14	Location 0
3	Aisle 17	Location 16
4	Aisle 15	Location 25
5	Aisle 13	Location 39
6	Aisle 5	Location 42
7	Aisle 14	Location 23
8	Aisle 7	Location 19
9	Aisle 11	Location 5
10	Aisle 1	Location 8
Order 7	number of articles 19
0	Aisle 11	Location 32
1	Aisle 10	Location 41
2	Aisle 6	Location 7
3	Aisle 6	Location 36
4	Aisle 17	Location 18
5	Aisle 9	Location 44
6	Aisle 16	Location 3
7	Aisle 13	Location 10
8	Aisle 5	Location 30
9	Aisle 15	Location 44
10	Aisle 11	Location 4
11	Aisle 1	Location 20
12	Aisle 18	Location 42
13	Aisle 13	Location 19
14	Aisle 9	Location 17
15	Aisle 17	Location 38
16	Aisle 3	Location 36
17	Aisle 4	Location 15
18	Aisle 16	Location 5
Order 8	number of articles 6
0	Aisle 19	Location 29
1	Aisle 14	Location 0
2	Aisle 19	Location 8
3	Aisle 4	Location 2
4	Aisle 9	Location 8
5	Aisle 14	Location 11
Order 9	number of articles 10
0	Aisle 19	Location 24
1	Aisle 0	Location 33
2	Aisle 3	Location 26
3	Aisle 3	Location 37
4	Aisle 0	Location 28
5	Aisle 6	Location 15
6	Aisle 15	Location 29
7	Aisle 10	Location 11
8	Aisle 19	Location 22
9	Aisle 7	Location 4
Order 10	number of articles 6
0	Aisle 5	Location 1
1	Aisle 2	Location 2
2	Aisle 9	Location 20
3	Aisle 8	Location 19
4	Aisle 14	Location 36
5	Aisle 9	Location 9
Order 11	number of articles 14
0	Aisle 10	Location 25
1	Aisle 13	Location 2
2	Aisle 17	Location 20
3	Aisle 1	Location 4
4	Aisle 15	Location 3
5	Aisle 11	Location 9
6	Aisle 3	Location 40
7	Aisle 6	Location 25
8	Aisle 5	Location 34
9	Aisle 2	Location 24
10	Aisle 0	Location 43
11	Aisle 18	Location 28
12	Aisle 2	Location 11
13	Aisle 4	Location 7
Order 12	number of articles 12
0	Aisle 18	Location 2
1	Aisle 3	Location 4
2	Aisle 7	Location 7
3	Aisle 19	Location 41
4	Aisle 6	Location 19
5	Aisle 9	Location 41
6	Aisle 10	Location 9
7	Aisle 17	Location 34
8	Aisle 16	Location 24
9	Aisle 3	Location 6
10	Aisle 8	Location 24
11	Aisle 2	Location 23
Order 13	number of articles 7
0	Aisle 3	Location 21
1	Aisle 4	Location 43
2	Aisle 3	Location 3
3	Aisle 6	Location 23
4	Aisle 4	Location 10
5	Aisle 17	Location 16
6	Aisle 16	Location 42
Order 14	number of articles 5
0	Aisle 3	Location 10
1	Aisle 8	Location 28
2	Aisle 7	Location 11
3	Aisle 14	Location 33
4	Aisle 11	Location 18
Order 15	number of articles 17
0	Aisle 3	Location 29
1	Aisle 15	Location 14
2	Aisle 8	Location 37
3	Aisle 16	Location 38
