Order 0	number of articles 8
0	Aisle 9	Location 16
1	Aisle 17	Location 11
2	Aisle 19	Location 29
3	Aisle 14	Location 14
4	Aisle 16	Location 38
5	Aisle 9	Location 23
6	Aisle 5	Location 21
7	Aisle 5	Location 9
Order 1	number of articles 23
0	Aisle 8	Location 23
1	Aisle 4	Location 29
2	Aisle 19	Location 18
3	Aisle 13	Location 32
4	Aisle 17	Location 38
5	Aisle 8	Location 37
6	Aisle 6	Location 8
7	Aisle 19	Location 25
8	Aisle 16	Location 13
9	Aisle 19	Location 6
10	Aisle 4	Location 31
11	Aisle 15	Location 16
12	Aisle 19	Location 23
13	Aisle 13	Location 1
14	Aisle 9	Location 5
15	Aisle 1	Location 1
16	Aisle 17	Location 9
17	Aisle 16	Location 21
18	Aisle 14	Location 9
19	Aisle 16	Location 15
20	Aisle 1	Location 5
21	Aisle 16	Location 0
22	Aisle 12	Location 35
Order 2	number of articles 17
0	Aisle 19	Location 34
1	Aisle 15	Location 19
2	Aisle 5	Location 36
3	Aisle 15	Location 31
4	Aisle 11	Location 28
5	Aisle 5	Location 37
6	Aisle 7	Location 25
7	Aisle 0	Location 26
8	Aisle 3	Location 34
9	Aisle 3	Location 32
10	Aisle 18	Location 29
11	Aisle 6	Location 4
12	Aisle 14	Location 27
13	Aisle 5	Location 21
14	Aisle 17	Location 33
15	Aisle 4	Location 30
16	Aisle 15	Location 42
Order 3	number of articles 14
0	Aisle 11	Location 28
1	Aisle 4	Location 0
2	Aisle 15	Location 43
3	Aisle 2	Location 30
4	Aisle 12	Location 8
5	Aisle 6	Location 2
6	Aisle 9	Location 17
7	Aisle 14	Location 2
8	Aisle 19	Location 9
9	Aisle 7	Location 33
10	Aisle 0	Location 36
11	Aisle 5	Location 27
12	Aisle 11	Location 40
13	Aisle 18	Location 35
Order 4	number of articles 20
0	Aisle 3	Location 27
1	Aisle 11	Location 19
2	Aisle 5	Location 40
3	Aisle 15	Location 10
4	Aisle 8	Location 9
5	Aisle 1	Location 36
6	Aisle 7	Location 11
7	Aisle 7	Location 32
8	Aisle 12	Location 33
9	Aisle 7	Location 34
10	Aisle 10	Location 29
11	Aisle 8	Location 30
12	Aisle 5	Location 12
13	Aisle 2	Location 1
14	Aisle 3	Location 10
15	Aisle 1	Location 31
16	Aisle 3	Location 2
17	Aisle 9	Location 25
18	Aisle 7	Location 3
19	Aisle 2	Location 42
Order 5	number of articles 22
0	Aisle 10	Location 37
1	Aisle 6	Location 30
2	Aisle 6	Location 22
3	Aisle 2	Location 4
4	Aisle 0	Location 27
5	Aisle 8	Location 2
6	Aisle 10	Location 13
7	Aisle 6	Location 5
8	Aisle 14	Location 28
9	Aisle 5	Location 4
10	Aisle 6	Location 14
11	Aisle 13	Location 8
12	Aisle 4	Location 33
13	Aisle 5	Location 33
14	Aisle 11	Location 7
15	Aisle 12	Location 44
16	Aisle 8	Location 21
17	Aisle 12	Location 9
18	Aisle 16	Location 9
19	Aisle 5	Location 37
20	Aisle 10	Location 21
21	Aisle 18	Location 10
Order 6	number of articles 7
0	Aisle 10	Location 38
1	Aisle 2	Location 34
2	Aisle 15	Location 32
3	Aisle 19	Location 41
4	Aisle 10	Location 22
5	Aisle 1	Location 30
6	Aisle 13	Location 39
Order 7	number of articles 24
0	Aisle 16	Location 7
1	Aisle 3	Location 41
2	Aisle 18	Location 9
3	Aisle 9	Location 33
4	Aisle 13	Location 24
5	Aisle 18	Location 14
6	Aisle 1	Location 11
7	Aisle 13	Location 13
8	Aisle 10	Location 5
9	Aisle 8	Location 31
10	Aisle 6	Location 30
