Order 0	number of articles 5
0	Aisle 18	Location 8
1	Aisle 13	Location 16
2	Aisle 13	Location 38
3	Aisle 19	Location 18
4	Aisle 6	Location 39
Order 1	number of articles 16
0	Aisle 12	Location 28
1	Aisle 0	Location 36
2	Aisle 7	Location 36
3	Aisle 16	Location 4
4	Aisle 2	Location 14
5	Aisle 7	Location 25
6	Aisle 8	Location 6
7	Aisle 7	Location 17
8	Aisle 18	Location 16
9	Aisle 12	Location 10
10	Aisle 4	Location 2
11	Aisle 14	Location 4
12	Aisle 18	Location 13
13	Aisle 18	Location 37
14	Aisle 12	Location 35
15	Aisle 2	Location 39
Order 2	number of articles 5
0	Aisle 12	Location 0
1	Aisle 16	Location 21
2	Aisle 1	Location 10
3	Aisle 10	Location 18
4	Aisle 19	Location 20
Order 3	number of articles 5
0	Aisle 3	Location 28
1	Aisle 1	Location 39
2	Aisle 4	Location 4
3	Aisle 17	Location 37
4	Aisle 1	Location 9
Order 4	number of articles 13
0	Aisle 8	Location 33
1	Aisle 5	Location 31
2	Aisle 2	Location 35
3	Aisle 12	Location 38
4	Aisle 11	Location 0
5	Aisle 2	Location 7
6	Aisle 10	Location 40
7	Aisle 0	Location 31
8	Aisle 12	Location 35
9	Aisle 7	Location 44
10	Aisle 3	Location 35
11	Aisle 19	Location 29
12	Aisle 1	Location 4
Order 5	number of articles 19
0	Aisle 5	Location 25
1	Aisle 10	Location 28
2	Aisle 5	Location 35
3	Aisle 6	Location 23
4	Aisle 7	Location 42
5	Aisle 2	Location 21
6	Aisle 0	Location 29
7	Aisle 16	Location 18
8	Aisle 7	Location 16
9	Aisle 15	Location 30
10	Aisle 5	Location 18
11	Aisle 4	Location 29
12	Aisle 0	Location 41
13	Aisle 12	Location 36
14	Aisle 2	Location 20
15	Aisle 11	Location 42
16	Aisle 11	Location 37
17	Aisle 10	Location 9
18	Aisle 4	Location 33
Order 6	number of articles 8
0	Aisle 12	Location 21
1	Aisle 12	Location 1
2	Aisle 10	Location 14
3	Aisle 13	Location 8
4	Aisle 11	Location 6
5	Aisle 8	Location 16
6	Aisle 8	Location 10
7	Aisle 13	Location 21
Order 7	number of articles 20
0	Aisle 17	Location 25
1	Aisle 3	Location 39
2	Aisle 0	Location 24
3	Aisle 4	Location 5
4	Aisle 16	Location 9
5	Aisle 7	Location 35
6	Aisle 18	Location 43
7	Aisle 12	Location 30
8	Aisle 7	Location 21
9	Aisle 1	Location 39
10	Aisle 9	Location 14
11	Aisle 4	Location 10
12	Aisle 6	Location 25
13	Aisle 3	Location 42
14	Aisle 2	Location 13
15	Aisle 2	Location 38
16	Aisle 8	Location 25
17	Aisle 8	Location 33
18	Aisle 18	Location 3
19	Aisle 7	Location 32
Order 8	number of articles 10
0	Aisle 2	Location 11
1	Aisle 6	Location 20
2	Aisle 9	Location 11
3	Aisle 2	Location 18
4	Aisle 10	Location 6
5	Aisle 16	Location 18
6	Aisle 19	Location 21
7	Aisle 5	Location 10
8	Aisle 11	Location 15
9	Aisle 9	Location 43
Order 9	number of articles 8
0	Aisle 3	Location 35
1	Aisle 4	Location 34
2	Aisle 2	Location 24
3	Aisle 17	Location 39
4	Aisle 15	Location 28
5	Aisle 12	Location 41
6	Aisle 1	Location 26
7	Aisle 4	Location 5
Order 10	number of articles 22
0	Aisle 2	Location 30
1	Aisle 8	Location 15
2	Aisle 3	Location 43
3	Aisle 11	Location 29
4	Aisle 3	Location 6
5	Aisle 17	Location 29
6	Aisle 18	Location 34
7	Aisle 7	Location 27
8	Aisle 13	Location 40
9	Aisle 2	Location 44
10	Aisle 7	Location 11
11	Aisle 12	Location 41
12	Aisle 10	Location 34
13	Aisle 10	Location 36
14	Aisle 3	Location 37
15	Aisle 10	Location 26
16	Aisle 11	Location 12
17	Aisle 4	Location 22
18	Aisle 19	Location 43
19	Aisle 9	Location 41
20	Aisle 15	Location 2
21	Aisle 12	Location 22
Order 11	number of articles 18
0	Aisle 0	Location 17
1	Aisle 16	Location 10
2	Aisle 7	Location 40
3	Aisle 0	Location 16
4	Aisle 14	Location 34
5	Aisle 9	Location 35
6	Aisle 13	Location 15
7	Aisle 3	Location 9
8	Aisle 1	Location 38
9	Aisle 8	Location 22
10	Aisle 12	Location 18
11	Aisle 5	Location 43
12	Aisle 5	Location 3
13	Aisle 3	Location 42
14	Aisle 7	Location 17
15	Aisle 13	Location 2
16	Aisle 15	Location 34
17	Aisle 5	Location 16
