Order 0	number of articles 16
0	Aisle 12	Location 2
1	Aisle 4	Location 38
2	Aisle 8	Location 29
3	Aisle 15	Location 12
4	Aisle 8	Location 25
5	Aisle 0	Location 27
6	Aisle 16	Location 34
7	Aisle 0	Location 15
8	Aisle 7	Location 34
9	Aisle 2	Location 7
10	Aisle 13	Location 36
11	Aisle 14	Location 34
12	Aisle 6	Location 30
13	Aisle 10	Location 18
14	Aisle 1	Location 21
15	Aisle 15	Location 40
Order 1	number of articles 21
0	Aisle 11	Location 40
1	Aisle 8	Location 39
2	Aisle 1	Location 9
3	Aisle 3	Location 24
4	Aisle 12	Location 14
5	Aisle 1	Location 36
6	Aisle 10	Location 35
7	Aisle 3	Location 35
8	Aisle 15	Location 29
9	Aisle 4	Location 1
10	Aisle 12	Location 17
11	Aisle 11	Location 42
12	Aisle 3	Location 0
13	Aisle 4	Location 4
14	Aisle 8	Location 16
15	Aisle 19	Location 3
16	Aisle 17	Location 7
17	Aisle 7	Location 24
18	Aisle 2	Location 32
19	Aisle 12	Location 15
20	Aisle 11	Location 5
Order 2	number of articles 21
0	Aisle 19	Location 29
1	Aisle 7	Location 12
2	Aisle 1	Location 34
3	Aisle 9	Location 32
4	Aisle 14	Location 9
5	Aisle 18	Location 1
6	Aisle 2	Location 1
7	Aisle 7	Location 41
8	Aisle 12	Location 30
9	Aisle 2	Location 25
10	Aisle 2	Location 26
11	Aisle 17	Location 11
12	Aisle 14	Location 26
13	Aisle 9	Location 22
14	Aisle 6	Location 10
15	Aisle 16	Location 29
16	Aisle 15	Location 5
17	Aisle 5	Location 15
18	Aisle 1	Location 32
19	Aisle 17	Location 35
20	Aisle 7	Location 22
Order 3	number of articles 21
0	Aisle 6	Location 15
1	Aisle 15	Location 21
2	Aisle 11	Location 4
3	Aisle 7	Location 26
4	Aisle 18	Location 31
5	Aisle 8	Location 36
6	Aisle 9	Location 22
7	Aisle 16	Location 39
8	Aisle 1	Location 14
9	Aisle 0	Location 15
10	Aisle 11	Location 3
11	Aisle 14	Location 25
12	Aisle 18	Location 20
13	Aisle 15	Location 32
14	Aisle 0	Location 1
15	Aisle 7	Location 33
16	Aisle 17	Location 17
17	Aisle 17	Location 11
18	Aisle 7	Location 34
19	Aisle 18	Location 43
20	Aisle 3	Location 7
Order 4	number of articles 7
0	Aisle 4	Location 38
