Order 0	number of articles 12
0	Aisle 0	Location 30
1	Aisle 4	Location 18
2	Aisle 4	Location 13
3	Aisle 5	Location 35
4	Aisle 5	Location 26
5	Aisle 15	Location 29
6	Aisle 14	Location 38
7	Aisle 0	Location 24
8	Aisle 6	Location 33
9	Aisle 1	Location 22
10	Aisle 17	Location 37
11	Aisle 4	Location 10
Order 1	number of articles 10
0	Aisle 5	Location 16
1	Aisle 3	Location 32
2	Aisle 0	Location 11
3	Aisle 2	Location 34
4	Aisle 13	Location 21
5	Aisle 12	Location 23
6	Aisle 3	Location 39
7	Aisle 2	Location 44
8	Aisle 1	Location 44
9	Aisle 9	Location 6
Order 2	number of articles 15
0	Aisle 8	Location 37
1	Aisle 8	Location 31
2	Aisle 6	Location 5
3	Aisle 2	Location 34
4	Aisle 6	Location 44
5	Aisle 16	Location 22
6	Aisle 2	Location 9
7	Aisle 14	Location 5
8	Aisle 8	Location 30
9	Aisle 12	Location 34
10	Aisle 10	Location 15
11	Aisle 9	Location 35
12	Aisle 8	Location 28
13	Aisle 5	Location 25
14	Aisle 0	Location 43
Order 3	number of articles 18
0	Aisle 6	Location 23
1	Aisle 9	Location 15
2	Aisle 12	Location 2
3	Aisle 4	Location 29
4	Aisle 7	Location 42
5	Aisle 1	Location 20
6	Aisle 5	Location 12
7	Aisle 17	Location 32
8	Aisle 4	Location 26
9	Aisle 0	Location 19
10	Aisle 17	Location 30
11	Aisle 5	Location 40
12	Aisle 14	Location 36
13	Aisle 2	Location 22
14	Aisle 5	Location 15
15	Aisle 17	Location 6
16	Aisle 10	Location 25
17	Aisle 8	Location 9
Order 4	number of articles 15
0	Aisle 0	Location 35
1	Aisle 11	Location 33
2	Aisle 2	Location 38
3	Aisle 16	Location 11
4	Aisle 8	Location 9
5	Aisle 12	Location 0
6	Aisle 17	Location 14
7	Aisle 13	Location 40
8	Aisle 1	Location 41
9	Aisle 15	Location 25
10	Aisle 10	Location 40
11	Aisle 4	Location 26
12	Aisle 6	Location 40
13	Aisle 18	Location 35
14	Aisle 18	Location 23
Order 5	number of articles 5
0	Aisle 0	Location 21
1	Aisle 5	Location 32
2	Aisle 11	Location 5
3	Aisle 2	Location 12
4	Aisle 6	Location 8
Order 6	number of articles 20
0	Aisle 9	Location 23
1	Aisle 5	Location 14
2	Aisle 11	Location 31
3	Aisle 19	Location 3
4	Aisle 14	Location 0
5	Aisle 6	Location 41
6	Aisle 10	Location 42
7	Aisle 7	Location 0
8	Aisle 1	Location 32
9	Aisle 0	Location 43
10	Aisle 10	Location 27
11	Aisle 14	Location 25
12	Aisle 12	Location 28
13	Aisle 11	Location 8
14	Aisle 2	Location 0
15	Aisle 16	Location 33
16	Aisle 8	Location 12
17	Aisle 3	Location 39
18	Aisle 3	Location 35
19	Aisle 4	Location 35
Order 7	number of articles 15
0	Aisle 15	Location 14
1	Aisle 19	Location 30
2	Aisle 6	Location 33
3	Aisle 0	Location 24
4	Aisle 6	Location 42
5	Aisle 0	Location 37
6	Aisle 10	Location 33
7	Aisle 2	Location 5
8	Aisle 1	Location 10
9	Aisle 4	Location 17
10	Aisle 17	Location 29
11	Aisle 3	Location 10
12	Aisle 5	Location 10
13	Aisle 10	Location 20
14	Aisle 19	Location 38
Order 8	number of articles 17
0	Aisle 13	Location 32
1	Aisle 2	Location 8
2	Aisle 9	Location 12
3	Aisle 7	Location 22
4	Aisle 10	Location 4
5	Aisle 8	Location 31
6	Aisle 14	Location 37
7	Aisle 13	Location 33
8	Aisle 15	Location 37
9	Aisle 7	Location 36
10	Aisle 8	Location 12
11	Aisle 8	Location 8
12	Aisle 17	Location 26
13	Aisle 10	Location 42
14	Aisle 3	Location 4
15	Aisle 12	Location 33
16	Aisle 18	Location 6
Order 9	number of articles 9
0	Aisle 18	Location 33
1	Aisle 8	Location 33
2	Aisle 11	Location 7
3	Aisle 13	Location 33
4	Aisle 19	Location 35
5	Aisle 6	Location 39
6	Aisle 9	Location 12
7	Aisle 6	Location 37
8	Aisle 0	Location 3
Order 10	number of articles 23
0	Aisle 6	Location 30
1	Aisle 8	Location 17
2	Aisle 6	Location 14
3	Aisle 3	Location 38
4	Aisle 16	Location 33
5	Aisle 4	Location 15
6	Aisle 10	Location 30
7	Aisle 4	Location 3
8	Aisle 14	Location 3
9	Aisle 1	Location 20
10	Aisle 8	Location 3
11	Aisle 10	Location 8
12	Aisle 7	Location 28
13	Aisle 6	Location 39
14	Aisle 14	Location 42
15	Aisle 4	Location 6
16	Aisle 8	Location 0
17	Aisle 17	Location 32
18	Aisle 11	Location 34
19	Aisle 10	Location 28
20	Aisle 0	Location 0
21	Aisle 13	Location 32
22	Aisle 1	Location 8
Order 11	number of articles 20
0	Aisle 11	Location 13
1	Aisle 1	Location 19
2	Aisle 14	Location 6
3	Aisle 12	Location 13
4	Aisle 12	Location 14
5	Aisle 5	Location 20
6	Aisle 1	Location 37
7	Aisle 8	Location 4
8	Aisle 11	Location 7
9	Aisle 0	Location 34
10	Aisle 14	Location 38
11	Aisle 2	Location 3
12	Aisle 19	Location 42
13	Aisle 1	Location 9
14	Aisle 15	Location 29
15	Aisle 11	Location 35
16	Aisle 9	Location 18
17	Aisle 9	Location 42
18	Aisle 3	Location 42
19	Aisle 0	Location 5
Order 12	number of articles 8
0	Aisle 9	Location 33
1	Aisle 2	Location 39
2	Aisle 5	Location 0
3	Aisle 16	Location 8
4	Aisle 10	Location 34
5	Aisle 3	Location 2
6	Aisle 15	Location 40
7	Aisle 18	Location 6
Order 13	number of articles 20
0	Aisle 19	Location 23
1	Aisle 10	Location 28
2	Aisle 18	Location 21
3	Aisle 4	Location 23
4	Aisle 7	Location 21
5	Aisle 2	Location 10
6	Aisle 11	Location 2
7	Aisle 7	Location 41
8	Aisle 8	Location 16
9	Aisle 6	Location 11
10	Aisle 16	Location 31
11	Aisle 10	Location 36
