Order 0	number of articles 19
0	Aisle 18	Location 4
1	Aisle 8	Location 41
2	Aisle 15	Location 37
3	Aisle 15	Location 10
4	Aisle 5	Location 29
5	Aisle 18	Location 24
6	Aisle 5	Location 9
7	Aisle 0	Location 11
8	Aisle 12	Location 19
9	Aisle 2	Location 23
10	Aisle 15	Location 32
11	Aisle 6	Location 14
12	Aisle 2	Location 20
13	Aisle 4	Location 24
14	Aisle 2	Location 13
15	Aisle 15	Location 17
16	Aisle 16	Location 18
17	Aisle 7	Location 21
18	Aisle 13	Location 40
Order 1	number of articles 11
0	Aisle 9	Location 33
1	Aisle 6	Location 28
2	Aisle 7	Location 35
3	Aisle 7	Location 8
4	Aisle 13	Location 13
5	Aisle 0	Location 37
6	Aisle 9	Location 1
7	Aisle 15	Location 20
8	Aisle 11	Location 39
9	Aisle 4	Location 25
10	Aisle 17	Location 37
Order 2	number of articles 21
0	Aisle 18	Location 17
1	Aisle 18	Location 14
2	Aisle 8	Location 28
3	Aisle 13	Location 40
4	Aisle 19	Location 36
5	Aisle 6	Location 35
6	Aisle 9	Location 30
7	Aisle 3	Location 14
8	Aisle 2	Location 35
9	Aisle 6	Location 37
10	Aisle 6	Location 6
11	Aisle 14	Location 41
12	Aisle 0	Location 32
13	Aisle 11	Location 33
14	Aisle 11	Location 26
15	Aisle 15	Location 1
16	Aisle 19	Location 16
17	Aisle 19	Location 12
18	Aisle 0	Location 28
19	Aisle 9	Location 44
20	Aisle 14	Location 5
Order 3	number of articles 19
0	Aisle 10	Location 33
1	Aisle 6	Location 21
2	Aisle 7	Location 8
3	Aisle 13	Location 31
4	Aisle 19	Location 39
5	Aisle 7	Location 12
6	Aisle 16	Location 26
7	Aisle 14	Location 20
8	Aisle 10	Location 7
9	Aisle 5	Location 23
10	Aisle 16	Location 41
11	Aisle 3	Location 42
12	Aisle 9	Location 18
13	Aisle 9	Location 35
14	Aisle 5	Location 10
15	Aisle 9	Location 12
16	Aisle 9	Location 21
17	Aisle 18	Location 13
18	Aisle 15	Location 16
