Order 0	number of articles 16
0	Aisle 17	Location 9
1	Aisle 12	Location 11
2	Aisle 4	Location 4
3	Aisle 15	Location 32
4	Aisle 11	Location 9
5	Aisle 8	Location 5
6	Aisle 13	Location 36
7	Aisle 9	Location 19
8	Aisle 6	Location 36
9	Aisle 9	Location 24
10	Aisle 10	Location 6
11	Aisle 8	Location 37
12	Aisle 14	Location 11
13	Aisle 4	Location 35
14	Aisle 15	Location 42
15	Aisle 10	Location 29
Order 1	number of articles 16
0	Aisle 6	Location 13
1	Aisle 13	Location 17
2	Aisle 19	Location 37
3	Aisle 8	Location 13
4	Aisle 8	Location 25
5	Aisle 6	Location 8
6	Aisle 2	Location 22
7	Aisle 12	Location 35
8	Aisle 5	Location 12
9	Aisle 13	Location 42
10	Aisle 10	Location 32
11	Aisle 18	Location 30
12	Aisle 1	Location 31
13	Aisle 3	Location 1
14	Aisle 4	Location 42
15	Aisle 17	Location 5
Order 2	number of articles 8
0	Aisle 9	Location 27
1	Aisle 5	Location 35
2	Aisle 7	Location 28
3	Aisle 5	Location 40
4	Aisle 19	Location 25
5	Aisle 12	Location 17
6	Aisle 15	Location 2
7	Aisle 10	Location 6
Order 3	number of articles 15
0	Aisle 5	Location 16
1	Aisle 9	Location 33
2	Aisle 7	Location 6
3	Aisle 12	Location 34
4	Aisle 14	Location 11
5	Aisle 2	Location 24
6	Aisle 7	Location 31
7	Aisle 3	Location 22
8	Aisle 12	Location 4
9	Aisle 16	Location 6
10	Aisle 6	Location 43
11	Aisle 10	Location 18
12	Aisle 1	Location 7
13	Aisle 9	Location 2
14	Aisle 14	Location 1
Order 4	number of articles 6
0	Aisle 17	Location 12
1	Aisle 5	Location 2
2	Aisle 9	Location 18
3	Aisle 1	Location 29
4	Aisle 11	Location 26
5	Aisle 15	Location 43
Order 5	number of articles 13
0	Aisle 17	Location 40
1	Aisle 2	Location 18
2	Aisle 15	Location 43
3	Aisle 6	Location 7
4	Aisle 1	Location 25
5	Aisle 3	Location 8
6	Aisle 2	Location 42
7	Aisle 4	Location 10
8	Aisle 4	Location 37
9	Aisle 0	Location 15
10	Aisle 8	Location 28
11	Aisle 7	Location 25
12	Aisle 6	Location 30
Order 6	number of articles 13
0	Aisle 8	Location 17
