Order 0	number of articles 23
0	Aisle 1	Location 27
1	Aisle 3	Location 39
2	Aisle 14	Location 30
3	Aisle 11	Location 17
4	Aisle 4	Location 39
5	Aisle 5	Location 12
6	Aisle 8	Location 4
7	Aisle 11	Location 35
8	Aisle 0	Location 31
9	Aisle 13	Location 28
10	Aisle 14	Location 36
11	Aisle 13	Location 20
12	Aisle 12	Location 22
13	Aisle 11	Location 14
14	Aisle 1	Location 37
15	Aisle 14	Location 40
16	Aisle 3	Location 18
17	Aisle 5	Location 13
18	Aisle 13	Location 31
19	Aisle 3	Location 0
20	Aisle 8	Location 13
21	Aisle 17	Location 20
22	Aisle 5	Location 8
Order 1	number of articles 13
0	Aisle 2	Location 16
1	Aisle 1	Location 17
2	Aisle 5	Location 20
3	Aisle 18	Location 41
4	Aisle 11	Location 24
5	Aisle 8	Location 41
6	Aisle 8	Location 10
7	Aisle 15	Location 17
8	Aisle 4	Location 20
9	Aisle 4	Location 11
10	Aisle 5	Location 38
11	Aisle 10	Location 14
12	Aisle 14	Location 11
Order 2	number of articles 21
0	Aisle 5	Location 19
1	Aisle 11	Location 13
2	Aisle 13	Location 0
3	Aisle 2	Location 40
4	Aisle 17	Location 44
5	Aisle 12	Location 33
6	Aisle 16	Location 31
7	Aisle 17	Location 32
8	Aisle 16	Location 26
9	Aisle 4	Location 37
10	Aisle 17	Location 37
11	Aisle 16	Location 17
12	Aisle 11	Location 19
13	Aisle 0	Location 35
14	Aisle 15	Location 24
15	Aisle 15	Location 25
16	Aisle 9	Location 43
17	Aisle 2	Location 1
18	Aisle 15	Location 31
19	Aisle 8	Location 26
20	Aisle 8	Location 7
Order 3	number of articles 8
0	Aisle 10	Location 16
1	Aisle 12	Location 8
2	Aisle 19	Location 4
3	Aisle 8	Location 34
4	Aisle 14	Location 19
5	Aisle 1	Location 14
6	Aisle 15	Location 8
7	Aisle 17	Location 34
Order 4	number of articles 18
0	Aisle 16	Location 30
1	Aisle 4	Location 14
2	Aisle 7	Location 24
3	Aisle 11	Location 3
4	Aisle 4	Location 27
5	Aisle 19	Location 10
6	Aisle 6	Location 41
7	Aisle 7	Location 35
8	Aisle 13	Location 3
9	Aisle 7	Location 27
10	Aisle 17	Location 16
11	Aisle 11	Location 26
12	Aisle 12	Location 20
13	Aisle 5	Location 39
14	Aisle 5	Location 23
15	Aisle 0	Location 26
16	Aisle 9	Location 22
17	Aisle 11	Location 23
Order 5	number of articles 12
0	Aisle 11	Location 40
1	Aisle 3	Location 14
2	Aisle 16	Location 28
3	Aisle 1	Location 10
4	Aisle 1	Location 7
5	Aisle 0	Location 24
6	Aisle 14	Location 15
7	Aisle 19	Location 5
8	Aisle 15	Location 39
9	Aisle 7	Location 35
10	Aisle 18	Location 9
11	Aisle 3	Location 24
Order 6	number of articles 5
0	Aisle 0	Location 41
1	Aisle 4	Location 38
2	Aisle 6	Location 5
3	Aisle 6	Location 10
4	Aisle 15	Location 3
Order 7	number of articles 7
0	Aisle 11	Location 19
1	Aisle 14	Location 22
2	Aisle 2	Location 44
3	Aisle 4	Location 5
4	Aisle 17	Location 36
5	Aisle 14	Location 21
6	Aisle 3	Location 19
Order 8	number of articles 19
0	Aisle 0	Location 1
1	Aisle 17	Location 41
2	Aisle 5	Location 40
3	Aisle 8	Location 30
4	Aisle 18	Location 35
5	Aisle 15	Location 39
6	Aisle 17	Location 10
7	Aisle 16	Location 0
8	Aisle 5	Location 38
9	Aisle 9	Location 39
10	Aisle 13	Location 33
11	Aisle 9	Location 0
12	Aisle 6	Location 7
13	Aisle 18	Location 39
14	Aisle 16	Location 19
15	Aisle 18	Location 2
16	Aisle 15	Location 36
17	Aisle 17	Location 24
18	Aisle 17	Location 2
Order 9	number of articles 19
0	Aisle 8	Location 35
1	Aisle 14	Location 44
2	Aisle 12	Location 1
3	Aisle 8	Location 27
4	Aisle 10	Location 18
5	Aisle 10	Location 24
6	Aisle 9	Location 0
7	Aisle 8	Location 30
8	Aisle 1	Location 44
9	Aisle 2	Location 29
10	Aisle 10	Location 2
11	Aisle 13	Location 38
12	Aisle 14	Location 25
13	Aisle 5	Location 23
14	Aisle 1	Location 4
15	Aisle 14	Location 37
16	Aisle 0	Location 3
17	Aisle 6	Location 16
18	Aisle 12	Location 25
Order 10	number of articles 21
0	Aisle 2	Location 37
1	Aisle 1	Location 39
2	Aisle 10	Location 2
3	Aisle 10	Location 24
4	Aisle 16	Location 12
5	Aisle 9	Location 7
6	Aisle 12	Location 30
7	Aisle 18	Location 41
8	Aisle 10	Location 39
9	Aisle 2	Location 26
10	Aisle 16	Location 41
11	Aisle 1	Location 1
12	Aisle 15	Location 38
13	Aisle 10	Location 36
14	Aisle 0	Location 12
15	Aisle 15	Location 16
16	Aisle 6	Location 14
17	Aisle 6	Location 19
18	Aisle 9	Location 36
19	Aisle 4	Location 13
20	Aisle 16	Location 23
Order 11	number of articles 20
0	Aisle 16	Location 13
