Order 0	number of articles 6
0	Aisle 5	Location 42
1	Aisle 19	Location 10
2	Aisle 4	Location 33
3	Aisle 5	Location 25
4	Aisle 1	Location 36
5	Aisle 7	Location 8
Order 1	number of articles 15
0	Aisle 1	Location 38
1	Aisle 6	Location 18
2	Aisle 9	Location 34
3	Aisle 4	Location 40
4	Aisle 6	Location 9
5	Aisle 10	Location 23
6	Aisle 19	Location 42
7	Aisle 15	Location 26
8	Aisle 15	Location 13
9	Aisle 8	Location 23
10	Aisle 9	Location 38
11	Aisle 13	Location 13
12	Aisle 8	Location 5
13	Aisle 7	Location 38
14	Aisle 8	Location 32
Order 2	number of articles 8
0	Aisle 6	Location 15
1	Aisle 4	Location 26
2	Aisle 16	Location 31
3	Aisle 7	Location 12
4	Aisle 5	Location 32
5	Aisle 8	Location 11
6	Aisle 3	Location 33
7	Aisle 1	Location 40
Order 3	number of articles 18
0	Aisle 7	Location 37
1	Aisle 3	Location 17
2	Aisle 10	Location 37
3	Aisle 13	Location 44
4	Aisle 14	Location 27
5	Aisle 0	Location 35
6	Aisle 2	Location 26
7	Aisle 6	Location 9
8	Aisle 6	Location 36
9	Aisle 1	Location 17
10	Aisle 4	Location 1
11	Aisle 9	Location 15
12	Aisle 13	Location 8
13	Aisle 15	Location 41
14	Aisle 4	Location 5
15	Aisle 12	Location 38
16	Aisle 14	Location 6
17	Aisle 17	Location 16
Order 4	number of articles 22
0	Aisle 17	Location 10
1	Aisle 17	Location 41
2	Aisle 2	Location 26
3	Aisle 3	Location 17
4	Aisle 3	Location 28
5	Aisle 14	Location 30
6	Aisle 15	Location 42
7	Aisle 4	Location 7
8	Aisle 16	Location 15
9	Aisle 4	Location 30
10	Aisle 12	Location 44
11	Aisle 14	Location 27
12	Aisle 10	Location 10
13	Aisle 1	Location 32
14	Aisle 17	Location 0
15	Aisle 1	Location 24
16	Aisle 4	Location 40
17	Aisle 5	Location 27
18	Aisle 10	Location 30
19	Aisle 18	Location 4
20	Aisle 2	Location 8
21	Aisle 10	Location 0
Order 5	number of articles 22
0	Aisle 9	Location 17
1	Aisle 0	Location 15
2	Aisle 13	Location 22
3	Aisle 18	Location 26
4	Aisle 10	Location 29
5	Aisle 18	Location 15
