Order 0	number of articles 15
0	Aisle 13	Location 8
1	Aisle 19	Location 30
2	Aisle 2	Location 38
3	Aisle 6	Location 21
4	Aisle 5	Location 5
5	Aisle 16	Location 9
6	Aisle 19	Location 29
7	Aisle 8	Location 13
8	Aisle 19	Location 42
9	Aisle 17	Location 6
10	Aisle 11	Location 0
11	Aisle 11	Location 36
12	Aisle 18	Location 17
13	Aisle 10	Location 40
14	Aisle 14	Location 27
Order 1	number of articles 8
0	Aisle 6	Location 16
1	Aisle 19	Location 22
2	Aisle 15	Location 21
3	Aisle 19	Location 4
4	Aisle 6	Location 19
5	Aisle 8	Location 11
6	Aisle 6	Location 33
7	Aisle 4	Location 36
Order 2	number of articles 22
0	Aisle 0	Location 11
1	Aisle 11	Location 32
2	Aisle 5	Location 37
3	Aisle 19	Location 28
4	Aisle 18	Location 43
5	Aisle 14	Location 38
6	Aisle 14	Location 24
7	Aisle 10	Location 11
8	Aisle 15	Location 37
9	Aisle 17	Location 30
10	Aisle 12	Location 2
11	Aisle 5	Location 30
12	Aisle 2	Location 37
13	Aisle 11	Location 16
14	Aisle 4	Location 7
15	Aisle 14	Location 15
16	Aisle 1	Location 12
17	Aisle 12	Location 22
18	Aisle 15	Location 20
19	Aisle 18	Location 8
20	Aisle 3	Location 23
21	Aisle 8	Location 12
Order 3	number of articles 15
0	Aisle 1	Location 42
1	Aisle 17	Location 35
2	Aisle 10	Location 42
3	Aisle 9	Location 32
4	Aisle 7	Location 36
5	Aisle 6	Location 10
6	Aisle 18	Location 28
7	Aisle 11	Location 41
8	Aisle 2	Location 25
9	Aisle 13	Location 19
10	Aisle 15	Location 3
11	Aisle 2	Location 34
12	Aisle 2	Location 7
13	Aisle 3	Location 44
14	Aisle 10	Location 24
Order 4	number of articles 21
0	Aisle 13	Location 14
1	Aisle 4	Location 35
2	Aisle 2	Location 25
3	Aisle 4	Location 3
4	Aisle 14	Location 39
5	Aisle 18	Location 28
6	Aisle 0	Location 21
7	Aisle 9	Location 3
8	Aisle 13	Location 41
9	Aisle 8	Location 24
10	Aisle 5	Location 42
11	Aisle 17	Location 15
12	Aisle 13	Location 42
13	Aisle 10	Location 3
14	Aisle 4	Location 18
15	Aisle 15	Location 14
16	Aisle 12	Location 32
17	Aisle 7	Location 40
18	Aisle 11	Location 11
19	Aisle 3	Location 22
20	Aisle 18	Location 0
Order 5	number of articles 18
0	Aisle 11	Location 36
1	Aisle 0	Location 27
2	Aisle 1	Location 17
3	Aisle 11	Location 24
4	Aisle 8	Location 37
5	Aisle 0	Location 38
6	Aisle 17	Location 39
7	Aisle 5	Location 39
8	Aisle 16	Location 0
9	Aisle 0	Location 13
10	Aisle 12	Location 1
11	Aisle 2	Location 14
12	Aisle 4	Location 17
13	Aisle 3	Location 16
14	Aisle 2	Location 43
15	Aisle 18	Location 13
16	Aisle 1	Location 10
17	Aisle 0	Location 18
Order 6	number of articles 7
0	Aisle 7	Location 16
1	Aisle 4	Location 19
2	Aisle 2	Location 31
3	Aisle 12	Location 28
4	Aisle 11	Location 20
5	Aisle 2	Location 18
6	Aisle 15	Location 29
Order 7	number of articles 21
0	Aisle 1	Location 10
1	Aisle 18	Location 37
2	Aisle 12	Location 3
3	Aisle 6	Location 12
4	Aisle 0	Location 34
5	Aisle 2	Location 31
6	Aisle 6	Location 39
7	Aisle 19	Location 16
8	Aisle 11	Location 40
9	Aisle 16	Location 28
10	Aisle 7	Location 23
11	Aisle 16	Location 37
12	Aisle 12	Location 29
13	Aisle 14	Location 3
14	Aisle 9	Location 41
15	Aisle 17	Location 7
16	Aisle 15	Location 22
17	Aisle 15	Location 28
18	Aisle 3	Location 8
19	Aisle 7	Location 43
20	Aisle 1	Location 43
Order 8	number of articles 12
0	Aisle 3	Location 44
